"type","fatal_crash","of_fatalities","case_status","case_number","location_1","area","date","month","day","hour","time","related","charge","speeding","ran_red_light_or_stop_sign","dl_status_incident","impaired_type","restraint_helmet","type_of_road","ftsra","x_coord","y_coord","location_2"
"Motor Vehicle","11","1","Closed","17-0701330","Fleter Ln/Burleson Road","HE","2017-03-11T00:00:00.000","Mar","Sat","20","20:44","MV/MV","NA","N","Y","no dl","DRIVER","no seatbelt","high use roadway","N","-97.704747","30.197431","(30.197431, -97.704747)"
"Pedestrian","25","1","Closed","17-1170279","2500 E Stassney Ln","FR","2017-04-27T00:00:00.000","Apr","Thu","6","6:23","MV/Ped","Class C","N","N","suspended","NONE (pending)","n/a","high use roadway","n","-97.7472","30.193826","(30.193826, -97.7472)"
"Motorcycle","38","1","Open","17-2180064","2500 S Lamar","DA","2017-08-06T00:00:00.000","Aug","Sun","0","0:33","MV/MC",,"N","N","okay","NONE","helmet worn","high use roadway","N","-97.778115","30.246489","(30.246489, -97.778115)"
"Motor Vehicle","26","1","Closed","17-1210792","3800 Airport Blvd","CH","2017-05-01T00:00:00.000","May","Mon","12","12:02","MV/MV","NA","Y","N","no DL","NONE (pending)","seatbelt worn","high use roadway","n","-97.703222","30.321727","(30.321727, -97.703222)"
"Motor Vehicle","1","1","Closed","17-0030106","8200 blk N. Lamar Blvd","ED","2017-01-03T00:00:00.000","Jan","Tue","1","1:55","MV/FO","NA","Y","N","okay","DRIVER","seatbelt worn","high use roadway","N","-97.709153","30.350809","(30.350809, -97.709153)"
"Motor Vehicle","6","1","Open","17-0360196","13100 S IH35 SB","FR","2017-02-05T00:00:00.000","Feb","Sun","3","3:41","MV/FO","NA","N","N","okay",,"seatbelt worn","IH35","N","-97.807729","30.111226","(30.111226, -97.807729)"
"Pedestrian","15","1","Open","17-0780309","11600 Burnet","AD","2017-03-19T00:00:00.000","Mar","Sun","2","2:31","MV/Ped","Class C","N","unk","suspended","PED","n/a","high use roadway","N","-97.717858","30.401852","(30.401852, -97.717858)"
"Motor Vehicle","21","2","Closed","17-0980393","9100 W SH71","DA","2017-04-08T00:00:00.000","Apr","Sat","9","9:52","MV/MV","Pending","N","N","no DL","NONE","seatbelts worn","other highway","N","-97.904446","30.257222","(30.257222, -97.904446)"
"Pedestrian","30","1","Open","17-1621547","1700 Springdale Rd","CH","2017-06-11T00:00:00.000","Jun","Sun","21","21:18","MV/Ped","Class C","N","N","okay","NONE ","n/a","local","N","-97.684266","30.283327","(30.283327, -97.684266)"
"Bicycle","2","1","Closed","17-0080877","Research Blvd SVRD NB/Riata Trace Pkwy","AD","2017-01-08T00:00:00.000","Jan","Sun","15","15:32","MV/Bi","NA","N","Y","suspended","NONE ","helmet worn","other highway","N","-97.753497","30.426752","(30.426752, -97.753497)"
"Motor Vehicle","7","1","Closed","17-0381961","6600 Blk E Ben Whiute WB SVRD","HE","2017-02-07T00:00:00.000","Feb","Tue","23","23:24","MV/FO","NA","Y","N","okay","DRIVER","no seatbelt","IH35","N","-97.707257","30.213443","(30.213443, -97.707257)"
"Motor Vehicle","29","1","Open","17-1611733","1300 blk Anderson Ln","ID","2017-06-10T00:00:00.000","Jun","Sat","22","22:28","MV/MV","NA","N","N","okay","NONE (pending)",,"high use roadway","N","-97.718512","30.350281","(30.350281, -97.718512)"
"Pedestrian","39","1","Open","17-2190051","3600 S Congress","DA","2017-08-07T00:00:00.000","Aug","Mon","1","1:48","MV/Ped",,"N","N","no DL","PED (pending)","n/a","alley","Y","-97.761191","30.228058","(30.228058, -97.761191)"
"Motorcycle","22","1","Open","17-1071522","3730 Manor Rd","BA","2017-04-17T00:00:00.000","Apr","Mon","19","19:21","MC/MV","Pending","N","N","no MC","NONE (pending)",,"local","n","-97.694928","30.290123","(30.290123, -97.694928)"
"Motor Vehicle","34","1","Open","17-2080502","800 blk Bastrop Hwy","HE","2017-07-27T00:00:00.000","Jul","Sun","8","8:52","MV/MV","Class C","N","N","okay","NONE","seatbelt worn","other highway","N","-97.683061","30.229561","(30.229561, -97.683061)"
"Motor Vehicle","10","1","Closed","17-0480200","Ed Bluestein Boulevard and Loyola Lane","CH","2017-02-17T00:00:00.000","Feb","Fri","2","2:48","MV/MV","NA","Y","N","no DL","DRIVER  ",,"other highway",,"-97.660994","30.302634","(30.302634, -97.660994)"
"Pedestrian","14","1","Closed","17-0710136","10010 N Lamar Blvd","ED","2017-03-12T00:00:00.000","Mar","Sun","1","1:21","MV/Ped","NA","N","N","okay","PED","n/a","high use roadway","N","-97.693053","30.370097","(30.370097, -97.693053)"
"Motor Vehicle","3","1","Open","17-0071308","E US Hwy 290 WB Svrd/Johnny Morris","CH","2017-01-07T00:00:00.000","Jan","Sat","21","21:06","MV/MV","Intox Manslaughter, Manslaughter, FTSRA","Y","N","no DL","DRIVER (PENDING)",,"other highway","Y","-97.623275","30.33123","(30.33123, -97.623275)"
"Pedestrian","33","1","Open","17-1981784","E Braker/IH35 SVRD","ED","2017-07-17T00:00:00.000","Jul","Thu","22","22:58","MV/Ped",,"N","N","okay","NONE","n/a","high use roadway","N","-97.675583","30.376949","(30.376949, -97.675583)"
"Motorcycle","35","1","Open","17-2141370","1100 Pearl Retreat Ln","ED","2017-08-02T00:00:00.000","Aug","Wed","21","21:43","MC/FO","NA","Y","N","okay","NONE","worn, but came off","local","N","-97.653458","30.394508","(30.394508, -97.653458)"
"Motor Vehicle","18","1","Open","17-0890705","US Hwy 290 WB frontage/Cameron Road","ID","2017-03-30T00:00:00.000","Mar","Thu","11","11:12","MV/MV","Pending","N","Y","okay","NONE",,"high use roadway","N","-97.694956","30.321868","(30.321868, -97.694956)"
"Motorcycle","23","1","Closed","17-1151237","N Mopac SVRD SB/Research Blvd SVRD SB","BA","2017-04-25T00:00:00.000","Apr","Tue","16","16:19","MC/other","NA","N","N","okay","NONE (pending)","helmet worn","other highway","n","-97.733094","30.376402","(30.376402, -97.733094)"
"Motor Vehicle","28","1","Open","17-1560274","FM 973/SH 71 WB Svrd","HE","2017-06-05T00:00:00.000","Jun","Mon","6","6:15","MV/MV","NA","N","Y","okay","NONE",,"other highway","N","-97.639116","30.203154","(30.203154, -97.639116)"
"Motor Vehicle","13","1","Closed","17-0770668","4200 Southwest Pkwy","DA","2017-03-18T00:00:00.000","Mar","Sat","8","8:07","MV/FO","NA","Y","N","okay","DRIVER","seatbelt worn","high use roadway","N","-97.826565","30.239929","(30.239929, -97.826565)"
"Motor Vehicle","8","1","Open","17-0501713","Capital of Texas Hwy/Lakewood Dr","BA","2017-02-19T00:00:00.000","Feb","Sun","23","23:14","MV/MV",,"Y","N","okay","NONE","seatbelts worn","high use roadway","N","-97.78569","30.371658","(30.371658, -97.78569)"
"Motor Vehicle","40","1","Open","17-2260242","6900 N Lamar","ID","2017-08-14T00:00:00.000","Aug","Mon","5","5:32","MV/FO",,"Y",,"okay","NONE (pending)","no seatbelt","high use roadway",,"-97.719555","30.336702","(30.336702, -97.719555)"
"Motor Vehicle","4","1","Open","17-0150225","13500 N US 183 NB","AD","2017-01-15T00:00:00.000","Jan","Sun","2","2:19","MV/MV","Pending","N","N","no DL","BOTH Drivers","no seatbelt","other highway","N","-97.790548","30.449598","(30.449598, -97.790548)"
"Pedestrian","36","1","Open","17-2151598","8300 N IH 35 NB","ED","2017-08-03T00:00:00.000","Aug","Thu","21","21:25","MV/Ped","NA","N","N","okay","NONE","n/a","I35","N","-97.696045","30.345376","(30.345376, -97.696045)"
"Pedestrian","19","1","Open","17-0941734","800 E William Cannon","FR","2017-04-04T00:00:00.000","Apr","Tue","21","21:06","MV/PED","FTSRA","N","N","unk","unk","n/a","high use roadway","Y","-97.771719","30.191007","(30.191007, -97.771719)"
"Bicycle","17","1","Open","17-0871629","1803 S. 1st Street","DA","2017-03-28T00:00:00.000","Mar","Tue","19","19:26","MV/Bike","NA","N","N","okay","DRIVER","no helmet","high use roadway","N","-97.755834","30.24743","(30.24743, -97.755834)"
"Motor Vehicle","32","1","Open","17-1941615","Capital of Texas Hwy/Courtyard Dr","BA","2017-07-13T00:00:00.000","Jul","Thu","20","20:59","MV/MV",,,,"okay","NONE","seatbelt worn","other highway","N","-97.795281","30.352448","(30.352448, -97.795281)"
"Bicycle","12","1","Closed","17-0732104","4800 Blk # MLK Blvd","CH","2017-03-14T00:00:00.000","Mar","Tue","23","23:42","MV/Bike","Pending","N","N","okay","BOTH (pending)","no helmet","high use roadway","N","-97.678834","30.286215","(30.286215, -97.678834)"
"Pedestrian","41","1","Open","17-2350340","3100 US 183 Hwy SB","HE","2017-08-23T00:00:00.000","Aug","Wed","7","7:14","MV/Ped",,"unk","N","unknown","UNKNOWN   ","n/a","other highway","Y","-97.683536","30.203971","(30.203971, -97.683536)"
"Motor Vehicle","27","1","Open","17-1501748","400 E Wm Cannon","FR","2017-05-30T00:00:00.000","May","Tue","21","21:18","MV/ROR","NA","Y","N","no DL","DRIVER","no seatbelt","high use roadway","N","-97.775425","30.192018","(30.192018, -97.775425)"
"Motor Vehicle","24","1","Closed","17-1191031","4500 blk E William Cannon","FR","2017-04-29T00:00:00.000","Apr","Sat","13","13:52","MV/ROR","NA","Y","N","suspended","DRIVER (PENDING)","no seatbelt","high use roadway","n","-97.754884","30.184113","(30.184113, -97.754884)"
"Motorcycle","9","1","Open","17-0531085","6100 E. US Highway 290","ID","2017-02-22T00:00:00.000","Feb","Wed","15","15:15","MC/other","NA","Y","N","no DL","NONE",,"other highway",,"-97.708229","30.321594","(30.321594, -97.708229)"
"Motor Vehicle","37","1","Open","17-2171698","Elm Creek Dr / E William Cannon Dr","FR","2017-08-05T00:00:00.000","Aug","Sat","23","23:06","MV/MV",,"Y","N","no DL","PENDING","seatbelt worn","high use roadway","Y","-97.76287","30.187706","(30.187706, -97.76287)"
"Motor Vehicle","31","1","Open","17-1890048","8500 FM 2222","AD","2017-07-08T00:00:00.000","Jul","Sat","0","0:30","MV/FO","NA","N","N","suspended","DRIVER (pending)","seatbelt worn","high use roadway","N","-97.81214","30.382159","(30.382159, -97.81214)"
"Motor Vehicle","20","2","Closed","17-0980238","3400 S SH130 SB","HE","2017-04-08T00:00:00.000","Apr","Sat","4","4:43","MV/MV","NA","unk","N","suspended","DRIVER (PENDING)","seatbelts worn","other highway","N","-97.622752","30.199905","(30.199905, -97.622752)"
"Pedestrian","5","1","Open","17-0110340","5900 blk N IH35","ID","2017-01-11T00:00:00.000","Jan","Wed","6","6:51","MV/Ped","NA","N","N","okay","NONE ","n/a","IH35","N","-97.706646","30.320762","(30.320762, -97.706646)"
"Pedestrian","16","1","Closed","17-0830563","1830 E. Anderson Ln WB","ID","2017-03-24T00:00:00.000","Mar","Fri","11","11:56","MV/Ped","NA","N","N","okay","NONE (Ped pending)","n/a","high use roadway","N","-97.68631","30.332499","(30.332499, -97.68631)"
