"objectid","rptnum","downame","disponame","title","ucrclass","pd_beat","date","exclusionzone","ddacts","depzones","address","location_1"
"10078991","17-88385","MON","CONTACT MADE, NO PAPERWORK","INVESTIGATE UNKNOWN TROUBLE","NONE","43","2017-01-08T22:31:00.000",,,,"5000 W OLIVE AVE","5000 W OLIVE AVE
,  
(33.567498, -112.166885)"
"10079003","e","MON","UNABLE TO LOCATE","SUSPICIOUS PERSON/CIRCUMSTANCE","NONE","32","2017-01-14T23:30:00.000",,,,"6700 W BETHANY HOME RD","6700 W BETHANY HOME RD
,  
(33.523893, -112.203163)"
"10078996","17-88393","MON","UNABLE TO LOCATE","SUSPICIOUS PERSON/CIRCUMSTANCE","NONE","32","2017-01-08T23:00:00.000",,,,"6700 W BETHANY HOME RD","6700 W BETHANY HOME RD
,  
(33.523893, -112.203163)"
"10078999","a","MON","CONTACT MADE, NO PAPERWORK","TRAFFIC STOP","NONE","52","2017-01-10T23:30:00.000",,,,"5800 W PARADISE LN","5800 W PARADISE LN
,  
(33.63237, -112.183777)"
"10078992","17-88386","MON","CONTACT MADE, NO PAPERWORK","TRAFFIC STOP","NONE","52","2017-01-08T22:50:00.000",,,,"5800 W PARADISE LN","5800 W PARADISE LN
,  
(33.63237, -112.183777)"
"10078995","17-88392","MON","G10/ATL CALLS","DRUNK DRIVER","NONE","44","2017-01-08T23:00:00.000",,,,"6600 W OLIVE AVE","6600 W OLIVE AVE
,  
(33.567202, -112.201094)"
"10079000","b","MON","CONTACT MADE, NO PAPERWORK","SUSPICIOUS PERSON/CIRCUMSTANCE","NONE","34","2017-01-11T23:30:00.000",,,,"7400 N 87TH DR","7400 N 87TH DR
,  
(33.543817, -112.246849)"
"10078998","17-88397","MON","UNABLE TO LOCATE","TRAFFIC HAZARD","NONE","42","2017-01-09T23:30:00.000",,,,"5200 W Main St","5200 W Main St
,  
(38.545466, -90.030823)"
"10078993","17-88389","MON","CONTACT MADE, NO PAPERWORK","SUSPICIOUS PERSON/CIRCUMSTANCE","NONE","34","2017-01-08T23:00:00.000",,,,"7500 N 87TH DR","7500 N 87TH DR
,  
(33.546672, -112.247417)"
"10079001","c","MON","CONTACT MADE, NO PAPERWORK","BURGLARY ALARM","NONE","53","2017-01-12T23:30:00.000",,,,"7200 W BELL RD","7200 W BELL RD
,  
(33.638301, -112.212654)"
"10078997","17-88396","MON","CONTACT MADE, NO PAPERWORK","TRAFFIC STOP","NONE","51","2017-01-08T23:30:00.000",,,,"5700 W ACOMA DR","5700 W ACOMA DR
,  
(33.617531, -112.182277)"
"10078994","17-88390","MON","CONTACT MADE, NO PAPERWORK","BURGLARY ALARM","NONE","53","2017-01-08T23:00:00.000",,,,"7200 W BELL RD","7200 W BELL RD
,  
(33.638301, -112.212654)"
"10079002","d","MON","G10/ATL CALLS","DRUNK DRIVER","NONE","44","2017-01-13T23:30:00.000",,,,"6600 W OLIVE AVE","6600 W OLIVE AVE
,  
(33.567202, -112.201094)"
