"adhoctaxyear","propertyid","ownershiptransferid","book","cmmnt","deeddate","displayorder","insertedbelow","instrumentnumber","instrumenttypecode","otherreference","page","recordeddate","saleshistoryreviewneeded","saleratioexclude","salesratio","adjustedsalesratio","saletypecode","stateexclude","tax","timestampchange","timestampcreate","transferchangereasoncode","transferchangereasondesc","transfervaliditycode","transfervaliditydesc","causenumber","considerat","county","financing","financingc","hsapplsend","otherowner","ratioscree","salepriceentrydate","sendhsappl","totacredeed","totdeedacrenotavail","datadate"
"2021","145263","405917","1178",,"1985-05-01T00:00:00.000","6","0",,"Conv",,"286",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","145287","406103","1092","ACRES 6.253, IOL.","1984-10-22T00:00:00.000","3","0",,"WD",,"0335",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","145288","406103","1092","ACRES 6.253, IOL.","1984-10-22T00:00:00.000","3","0",,"WD",,"0335",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","148753","405850","1224",,"1985-08-01T00:00:00.000","5","0",,"Conv",,"379",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","149874","405817","1597",,"1987-10-16T00:00:00.000","1","0",,"WD",,"143",,"0","1","0.000000","0.000000",,"0",,"2008-04-07T16:19:45.240","2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,"6.900000","0.000000","2022-06-19T02:03:17.347"
"2021","67467","406103","1092","ACRES 6.253, IOL.","1984-10-22T00:00:00.000","3","0",,"WD",,"0335",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","68216","406168","1084",,,"4","0",,"Conv",,"912",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","68221","406186","605",,"1975-03-24T00:00:00.000","11","0",,"WD",,"760",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","68240","406235","1219",,"1985-07-01T00:00:00.000","8","0",,"Conv",,"221",,"0","0","1161.180000","0.000000","C","0",,"2004-01-08T09:37:39.710","2003-10-31T14:44:30.000","CONV","Conversion","VALID","Valid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","68277","406386","1168",,"1985-04-01T00:00:00.000","7","0",,"Conv",,"539",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","73792","406104","1162",,"1985-04-04T00:00:00.000","4","0",,"Conv",,"528",,"0","0","876.900000","0.000000","V","0",,,"2003-10-31T14:44:30.000","CONV","Conversion","VALID","Valid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","73794","406203","1164",,"1985-04-01T00:00:00.000","1","0",,"Conv",,"226",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","145206","405597","1543",,"1987-05-29T00:00:00.000","5","0",,"Conv",,"326",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","145314","406271","1466",,"1986-12-31T00:00:00.000","7","0",,"Conv",,"280",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","145319","406285","1466",,"1986-12-31T00:00:00.000","9","0",,"Conv",,"280",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","145322","406303","1466",,"1986-12-31T00:00:00.000","3","0",,"Conv",,"280",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","145329","406335","1466",,"1986-12-31T00:00:00.000","9","0",,"Conv",,"280",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","148753","405631","1447",,"1986-11-11T00:00:00.000","3","0",,"Conv",,"718",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","169281","406103","1092","ACRES 6.253, IOL.","1984-10-22T00:00:00.000","3","0",,"WD",,"0335",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","169282","406103","1092","ACRES 6.253, IOL.","1984-10-22T00:00:00.000","3","0",,"WD",,"0335",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","238646","406103","1092","ACRES 6.253, IOL.","1984-10-22T00:00:00.000","3","0",,"WD",,"0335",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","68197","406106","1157",,"1985-03-01T00:00:00.000","5","0",,"Conv",,"896",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","68199","406108","1123","VOL 1123 PG 913 SHOWS THAT GRANTOR: DON T & CLAYTA J RICHARDS CONVEY 9.872 AC TO WILLIAM KOLAKOWSKI (4-12-04 AMU).///","1985-01-01T00:00:00.000","2","0",,"Conv",,"913","1985-01-14T00:00:00.000","0","0","972.720000","0.000000","C","0",,"2004-04-12T11:30:44.047","2003-10-31T14:44:30.000","CONV","Conversion","VALID","Valid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","68206","406131",,,,"10","0",,"Conv",,,,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","68206","406131",,,,"10","0",,"Conv",,,,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","68257","406297","1789","2008055523 Special Warranty Deed filed by State Street Bank for loan #5927344357 for the Cairnes.  Believe this should have been a release of lien. JS/","1989-06-14T00:00:00.000","3","0",,"GD",,"723",,"0","1","0.000000","0.000000",,"0",,"2008-07-30T09:06:07.810","2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,"0.000000","2022-06-19T02:03:17.347"
"2021","68328","406601",,,,"3","0",,"Conv",,,,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","68332","406610","1579",,"1987-06-19T00:00:00.000","3","0",,"Conv",,"192",,"0","0","3658.160000","0.000000","V","0",,,"2003-10-31T14:44:30.000","CONV","Conversion","VALID","Valid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","68345","406640",,,,"4","0",,"Conv",,,,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","73774","405576","1045",,"1984-08-01T00:00:00.000","2","0",,"Conv",,"544",,"0","0","743.470000","0.000000","V","0",,,"2003-10-31T14:44:30.000","CONV","Conversion","VALID","Valid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","73796","406267",,,,"3","0",,"Conv",,,,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","73822","406942","1291",,"1985-12-01T00:00:00.000","4","0",,"Conv",,"432",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","109869","406308",,,"1987-08-01T00:00:00.000","13","0",,"GEMCRAFT",,,,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","109872","406401","1763",,"1989-03-10T00:00:00.000","6","0",,"SWD",,"911",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","109873","406406","1763",,"1989-03-10T00:00:00.000","9","0",,"SWD",,"911",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","109880","406833","1763",,"1989-03-10T00:00:00.000","8","0",,"SWD",,"911",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","109889","407033","1356",,"1986-05-01T00:00:00.000","12","0",,"Conv",,"206",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
