"age","income","race","sex","year","id","name","demographic_group_number","demographic_group_moe","uninsured_number","uninsured_moe_1","uninsured","uninsured_moe_2","insured_number","insured_moe_1","insured","insured_moe_2"
"40 to 64 years","All Incomes","All Races","Both Sexes","2012","49041","Sevier County, UT","5495","0","901","120","16.399999999999999","2.2000000000000002","4594","120","83.6","2.2000000000000002"
"40 to 64 years","All Incomes","All Races","Both Sexes","2012","49043","Summit County, UT","14375","0","1599","221","11.1","1.5","12776","221","88.9","1.5"
"40 to 64 years","All Incomes","All Races","Both Sexes","2012","49045","Tooele County, UT","16079","0","1928","274","12","1.7","14151","274","88","1.7"
"40 to 64 years","All Incomes","All Races","Both Sexes","2012","49047","Uintah County, UT","8692","0","1357","176","15.6","2","7335","176","84.4","2"
"40 to 64 years","All Incomes","All Races","Both Sexes","2012","49049","Utah County, UT","106842","0","16120","1500","15.1","1.4","90722","1500","84.9","1.4"
"40 to 64 years","All Incomes","All Races","Both Sexes","2012","49051","Wasatch County, UT","7293","0","1181","150","16.2","2.1","6112","150","83.8","2.1"
"40 to 64 years","All Incomes","All Races","Both Sexes","2012","49053","Washington County, UT","35586","0","6832","745","19.2","2.1","28754","745","80.8","2.1"
"40 to 64 years","All Incomes","All Races","Both Sexes","2012","49055","Wayne County, UT","869","0","192","25","22.1","2.9","677","25","77.900000000000006","2.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2012","49057","Weber County, UT","64420","0","9027","960","14","1.5","55393","960","86","1.5"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49000","Utah","715056","0","111427","5098","15.6","0.7","603630","5098","84.4","0.7"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49001","Beaver County, UT","1822","0","370","50","20.3","2.7","1453","50","79.7","2.7"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49003","Box Elder County, UT","13514","0","1964","262","14.5","1.9","11550","262","85.5","1.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49005","Cache County, UT","23933","0","3474","440","14.5","1.8","20460","440","85.5","1.8"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49007","Carbon County, UT","6398","0","846","123","13.2","1.9","5552","123","86.8","1.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49009","Daggett County, UT","367","0","61","10","16.600000000000001","2.6","306","10","83.4","2.6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49011","Davis County, UT","81034","0","9982","1195","12.3","1.5","71052","1195","87.7","1.5"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49013","Duchesne County, UT","4777","0","844","112","17.7","2.2999999999999998","3933","112","82.3","2.2999999999999998"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49015","Emery County, UT","3236","0","440","64","13.6","2","2795","64","86.4","2"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49017","Garfield County, UT","1677","0","287","43","17.100000000000001","2.6","1391","43","82.9","2.6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49019","Grand County, UT","3373","0","716","95","21.2","2.8","2657","95","78.8","2.8"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49021","Iron County, UT","10920","0","2259","279","20.7","2.6","8660","279","79.3","2.6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49023","Juab County, UT","2659","0","387","57","14.5","2.1","2272","57","85.5","2.1"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49025","Kane County, UT","2522","0","414","62","16.399999999999999","2.4","2108","62","83.6","2.4"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49027","Millard County, UT","3646","0","676","87","18.600000000000001","2.4","2970","87","81.400000000000006","2.4"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49029","Morgan County, UT","2832","0","307","47","10.8","1.7","2525","47","89.2","1.7"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49031","Piute County, UT","457","0","107","15","23.5","3.3","350","15","76.5","3.3"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49033","Rich County, UT","664","0","119","18","17.899999999999999","2.7","544","18","82.1","2.7"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49035","Salt Lake County, UT","287132","0","45564","3076","15.9","1.1000000000000001","241568","3076","84.1","1.1000000000000001"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49037","San Juan County, UT","4072","0","969","117","23.8","2.9","3102","117","76.2","2.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49039","Sanpete County, UT","6284","0","1162","148","18.5","2.4","5121","148","81.5","2.4"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49041","Sevier County, UT","5563","0","885","123","15.9","2.2000000000000002","4678","123","84.1","2.2000000000000002"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49043","Summit County, UT","14221","0","1705","237","12","1.7","12517","237","88","1.7"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49045","Tooele County, UT","15655","0","2088","288","13.3","1.8","13567","288","86.7","1.8"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49047","Uintah County, UT","8501","0","1494","189","17.600000000000001","2.2000000000000002","7006","189","82.4","2.2000000000000002"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49049","Utah County, UT","103056","0","16231","1599","15.7","1.6","86825","1599","84.3","1.6"
