"age","income","race","sex","year","id","name","demographic_group_number","demographic_group_moe","uninsured_number","uninsured_moe_1","uninsured","uninsured_moe_2","insured_number","insured_moe_1","insured","insured_moe_2"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49000","Utah","689284","0","94160","7161","13.7","1","595124","7488","86.3","1.1000000000000001"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49001","Beaver County, UT","1649","0","404","81","24.5","4.9000000000000004","1245","80","75.5","4.9000000000000004"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49003","Box Elder County, UT","12874","0","1711","405","13.3","3.1","11163","453","86.7","3.5"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49005","Cache County, UT","22773","0","3524","760","15.5","3.3","19249","814","84.5","3.6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49007","Carbon County, UT","6482","0","694","186","10.7","2.9","5789","233","89.3","3.6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49009","Daggett County, UT","293","0","77","17","26.4","5.7","216","17","73.599999999999994","5.7"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49011","Davis County, UT","75668","0","7531","1647","10","2.2000000000000002","68137","2006","90","2.7"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49013","Duchesne County, UT","4396","0","788","186","17.899999999999999","4.2","3608","211","82.1","4.8"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49015","Emery County, UT","3353","0","513","113","15.3","3.4","2841","126","84.7","3.8"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49017","Garfield County, UT","1369","0","310","65","22.7","4.8","1059","68","77.3","5"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49019","Grand County, UT","3440","0","702","167","20.399999999999999","4.9000000000000004","2738","172","79.599999999999994","5"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49021","Iron County, UT","9255","0","1508","362","16.3","3.9","7747","392","83.7","4.2"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49023","Juab County, UT","2319","0","330","84","14.2","3.6","1989","97","85.8","4.2"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49025","Kane County, UT","2067","0","400","94","19.3","4.5","1667","105","80.7","5.0999999999999996"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49027","Millard County, UT","3660","0","638","152","17.399999999999999","4.2","3023","168","82.6","4.5999999999999996"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49029","Morgan County, UT","2342","0","431","88","18.399999999999999","3.7","1911","85","81.599999999999994","3.6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49031","Piute County, UT","428","0","84","21","19.600000000000001","4.9000000000000004","344","24","80.400000000000006","5.6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49033","Rich County, UT","621","0","159","31","25.6","4.9000000000000004","462","28","74.400000000000006","4.5"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49035","Salt Lake County, UT","289463","0","41250","4846","14.3","1.7","248213","6190","85.7","2.1"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49037","San Juan County, UT","4178","0","807","204","19.3","4.9000000000000004","3371","244","80.7","5.8"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49039","Sanpete County, UT","5709","0","1118","249","19.600000000000001","4.4000000000000004","4591","275","80.400000000000006","4.8"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49041","Sevier County, UT","5327","0","764","186","14.3","3.5","4562","213","85.7","4"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49043","Summit County, UT","13144","0","1661","418","12.6","3.2","11484","430","87.4","3.3"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49045","Tooele County, UT","13198","0","1532","401","11.6","3","11666","439","88.4","3.3"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49047","Uintah County, UT","8039","0","1712","352","21.3","4.4000000000000004","6327","346","78.7","4.3"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49049","Utah County, UT","102042","0","12071","2429","11.8","2.4","89971","2872","88.2","2.8"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49051","Wasatch County, UT","5400","0","980","222","18.100000000000001","4.0999999999999996","4421","218","81.900000000000006","4"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49053","Washington County, UT","27101","0","4635","966","17.100000000000001","3.6","22465","1048","82.9","3.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49055","Wayne County, UT","766","0","162","37","21.1","4.8","604","40","78.900000000000006","5.2"
"40 to 64 years","All Incomes","All Races","Both Sexes","2007","49057","Weber County, UT","61927","0","7665","1601","12.4","2.6","54263","1859","87.6","3"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49000","Utah","662459","0","92401","7256","13.9","1.1000000000000001","570058","7921","86.1","1.2"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49001","Beaver County, UT","1677","0","452","107","26.9","6.4","1226","97","73.099999999999994","5.8"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49003","Box Elder County, UT","12642","0","1679","479","13.3","3.8","10964","483","86.7","3.8"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49005","Cache County, UT","22015","0","3104","798","14.1","3.6","18911","807","85.9","3.7"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49007","Carbon County, UT","6293","0","695","210","11","3.3","5598","231","89","3.7"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49009","Daggett County, UT","297","0","80","20","27","6.8","217","18","73","6.2"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49011","Davis County, UT","73335","0","7600","1795","10.4","2.4","65735","2000","89.6","2.7"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49013","Duchesne County, UT","4367","0","796","221","18.2","5.0999999999999996","3572","221","81.8","5.0999999999999996"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49015","Emery County, UT","3380","0","539","134","16","4","2841","131","84","3.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49017","Garfield County, UT","1387","0","326","83","23.5","6","1061","78","76.5","5.7"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49019","Grand County, UT","3208","0","640","191","19.899999999999999","5.9","2568","181","80.099999999999994","5.6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49021","Iron County, UT","9091","0","1508","437","16.600000000000001","4.8","7583","429","83.4","4.7"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49023","Juab County, UT","2241","0","282","90","12.6","4","1959","94","87.4","4.2"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49025","Kane County, UT","2136","0","464","130","21.7","6.1","1671","125","78.3","5.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49027","Millard County, UT","3682","0","818","214","22.2","5.8","2864","199","77.8","5.4"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49029","Morgan County, UT","2334","0","454","100","19.399999999999999","4.3","1880","90","80.599999999999994","3.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49031","Piute County, UT","426","0","133","29","31.3","6.9","293","26","68.7","6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49033","Rich County, UT","636","0","176","40","27.7","6.3","460","35","72.3","5.4"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49035","Salt Lake County, UT","280404","0","37810","4844","13.5","1.7","242594","5781","86.5","2.1"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49037","San Juan County, UT","4104","0","773","237","18.8","5.8","3331","248","81.2","6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49039","Sanpete County, UT","5684","0","1196","312","21","5.5","4488","301","79","5.3"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49041","Sevier County, UT","5349","0","779","231","14.6","4.3","4570","234","85.4","4.4000000000000004"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49043","Summit County, UT","12845","0","1905","479","14.8","3.7","10940","465","85.2","3.6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49045","Tooele County, UT","12669","0","1338","423","10.6","3.3","11331","435","89.4","3.4"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49047","Uintah County, UT","7987","0","1634","374","20.5","4.7","6352","350","79.5","4.4000000000000004"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49049","Utah County, UT","91406","0","13379","2655","14.6","2.9","78028","2716","85.4","3"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49051","Wasatch County, UT","5290","0","973","257","18.399999999999999","4.9000000000000004","4316","237","81.599999999999994","4.5"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49053","Washington County, UT","26833","0","5270","1163","19.600000000000001","4.3","21564","1114","80.400000000000006","4.2"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49055","Wayne County, UT","765","0","196","50","25.6","6.5","570","46","74.400000000000006","6.1"
"40 to 64 years","All Incomes","All Races","Both Sexes","2006","49057","Weber County, UT","59974","0","7401","1709","12.3","2.8","52573","1834","87.7","3.1"
