"incident_id","case_number","incident_datetime","incident_type_primary","incident_description","clearance_type","address_1","address_2","city","state","zip","country","latitude","longitude","created_at","updated_at","location","hour_of_day","day_of_week","parent_incident_type"
"653626408","15OR00343","2015-01-03T23:01:16.000","TRAFFIC OFFENSE","Description: Traffic Offense",,"GARDEN PARK DR",,"OREM","UT",,,"40.2989","-111.701","2015-01-06T09:03:54.000","2015-01-15T09:14:51.000","POINT (-111.701 40.2989)","23","Saturday","Traffic"
"651466068","14OR53949","2014-12-31T13:12:09.000","TRAFFIC ACCIDENT-REPORTABLE","Description: Traffic Accident-Reportable",,"1300 Block STATE ST",,"OREM","UT",,,"40.272","-111.684","2015-01-03T09:03:35.000","2015-01-12T09:00:49.000","POINT (-111.684 40.272)","13","Wednesday","Traffic"
"828266655","17OR55251","2017-12-02T15:12:47.000","TRAFFIC OFFENSE","Description: Traffic Offense",,"800 Block STATE ST",,"OREM","UT",,,"40.3119","-111.701","2017-12-05T11:07:27.000","2017-12-15T11:26:15.000","POINT (-111.701 40.3119)","15","Saturday","Traffic"
"16994441","09OR38655","2009-10-01T00:00:00.000","Community Policing","Description: CITIZEN ASSIST",,"1 BLOCK CENTER ST",,"OREM","UT","null","US","40.29712","-111.69326","2009-10-08T03:09:53.000","2009-10-13T03:05:58.000","POINT (-111.69326 40.29712)","0","Thursday","Proactive Policing"
"643221981","14OR52609","2014-12-20T22:12:37.000","CITIZEN ASSIST","Description: Citizen Assist",,"500 Block N 400 EAST",,"OREM","UT",,,"40.3068","-111.686","2014-12-23T09:03:40.000","2015-01-01T09:01:45.000","POINT (-111.686 40.3068)","22","Saturday","Community Policing"
"644069789","14OR52688","2014-12-21T18:12:04.000","PROPERTY-FOUND","Description: Property-Found",,"1 Block CENTER ST",,"OREM","UT",,,"40.2971","-111.693","2014-12-24T09:03:38.000","2015-01-02T09:00:51.000","POINT (-111.693 40.2971)","18","Sunday","Property Crime"
"664085834","15OR01640","2015-01-13T16:01:03.000","CRIMINAL MISCHIEF","Description: Criminal Mischief",,"700 Block W 1700 NORTH",,"OREM","UT",,,"40.3281","-111.713","2015-01-16T09:16:38.000","2015-01-25T09:02:20.000","POINT (-111.713 40.3281)","16","Tuesday","Other"
"658371157","15OR00825","2015-01-07T16:01:44.000","CITIZEN ASSIST","Description: Citizen Assist",,"1 Block CENTER ST",,"OREM","UT",,,"40.2971","-111.693","2015-01-10T09:03:36.000","2015-01-19T09:01:23.000","POINT (-111.693 40.2971)","16","Wednesday","Community Policing"
"656484544","15OR00488","2015-01-05T13:01:38.000","CITIZEN ASSIST","Description: Citizen Assist",,"1 Block CENTER ST",,"OREM","UT",,,"40.2971","-111.693","2015-01-08T09:03:34.000","2015-01-17T13:32:37.000","POINT (-111.693 40.2971)","13","Monday","Community Policing"
"659788445","15OR01100","2015-01-09T13:01:51.000","DISORDERLY CONDUCT","Description: Disorderly Conduct",,"700 Block N 600 WEST",,"OREM","UT",,,"40.3113","-111.71","2015-01-12T09:03:35.000","2015-01-21T09:00:42.000","POINT (-111.71 40.3113)","13","Friday","Disorder"
