"company","mine","coal_field","bed_s","heat_content_btu_lb","sulfur","ash","moisture"
"UtahAmerican Energy, Inc.","Aberdeen","Book Cliffs","Aberdeen","12200","0.5","8.5%","6.5%"
"Canyon Fuel, LLC","Dugout Canyon","Book Cliffs","Gilson","12126","0.8","na","na"
"WEST RIDGE Resources, Inc.","West Ridge","Book Cliffs","Lower Sunnyside","11889","1.0","13.0%","6.0%"
"CONSOL Energy","Emery","Emery","I","12260",,"na","na"
"Canyon Fuel, LLC","Skyline #3","Wasatch","Lower O'Connor 'A'","11400","0.3","11.0%","8.6%"
"Canyon Fuel, LLC","SUFCO","Wasatch","Upper Hiawatha","11028","0.4","10.4%","10.3%"
"C.W. (Co-op) Mining Co.","Bear Canyon #4","Wasatch","Tank","11800","0.5","11.1%","8.5%"
"Energy West Mining Co.","Deer Creek","Wasatch","Hiawatha/Blind Canyon","11700","1.0","10.0%","5.0%"
"Hidden Splendor Resources, Inc.","Horizon","Wasatch","Hiawatha","11700","1.0","10.0%","5.0%"
