"Site","Site ID","Parameter","Date","Value","Units"
"CAUSEY RESERVOIR","causey","Reservoir Storage","5/11/2019 0:00","7135","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","5/10/2019 0:00","7132","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","5/9/2019 0:00","7138","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","5/8/2019 0:00","7147","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","5/7/2019 0:00","7156","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","5/6/2019 0:00","7153","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","5/5/2019 0:00","7135","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","5/4/2019 0:00","7089","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","5/3/2019 0:00","6991","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","5/2/2019 0:00","6933","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","5/1/2019 0:00","6849","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","4/30/2019 0:00","6627","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","4/29/2019 0:00","6376","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","4/28/2019 0:00","6021","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","4/27/2019 0:00","5567","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","4/26/2019 0:00","5047","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","4/25/2019 0:00","4535","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","4/24/2019 0:00","4098","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","4/23/2019 0:00","3725","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","4/22/2019 0:00","3477","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","4/21/2019 0:00","3194","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","4/20/2019 0:00","2892","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","4/19/2019 0:00","2654","Acre feet"
"CAUSEY RESERVOIR","causey","Reservoir Storage","4/18/2019 0:00","2516","Acre feet"
