"fiscal_year","real_primary_residential","real_other_property","personal_non_residential","personal_other_property","mines_utilities","total_taxable_assessed_value","total_direct_tax_rate","estimated_actual_taxable_value","assessed_value_of_actual_value"
"2005","2944551884","1200902970","230145834","7376833","99646666","4482624187","0.0018439999999999999","6919830111",
"2006","3131181804","1307015205","226720848","6663727","94897357","4766478941","0.0017570000000000001","7349103358","64.86"
"2007","3596375124","1621628690","246526132","6165738","97311677","5568007361","0.0015139999999999999","8490652494","65.58"
"2008","4465548427","1970975573","267909994","7253552","122998276","6834685822","0.0012520000000000001","10433398227","65.510000000000005"
"2009","4728106187","2228315771","290039374","7097872","101356149","7354915353","0.001175","11198995056","65.67"
"2010","4037437777","1978290710","392782299","6899709","100422840","6515833335","0.001356","10029836144","64.959999999999994"
"2011","3999225823","1944429862","397400579","6466814","102078080","6449601158","0.001402","9726411441","66.31"
"2012","3828609281","1954392770","289012146","6267539","95675049","6173956785","0.0014809999999999999","9324333147","64.510000000000005"
"2013","3714548285","1937371614","313193136","6027303","91029400","6062169738","0.0015200000000000001","9121187624","66.459999999999994"
"2014","3896023932","1969406660","319780029","5793008","94460295","6285463924","0.0014829999999999999","9483071154","66.28"
