"fiscal_year","mine_occupation_collections","real_mine_collections","real_mine_per_capita","mine_tax_rate","metalliferous_ores","real_ore_collections","real_per_capita_ore","ores_rate","oil_gas_collections","oil_gas_real_collections","real_per_capita_oil_gas","oil_gas_rate","oil_rate_13_1","oil_rate_13_2","gas_rate_1_50_1","gas_rate_1_50_2","notes"
"1938","532003","3694465","7","1"," N/A ",,,"1"," N/A ",,,"1",,,,,"1"
"1939","327699","2324106","4.28","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1940","483284","3476863","6.4","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1941","674650","4818929","8.73","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1942","789162","5368449","9.74","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1943","791193","4853945","8.5","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1944","926442","5355156","8.3699999999999992","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1945","857085","4869801","8.0500000000000007","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1946","656827","3649039","6.19","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1947","393226","2016544","3.16","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1948","1359141","6094803","9.58","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1949","1363820","5659004","8.67","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1950","866251","3639710","5.43","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1951","1422134","5900971","8.48","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1952","1731757","6660604","9.43","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1953","1844481","6960306","9.61","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1954","2097689","7856513","10.63","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1955","1760368","6544119","8.7200000000000006","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1956","2459673","9177884","11.72","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1957","2766326","10170316","12.57","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1958","2230902","7939153","9.61","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1959","2395380","8288512","9.81","1"," N/A ",,,"1"," N/A ",,,"1",,,,,
"1960","3664677","12571791","14.45","1"," N/A ",,,"1"," N/A ",,,"2",,,,,"2"
"1961","3601537","12173524","13.53","1"," N/A ",,,"1"," N/A ",,,"2",,,,,
"1962","3497841","11697813","12.5","1"," N/A ",,,"1"," N/A ",,,"2",,,,,
"1963","2476141","8184688","8.5399999999999991","1"," N/A ",,,"1"," N/A ",,,"2",,,,,
"1964","4005334","13075084","13.42","1","1,614,348","5269906","5.41","1","1,604,540","5237889","5.38","2",,,,,"3"
"1965","3084356","9937247","10.16","1","1,735,603","5591805","5.72","1","1,368,804","4410043","4.51","2",,,,,
"1966","3359277","10654788","10.75","1","2,141,977","6793816","6.86","1","1,188,472","3769536","3.8","2",,,,,
"1967","3221555","9921381","9.83","1","2,086,230","6424935","6.37","1","1,136,704","3500692","3.47","2",,,,,
"1968","2674337","8012995","7.86","1","1,528,416","4579524","4.49","1","1,137,834","3409240","3.35","2",,,,,
"1969","2901126","8338566","8.1","1","1,781,866","5121531","4.9800000000000004","1","1,113,865","3201528","3.11","2",,,,,
"1970","4179357","11393068","10.88","1","3,002,564","8185090","7.82","1","1,170,350","3190413","3.05","2",,,,,
"1971","4576494","11782435","11.05","1","3,378,243","8697472","8.16","1","1,202,049","3094741","2.9","2",,,,,
"1972","3830829","9462731","8.59","1","2,548,691","6295655","5.72","1","1,294,770","3198279","2.9","2",,,,,
"1973","3801382","9092403","8.01","1","2,382,866","5699500","5.0199999999999996","1","1,397,398","3342391","2.94","2",,,,,
"1974","5033602","11330562","9.69","1","2,871,917","6464642","5.53","1","2,165,184","4873796","4.17","2",,,,,
"1975","5769461","11698806","9.77","1","3,085,616","6256741","5.23","1","5,438,067","11026834","9.2100000000000009","2",,,,,
"1976","11258648","20917135","16.95","1","2,497,198","4639476","3.76","1","5,915,867","10990928","8.91","2",,,,,
"1977","8489036","14910485","11.72","1","1,958,565","3440102","2.7","1","6,613,621","11616430","9.1300000000000008","2",,,,,
"1978","8446277","13933919","10.59","1","2,307,175","3806173","2.89","1","6,162,168","10165798","7.73","2",,,,,
"1979","8423221","12910800","9.4700000000000006","1","2,934,722","4498233","3.3","1","6,667,749","10220078","7.49","2",,,,,
"1980","9821081","13530766","9.56","1","3,709,882","5111204","3.61","1","6,857,879","9448283","6.67","2",,,,,
"1981","14757130","17912761","12.15","1","4,167,921","5059180","3.43","1","11,175,800","13565608","9.1999999999999993","2",,,,,
"1982","20694158","22757505","15.02","1","4,212,728","4632765","3.06","1","19,094,384","20998223","13.86","2",,,,,
"1983","19433070","20130943","12.92","1","2,333,993","2417810","1.55","1","17,099,077","17713132","11.37","2",,,,,
"1984","36242720","36394363","22.82","1","3,653,056","3668341","2.2999999999999998","1","32,591,573","32727939","20.52","2",,,,,
"1985","46880361","45106184","27.81","1","761,400","732585","0.45","1","46,446,760","44688993","27.55","4",,,,,"4"
"1986","43796980","40703513","24.77","1","1,023,523","951230","0.57999999999999996","1","42,773,457","39752283","24.19","4",,,,,
"1987","21547641","19643827","11.81","1","887,589","809167","0.49","1","19,726,192","17983310","10.81","4",,,,,
"1988","29155928","25661665","15.29",,"3,643,336","3206692","1.91","2.4","25,512,592","22454973","13.38","4",,,,,"5"
"1989","28134067","23786994","14.08",,"4,935,555","4172949","2.4700000000000002","2.4","23,198,512","19614045","11.61","4",,,,,
"1990","30095784","24282217","14.23",,"5,389,113","4348104","2.5499999999999998","2.5499999999999998","24,706,671","19934112","11.68","4",,,,,"6"
"1991","31016407","23738560","13.73",,"7,252,524","5550755","3.21","2.6","23,763,883","18187805","10.52","4",,,,,
"1992","18160200","13336744","7.49",,"6,413,406","4709968","2.64","2.6","11,746,794","8626776","4.84",,"3","5","3","5","7"
"1993","19266829","13731778","7.47",,"7,037,894","5016020","2.73","2.6","12,228,935","8715758","4.74",,"3","5","3","5",
"1994","18872512","13062822","6.91",,"6,116,475","4233587","2.2400000000000002","2.6","12,756,037","8829235","4.67",,"3","5","3","5",
"1995","21403658","14439978","7.42",,"8,419,283","5680069","2.92","2.6","12,984,375","8759909","4.5",,"3","5","3","5",
"1996","20358130","13359814","6.7",,"8,289,094","5439633","2.73","2.6","12,069,036","7920181","3.97",,"3","5","3","5",
"1997","23780616","15160569","7.42",,"6,563,325","4184237","2.0499999999999998","2.6","17,217,291","10976332","5.37",,"3","5","3","5",
"1998","23008615","14333353","6.83",,"9,019,651","5618845","2.68","2.6","13,988,964","8714508","4.1500000000000004",,"3","5","3","5",
"1999","13054209","8008308","3.74",,"5,111,658","3135826","1.46","2.6","7,942,551","4872482","2.2799999999999998",,"3","5","3","5",
"2000","23010545","13813234","6.3",,"5,698,005","3420513","1.56","2.6","17,312,540","10392720","4.74",,"3","5","3","5",
"2001","45561512","26459766","11.78",,"6,203,714","3602796","1.6","2.6","39,357,798","22856970","10.17",,"3","5","3","5",
"2002","23845582","13468910","5.84",,"4,952,500","2797364","1.21","2.6","18,893,082","10671545","4.63",,"3","5","3","5",
"2003","32579215","18112981","7.68",,"5,833,936","3243478","1.38","2.6","26,745,279","14869503","6.31",,"3","5","3","5",
"2004","42686292","23199072","9.61",,"6,026,484","3275263","1.36","2.6","36,659,808","19923809","8.25",,"3","5","3","5",
"2005","64931749","34372094","13.92",,"11,447,429","6059780","2.4500000000000002","2.6","53,484,320","28312314","11.47",,"3","5","3","5",
"2006","88556667","45351656","17.8",,"17,042,798","8727961","3.43","2.6","71,513,869","36623695","14.38",,"3","5","3","5",
"2007","89034372","44174831","16.89",,"23,604,499","11711485","4.4800000000000004","2.6","65,429,873","32463346","12.41",,"3","5","3","5",
"2008","92057776","44400410","16.45",,"26,547,270","12804021","4.74","2.6","65,510,506","31596390","11.7",,"3","5","3","5",
"2009","85569486","39754090","14.42",,"14,573,697","6770685","2.46","2.6","70,995,789","32983405","11.96",,"3","5","3","5",
