Location 1,County,geoid,unemployment_rate,Median household income,Gini Index,below poverty level,below poverty level - Male,below poverty level - Male - Under 5 years,below poverty level - Male - 5 years,below poverty level - Male - 6 to 11 years,below poverty level - Male - 12 to 14 years,below poverty level - Male - 15 years,below poverty level - Male - 16 and 17 years,below poverty level - Male - 18 to 24 years,below poverty level - Male - 25 to 34 years,below poverty level - Male - 35 to 44 years,below poverty level - Male - 45 to 54 years,below poverty level - Male - 55 to 64 years,below poverty level - Male - 65 to 74 years,below poverty level - Male - 75 years and over,below poverty level - Female,below poverty level - Female - Under 5 years,below poverty level - Female - 5 years,below poverty level - Female - 6 to 11 years,below poverty level - Female - 12 to 14 years,below poverty level - Female - 15 years,below poverty level - Female - 16 and 17 years,below poverty level - Female - 18 to 24 years,below poverty level - Female - 25 to 34 years,below poverty level - Female - 35 to 44 years,below poverty level - Female - 45 to 54 years,below poverty level - Female - 55 to 64 years,below poverty level - Female - 65 to 74 years,below poverty level - Female - 75 years and over,at or above poverty level,at or above poverty level - Male,at or above poverty level - Male - Under 5 years,at or above poverty level - Male - 5 years,at or above poverty level - Male - 6 to 11 years,at or above poverty level - Male - 12 to 14 years,at or above poverty level - Male - 15 years,at or above poverty level - Male - 16 and 17 years,at or above poverty level - Male - 18 to 24 years,at or above poverty level - Male - 25 to 34 years,at or above poverty level - Male - 35 to 44 years,at or above poverty level - Male - 45 to 54 years,at or above poverty level - Male - 55 to 64 years,at or above poverty level - Male - 65 to 74 years,at or above poverty level - Male - 75 years and over,at or above poverty level - Female,at or above poverty level - Female - Under 5 years,at or above poverty level - Female - 5 years,at or above poverty level - Female - 6 to 11 years,at or above poverty level - Female - 12 to 14 years,at or above poverty level - Female - 15 years,at or above poverty level - Female - 16 and 17 years,at or above poverty level - Female - 18 to 24 years,at or above poverty level - Female - 25 to 34 years,at or above poverty level - Female - 35 to 44 years,at or above poverty level - Female - 45 to 54 years,at or above poverty level - Female - 55 to 64 years,at or above poverty level - Female - 65 to 74 years,at or above poverty level - Female - 75 years and over,Census Tract Boundaries,Utah Senate Districts,Utah House Districts,Municipalities,Counties (New)
"Rocky Ridge, Utah
(39.932477, -111.820813)",Juab,16000US4964590,,32019,0.4449,429,195,46,4,76,26,1,6,3,0,15,18,0,0,0,234,31,0,78,6,0,25,17,35,26,9,0,0,7,690,377,86,2,86,32,5,28,42,41,22,14,16,3,0,313,22,28,32,47,6,18,61,37,27,14,21,0,0,174,17,54,79,28
"Nephi, Utah
(39.71002, -111.828546)",Juab,16000US4954220,,52083,0.3229,755,435,35,36,154,9,19,16,69,8,25,22,28,14,0,320,18,0,21,25,0,6,27,80,71,15,41,0,16,4553,2177,227,40,221,148,34,59,124,360,250,269,187,129,129,2376,312,19,225,209,48,115,164,312,313,282,124,127,126,349,17,54,73,28
"Mona, Utah
(39.814673, -111.855228)",Juab,16000US4951140,,56111,0.3438,109,67,0,0,19,0,0,9,10,3,9,0,6,8,3,42,2,0,0,8,0,0,0,3,8,4,16,0,1,1115,577,48,11,63,38,15,26,38,69,96,70,42,28,33,538,52,2,50,32,0,16,12,93,76,80,57,44,24,174,17,54,80,28
"Levan, Utah
(39.557451, -111.863824)",Juab,16000US4944650,,60089,0.3312,28,6,0,0,0,0,0,0,0,0,0,4,0,2,0,22,0,0,0,0,0,0,6,0,3,0,0,10,3,1044,564,60,0,53,55,8,17,51,94,91,57,47,27,4,480,26,21,47,49,8,26,43,60,51,58,68,21,2,174,17,54,78,28
"Oljato-Monument Valley, Utah
(37.027645, -110.225393)",San Juabn,16000US4956440,,32222,0.443,533,227,40,5,58,39,5,10,25,11,31,3,0,0,0,306,70,18,55,21,5,17,8,46,24,5,27,6,4,591,284,26,2,36,18,0,22,33,29,33,43,31,10,1,307,27,6,23,12,16,23,26,53,35,43,33,8,2,182,20,71,,29
"Eureka, Utah
(39.955046, -112.117825)",Juab,16000US4924080,,43667,0.4044,100,56,0,0,3,8,3,8,3,3,22,4,2,0,0,44,0,0,0,0,0,10,3,0,16,2,10,0,3,536,299,19,0,32,16,7,5,39,39,38,27,46,13,18,237,17,0,10,11,0,1,17,35,31,31,57,13,14,174,17,65,76,28
