Location 1,County,geoid,unemployment_rate,Median household income,Gini Index,below poverty level,below poverty level - Male,below poverty level - Male - Under 5 years,below poverty level - Male - 5 years,below poverty level - Male - 6 to 11 years,below poverty level - Male - 12 to 14 years,below poverty level - Male - 15 years,below poverty level - Male - 16 and 17 years,below poverty level - Male - 18 to 24 years,below poverty level - Male - 25 to 34 years,below poverty level - Male - 35 to 44 years,below poverty level - Male - 45 to 54 years,below poverty level - Male - 55 to 64 years,below poverty level - Male - 65 to 74 years,below poverty level - Male - 75 years and over,below poverty level - Female,below poverty level - Female - Under 5 years,below poverty level - Female - 5 years,below poverty level - Female - 6 to 11 years,below poverty level - Female - 12 to 14 years,below poverty level - Female - 15 years,below poverty level - Female - 16 and 17 years,below poverty level - Female - 18 to 24 years,below poverty level - Female - 25 to 34 years,below poverty level - Female - 35 to 44 years,below poverty level - Female - 45 to 54 years,below poverty level - Female - 55 to 64 years,below poverty level - Female - 65 to 74 years,below poverty level - Female - 75 years and over,at or above poverty level,at or above poverty level - Male,at or above poverty level - Male - Under 5 years,at or above poverty level - Male - 5 years,at or above poverty level - Male - 6 to 11 years,at or above poverty level - Male - 12 to 14 years,at or above poverty level - Male - 15 years,at or above poverty level - Male - 16 and 17 years,at or above poverty level - Male - 18 to 24 years,at or above poverty level - Male - 25 to 34 years,at or above poverty level - Male - 35 to 44 years,at or above poverty level - Male - 45 to 54 years,at or above poverty level - Male - 55 to 64 years,at or above poverty level - Male - 65 to 74 years,at or above poverty level - Male - 75 years and over,at or above poverty level - Female,at or above poverty level - Female - Under 5 years,at or above poverty level - Female - 5 years,at or above poverty level - Female - 6 to 11 years,at or above poverty level - Female - 12 to 14 years,at or above poverty level - Female - 15 years,at or above poverty level - Female - 16 and 17 years,at or above poverty level - Female - 18 to 24 years,at or above poverty level - Female - 25 to 34 years,at or above poverty level - Female - 35 to 44 years,at or above poverty level - Female - 45 to 54 years,at or above poverty level - Female - 55 to 64 years,at or above poverty level - Female - 65 to 74 years,at or above poverty level - Female - 75 years and over,Census Tract Boundaries,Utah Senate Districts,Utah House Districts,Municipalities,Counties (New)
"Panguitch, Utah
(37.822722, -112.43563)",Garfield,16000US4957740,,43878,0.444,300,116,5,11,31,0,0,4,3,0,24,15,11,9,3,184,19,9,10,20,5,0,7,20,17,40,17,4,16,1363,710,50,7,45,40,13,27,92,89,60,59,125,76,27,653,53,0,40,17,4,46,32,32,75,69,157,73,55,65,17,71,60,13
"Escalante, Utah
(37.770375, -111.604177)",Garfield,16000US4923750,,35694,0.4101,94,46,0,0,0,0,0,0,0,2,0,15,25,2,2,48,0,0,0,0,3,0,0,0,0,0,16,16,13,593,302,2,0,16,13,4,0,11,24,30,94,40,24,44,291,12,0,10,18,0,9,26,10,24,54,38,55,35,9,17,71,64,13
"Boulder, Utah
(37.909891, -111.424279)",Garfield,16000US4907470,,49583,0.3332,11,4,0,0,0,0,0,0,0,0,0,3,1,0,0,7,0,0,0,0,0,0,2,0,0,5,0,0,0,195,108,16,0,9,0,0,0,0,28,7,5,20,9,14,87,10,0,0,1,0,0,5,12,3,20,25,8,3,9,17,71,63,13
"Bryce Canyon City, Utah
(37.672367, -112.156841)",Garfield,16000US4908787,,26875,0.4636,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,18,10,0,0,0,0,0,73,36,0,0,2,0,2,4,3,6,10,2,2,1,4,37,0,0,6,0,0,5,5,0,9,5,7,0,0,9,17,71,182,13
"Antimony, Utah
(38.116534, -112.000371)",Garfield,16000US4901860,,35000,0.6483,31,18,0,0,0,0,0,3,1,0,6,4,4,0,0,13,0,0,0,0,0,0,3,0,4,0,6,0,0,69,41,0,0,0,0,0,0,0,2,0,9,14,4,12,28,0,0,0,3,0,0,0,4,0,3,8,7,3,9,17,71,61,13
"Hatch, Utah
(37.651357, -112.43445)",Garfield,16000US4933760,,47750,0.2074,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,151,77,1,0,14,0,5,0,1,11,6,2,24,5,8,74,9,0,5,2,0,1,0,13,7,13,16,2,6,65,17,71,66,13
"Cannonville, Utah
(37.566725, -112.053972)",Garfield,16000US4910330,,64375,0.2354,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,175,90,9,4,12,8,5,0,0,20,11,11,5,4,1,85,7,1,5,4,0,11,2,13,15,11,6,9,1,9,17,71,62,13
"Tropic, Utah
(37.625385, -112.081772)",Garfield,16000US4977560,,50625,0.3981,76,30,7,0,0,1,0,0,0,19,0,0,1,0,2,46,1,1,14,1,3,0,8,5,3,0,2,2,6,621,345,33,8,52,47,4,15,8,29,43,40,28,28,10,276,10,4,28,8,0,11,14,45,37,47,27,32,13,9,17,71,65,13
"Henrieville, Utah
(37.562513, -111.994526)",Garfield,16000US4934750,,48194,0.3194,15,9,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,3,246,136,9,2,11,5,15,10,8,13,11,18,21,10,3,110,6,5,9,5,4,5,0,7,16,10,22,8,13,9,17,71,225,13
