"company","mine","coal_field","bed_s","heat_content_btu_lb","sulfur","ash","moisture"
"Andalex Resources Inc.","Aberdeen/Pinnacle","Book Cliffs","Aberdeen/Centennial","12200","0.5","8.5","6.5"
"Canyon Fuel, LLC","Dugout Canyon","Book Cliffs","Gilson","12058","0.5","10.4","6.6"
"WEST RIDGE Resources, Inc.","West Ridge","Book Cliffs","Lower Sunnyside","13052","1.4","9.6","6.1"
"CONSOL Energy","Emery","Emery","I","12000","1.0","10.0","7.0"
"Canyon Fuel, LLC","Skyline #3","Wasatch","Lower O'Connor 'A'","11680","0.5","9.0","8.7"
"Canyon Fuel, LLC","SUFCO","Wasatch","Upper Hiawatha","11243","0.4","9.2","10.3"
"C.W. (Co-op) Mining Co.","Bear Canyon #3 & #4","Wasatch","Tank/Blind Canyon","11900","0.7","12.0","7.0"
"Energy West Mining Co.","Deer Creek","Wasatch","Hiawatha/Blind Canyon","11500","0.6","12.0","8.0"
"GENWAL Resources, Inc.","Crandall Canyon and South C.C.","Wasatch","Hiawatha/Blind Canyon","11305","0.6","14.2","8.6"
"Hidden Splendor Resources, Inc.","Horizon","Wasatch","Hiawatha","11700","0.6","10.0","5.0"
