"fiscal_year","public_transit_tax_collections2","fixed_guideway_tax_collections3","municipal_highways_tax_collections4","county_of_2nd_class_airport_highway_transit_tax_collections5"
"1975","1383395",,,
"1976","7707244",,,
"1977","9560527",,,
"1978","11170144",,,
"1979","12807371",,,
"1980","14324414",,,
"1981","15088745",,,
"1982","16306933",,,
"1983","16873281",,,
"1984","21975337",,,
"1985","21701966",,,
"1986","23432667",,,
"1987","23848184",,,
"1988","23494431",,,
"1989","25237562",,,
"1990","27107639",,,
"1991","30330496",,,
"1992","32827350",,,
"1993","36467153",,,
"1994","39787580",,,
"1995","44771182",,,
"1996","52007888",,,
"1997","54994824",,,
"1998","56157620",,"254990",
"1999","60449471",,"2284742",
"2000","63515772",,"5521262",
"2001","69934273",,"5744043",
"2002","113886532",,"6270817",
"2003","109799340",,"6612983",
"2004","111983867",,"7151822",
"2005","120563263",,"8432989",
"2006","136416309",,"10344378",
"2007","159143160","1499204","11324318",
"2008","199098865","18622576","11956979",
"2009","177405986","14115297","11608893","4651652"
"2010","168786842","13153711","9861529","12350613"
"2011","171841524","13882223","10913121","12558296"
"2012","182476684","15044805","12160309","13633155"
"2013","196666230","16583170","13024439","15047395"
"2014","204902098","17283534","13734847","15728751"
