"fiscal_year","employer","initial_approvals","initial_denials","continuing_approvals","continuing_denials","naics","tax_id","state","city","zip"
"2018","INVE AQUACULTURE INC","1","0","0","0","Agriculture","2366","UT","SALT LAKE CITY","84101"
"2019","CEMENTATION USA INC","0","0","1","0","Mining","2645","UT","SANDY","84070"
"2018","KENNECOTT UTAH COPPER LLC","2","0","0","0","Mining","8078","UT","SOUTH JORDAN","84009"
"2019","KENNECOTT UTAH COPPER LLC","2","0","0","0","Mining","8078","UT","SOUTH JORDAN","84009"
"2017","KENNECOTT UTAH COPPER LLC","0","0","1","0","Mining","8078","UT","SOUTH JORDAN","84009"
"2017","LISBON VALLEY MINING COMPANY","0","0","1","0","Mining","2662","UT","LASAL","84530"
"2018","RESOLUTION COPPER CO","1","0","0","0","Mining","6547","UT","SOUTH JORDAN","84009"
"2018","RIO TINTO SERVICES INC","0","0","4","0","Mining","1419","UT","SOUTH JORDAN","84009"
"2019","RIO TINTO SERVICES INC","1","0","3","0","Mining","1419","UT","SOUTH JORDAN","84009"
"2016","SINCLAIR OIL CORPORATION","0","0","1","0","Mining","7749","UT","SALT LAKE CITY","84130"
"2017","TERRATEK INC A WHOLLY OWNED SUBSID","0","0","1","0","Mining","1096","UT","SALT LAKE CITY","84104"
"2019","U S BORAX INC","1","0","0","0","Mining","7580","UT","SOUTH JORDAN","84009"
"2017","US BORAX INC","1","0","0","0","Mining","7580","UT","SOUTH JORDAN","84009"
"2018","SUSTAINABLE POWER GROUP LLC","0","0","3","0","Utilities","1806","UT","SALT LAKE CITY","84106"
"2016","SUSTAINABLE POWER GROUP LLC","0","0","1","0","Utilities","1806","UT","SALT LAKE CITY","84106"
"2018","BOART LONGYEAR","1","0","2","0","Utilities","3343","UT","SALT LAKE CITY","84104"
"2018","BOART LONGYEAR","0","0","3","0","Utilities","3343","UT","WEST VALLEY","84119"
"2019","BOART LONGYEAR","1","0","0","0","Utilities","3343","UT","SALT LAKE CITY","84104"
"2019","BOART LONGYEAR","0","0","1","0","Utilities","3343","UT","WEST VALLEY","84119"
"2019","BOART LONGYEAR","1","0","1","0","Utilities","3343","UT","WEST VALLEY CITY","84119"
"2017","BOART LONGYEAR","2","0","2","0","Utilities","3343","UT","SALT LAKE CITY","84104"
"2016","BOART LONGYEAR","0","0","4","0","Utilities","3343","UT","SALT LAKE CITY","84104"
"2019","BRAHMA GROUP INC","0","0","1","0","Utilities","4323","UT","SALT LAKE CITY","84101"
"2016","BRAHMA GROUP INC","0","0","1","0","Utilities","4323","UT","SALT LAKE CITY","84101"
"2018","CACHE VALLEY ELECTRIC","0","1","0","0","Utilities","9840","UT","SALT LAKE CITY","84104"
"2016","CCI MECHANICAL INC","0","0","1","0","Utilities","6924","UT","SALT LAKE CITY","84119"
"2019","CONTRUCTION ASSISTANTS INC","1","0","0","0","Utilities","7082","UT","NORTH SALT LAKE","84054"
"2019","HORROCKS ENGINEERS INC","0","0","1","0","Utilities","6502","UT","PLEASANT GROVE","84062"
"2017","HORROCKS ENGINEERS INC","1","0","0","0","Utilities","6502","UT","PLEASANT GROVE","84062"
"2018","RALPH L WADSWORTH CONSTRUCTION LLC","1","0","0","0","Utilities","2353","UT","DRAPER","84020"
"2017","RALPH L WADSWORTH CONSTRUCTION LLC","1","0","0","0","Utilities","2353","UT","DRAPER","84020"
"2019","SCANDINAVIAN LLC","1","0","0","0","Utilities","696","UT","PARK CITY","84098"
"2017","SOLAR READY SOLUTIONS LLC","1","0","0","0","Utilities","609","UT","OGDEN","84404"
"2016","STEEL ENCOUNTERS INC","0","0","0","1","Utilities","6368","UT","SALT LAKE CITY","84102"
"2018","TABCO CONSTRUCTION LLC","1","0","0","0","Utilities","7779","UT","PARK CITY","84098"
"2018","TD WILLIAMSON INC","0","0","1","0","Utilities","9110","UT","SALT LAKE CITY","84116"
"2016","TD WILLIAMSON INC","0","0","1","0","Utilities","9110","UT","SALT LAKE CITY","84116"
"2019","WOLLAM CONSTRUCTION COMPANY INC","1","0","0","0","Utilities","5726","UT","SANDY","84070"
"2016","AMERICAN NUTRITION INC","0","0","1","0","Ag Manufacturing","3258","UT","OGDEN","84402"
"2018","AROMATIC RESOURCE MANAGEMENT CO","0","0","3","0","Ag Manufacturing","8952","UT","LEHI","84043"
"2019","AROMATIC RESOURCE MGMT COMPANY","1","0","1","0","Ag Manufacturing","8952","UT","LEHI","84043"
"2017","AROMATIC RESOURCE MGT CO DBA YOUNG","1","0","1","0","Ag Manufacturing","8952","UT","LEHI","84043"
"2018","BRIGHAM YOUNG UNIVERSITY","2","0","1","0","Ag Manufacturing","7280","UT","PROVO","84602"
"2019","BRIGHAM YOUNG UNIVERSITY","1","0","1","0","Ag Manufacturing","7280","UT","PROVO","84602"
