County,Geography,Item,1997,1992,1987,Location 1,Counties (New),Municipalities,Zip Codes,School Districts,Health Small Statistical Areas2014 Shp,:@computed_region_d2c3_wkvq
29,"MORGAN COUNTY, UT",Land in farms (acres),179246,234576,283105,49,,,,,,
29,"MORGAN COUNTY, UT",Farms (number),243,258,261,49,,,,,,
29,"MORGAN COUNTY, UT","Land in farms, average size of farm, (acres)",738,909,1085,49,,,,,,
