"county","zip_code","_4_pci_l_1","_4_pci_l_2","maximum","average","total_tests"
"Summit","84017","69.8","30.2","33.0","4.8","43"
"Summit","84024","100.0","0.0","0.8","0.8","1"
"Summit","84033","66.7","33.3","11.0","3.7","9"
"Summit","84036","50.9","49.1","34.0","6.2","53"
"Summit","84055","68.4","31.6","16.6","3.8","19"
"Summit","84060","66.4","33.6","47.2","4.5","321"
"Summit","84061","42.9","57.1","10.8","4.3","7"
"Summit","84068","60.3","39.7","43.2","5.0","78"
"Summit","84098","64.5","35.5","375.8","6.4","564"
