"unnamed_column","address_1","case_number","city","clearance_type","country","created_at","day_of_week","hour_of_day","incident_datetime","incident_description","incident_id","incident_type_primary","latitude","location","longitude","parent_incident_type","state","updated_at","zip"
"346","1100 Block N 400 EAST ST","12NE00719","NEPHI",,"null","2012-05-14T08:00:36.000","Friday","15","2012-05-04T15:05:50.000","Description: Citizen Assist","111529266","CITIZEN ASSIST","39.72428","{'type': 'Point', 'coordinates': [-111.827238, 39.72428]}","-111.827238","Community Policing","UT","2012-05-21T15:45:16.000","84648"
"347","1 Block E CENTER ST","12NE00711","NEPHI",,"null","2012-05-14T17:42:34.000","Friday","9","2012-04-27T09:04:00.000","Description: Citizen Assist","111675716","CITIZEN ASSIST","39.7085496","{'type': 'Point', 'coordinates': [-111.8361, 39.70855]}","-111.8360998","Community Policing","UT","2012-05-17T08:00:30.000","84648"
"348","100 Block E 400 NORTH ST","12NE00735","NEPHI",,"null","2012-05-16T08:00:36.000","Monday","15","2012-05-07T15:05:28.000","Description: Animal Problem","112038958","ANIMAL PROBLEM","39.7143215","{'type': 'Point', 'coordinates': [-111.834135, 39.714322]}","-111.8341346","Community Policing","UT","2012-05-21T15:45:16.000","84648"
"349","400 Block E CENTER ST","12NE00736","NEPHI",,"null","2012-05-16T08:00:36.000","Monday","17","2012-05-07T17:05:47.000","Description: Disorderly Conduct","112038959","DISORDERLY CONDUCT","39.7085229","{'type': 'Point', 'coordinates': [-111.828531, 39.708523]}","-111.8285306","Disorder","UT","2012-05-21T15:45:16.000","84648"
"350","1000 Block N MAIN ST","12NE00728","NEPHI",,"null","2012-05-16T08:00:36.000","Monday","6","2012-05-07T06:05:13.000","Description: Citizen Assist","112038961","CITIZEN ASSIST","39.7230356","{'type': 'Point', 'coordinates': [-111.836053, 39.723036]}","-111.8360529","Community Policing","UT","2012-05-21T15:45:16.000","84648"
"351","200 Block E 900 NORTH ST","12NE00730","NEPHI",,"null","2012-05-16T08:00:36.000","Monday","11","2012-05-07T11:05:29.000","Description: Animal Problem","112038962","ANIMAL PROBLEM","39.7216304","{'type': 'Point', 'coordinates': [-111.832291, 39.72163]}","-111.8322915","Community Policing","UT","2012-05-21T15:45:16.000","84648"
"352","200 Block E 300 SOUTH ST","12NE00731","NEPHI",,"null","2012-05-16T08:00:36.000","Monday","12","2012-05-07T12:05:09.000","Description: Animal Problem","112038963","ANIMAL PROBLEM","39.7039434","{'type': 'Point', 'coordinates': [-111.832266, 39.703943]}","-111.832266","Community Policing","UT","2012-05-21T15:45:16.000","84648"
"353","1 Block E 900 NORTH ST","12NE00732","NEPHI",,"null","2012-05-16T08:00:36.000","Monday","13","2012-05-07T13:05:06.000","Description: Animal Problem","112038964","ANIMAL PROBLEM","39.7216424","{'type': 'Point', 'coordinates': [-111.836072, 39.721642]}","-111.8360721","Community Policing","UT","2012-05-21T15:45:16.000","84648"
"354","1100 Block N 400 EAST ST","12NE00745","NEPHI",,"null","2012-05-17T08:00:30.000","Tuesday","17","2012-05-08T17:05:09.000","Description: Citizen Assist","112142588","CITIZEN ASSIST","39.72428","{'type': 'Point', 'coordinates': [-111.827238, 39.72428]}","-111.827238","Community Policing","UT","2012-05-21T15:45:16.000","84648"
"355","1 Block W 1500 NORTH ST","12NE00746","NEPHI",,"null","2012-05-17T08:00:30.000","Tuesday","21","2012-05-08T21:05:11.000","Description: Citizen Assist","112142589","CITIZEN ASSIST","39.7305773","{'type': 'Point', 'coordinates': [-111.837079, 39.730577]}","-111.8370786","Community Policing","UT","2012-05-21T15:45:16.000","84648"
"356","800 Block N 100 EAST ST","12NE00747","NEPHI",,"null","2012-05-17T08:00:30.000","Tuesday","21","2012-05-08T21:05:06.000","Description: Citizen Assist","112142590","CITIZEN ASSIST","39.7201938","{'type': 'Point', 'coordinates': [-111.834131, 39.720194]}","-111.8341314","Community Policing","UT","2012-05-21T15:45:16.000","84648"
