"the_geom","height"
"MULTIPOLYGON (((-111.89013862299998 40.76909711300004, -111.89013785599997 40.76909710700005, -111.89013844899995 40.76909594000006, -111.89013764699996 40.76893412600003, -111.89086638299996 40.76893211600003, -111.89086550199994 40.769170504000044, -111.89014213699994 40.76917277200005, -111.89013862299998 40.76909711300004)))","77.21"
"MULTIPOLYGON (((-111.89055769899994 40.767376443000046, -111.89055513399995 40.76737520300003, -111.89055801399996 40.76737499300003, -111.89055972999995 40.76735362600005, -111.89087222299997 40.76735264700005, -111.89087151199999 40.767545115000075, -111.89056240299999 40.76754456700008, -111.89055769899994 40.767376443000046)))","81.73"
"MULTIPOLYGON (((-111.88920936399995 40.76848324800005, -111.88908670999997 40.768485516000055, -111.88908509799995 40.76849873200007, -111.88852892199999 40.768495673000075, -111.88852451699995 40.76841265100006, -111.88847490399996 40.76841238600008, -111.88847087199997 40.76817911100005, -111.88926348199999 40.768174714000054, -111.88926212399997 40.768408703000034, -111.88920853399998 40.76841035500007, -111.88920936399995 40.76848324800005)))","110.78"
"MULTIPOLYGON (((-111.89253357199999 40.76749898600008, -111.89249596199994 40.76749913500004, -111.89249471699998 40.767375935000075, -111.89252655099995 40.76737720300008, -111.89252561599994 40.76735609200006, -111.89367431199997 40.76735250300004, -111.89366768299999 40.767532438000046, -111.89371639999996 40.76749484700008, -111.89371842299994 40.76792976300004, -111.89256074399998 40.76792973000005, -111.89256000799998 40.76793010200004, -111.89252707599996 40.76792928000003, -111.89253357199999 40.76749898600008)))","84.87"
"MULTIPOLYGON (((-111.89189789399995 40.76735110900006, -111.89189914599996 40.76753237500003, -111.89183185399997 40.76753166500004, -111.89182943399999 40.76753009500004, -111.89133828999996 40.76753004400007, -111.89133874299995 40.76735412000005, -111.89189789399995 40.76735110900006)))","82.68"
"MULTIPOLYGON (((-111.89133828999996 40.76753004400007, -111.89182943399999 40.76753009500004, -111.89183185399997 40.76753166500004, -111.89183049399999 40.76753165100007, -111.89183237299994 40.76765869600007, -111.89159898699995 40.767660480000075, -111.891471492 40.76766145400006, -111.89147206699994 40.76767234500005, -111.89133792299998 40.767672212000036, -111.89133828999996 40.76753004400007)))","82.37"
"MULTIPOLYGON (((-111.89133481199997 40.76788583500007, -111.89133734599994 40.76767386300003, -111.89147309199996 40.767672537000074, -111.89147413899997 40.767662948000066, -111.89159618399998 40.76766238000005, -111.89159483799995 40.76773864300003, -111.89156523199995 40.767741605000026, -111.89156265199995 40.767884508000066, -111.8913348 40.76788686700007, -111.89133481199997 40.76788583500007)))","37.69"
"MULTIPOLYGON (((-111.89133318999995 40.768192947000045, -111.89134807699998 40.76819278200003, -111.89134813799996 40.76816252700007, -111.89086922299998 40.76816402600008, -111.89086638299996 40.76893211600003, -111.89013764699996 40.76893412600003, -111.89013844899995 40.76909594000006, -111.89013785599997 40.76909710700005, -111.88960794699994 40.769093549000054, -111.88960486399998 40.76879063500007, -111.88982161599995 40.76878961400007, -111.88981944099999 40.768765863000056, -111.88979318099996 40.76876446700004, -111.88978993599994 40.768612114000064, -111.88978993599994 40.768611330000056, -111.88981873599994 40.768610082000066, -111.88981790599996 40.76857961200005, -111.88981675799994 40.76853695300008, -111.889814076 40.76843906900007, -111.88971929399997 40.768443509000065, -111.88971483399996 40.768581606000055, -111.88963543999995 40.768587737000075, -111.88959424599994 40.768498356000066, -111.889594135 40.768439896000075, -111.88961827499998 40.768422816000054, -111.88971483399996 40.768416674000036, -111.88971970699998 40.76841303800006, -111.88968801199997 40.76815804900008, -111.88980602999999 40.76810120400006, -111.88983506399995 40.76810223600006, -111.88984626299998 40.76802639300007, -111.88977920699996 40.768017421000025, -111.88974165699995 40.76797148600008, -111.88936467599996 40.76813473800007, -111.88938307499997 40.768155052000054, -111.88934666899996 40.76817130300003, -111.88934559399996 40.76825865300003, -111.88935682799996 40.76831350000003, -111.88937419399997 40.76835106900006, -111.88939939599999 40.76834194000003, -111.88946002499995 40.76843604600003, -111.88943320199996 40.76844942300006, -111.88945826099996 40.76849632500006, -111.88947500999996 40.76854711000004, -111.88948624999995 40.768601957000044, -111.88948684699994 40.76868495700006, -111.88937708299996 40.76868727500005, -111.88937654199998 40.76871115200004, -111.88907457199997 40.76871504300004, -111.88907664099997 40.76877951700004, -111.88848074399999 40.768781948000026, -111.888481018 40.76863970000005, -111.88845216099998 40.76863852200006, -111.88845687799994 40.76850606800008, -111.88852852899998 40.76850445100007, -111.88852842199998 40.76849935600006, -111.88909010999998 40.76850060000004, -111.88909095599996 40.768486031000066, -111.88921138099994 40.76848528100004, -111.88921158899996 40.76841139800007, -111.88926549099996 40.76841103100003, -111.88926667899995 40.76817159900003, -111.88902657199998 40.768173330000025, -111.88902550699999 40.768145694000054, -111.88932208099999 40.76808192200008, -111.88934200699998 40.768106586000044, -111.88971825899995 40.76793979600007, -111.88967191899997 40.76788099200007, -111.88972019899995 40.767840281000076, -111.88975313299994 40.76779752600004, -111.889777483 40.76776299200003, -111.88980334699994 40.767716654000026, -111.88986283399998 40.76771423800006, -111.88986503799998 40.76739281300007, -111.89006371499994 40.767391244000066, -111.890066204 40.76735863500005, -111.89022177199996 40.76735850600005, -111.89053322299998 40.767358741000066, -111.89053290799995 40.767376831000036, -111.89055513399995 40.76737520300003, -111.89055769899994 40.767376443000046, -111.89056240299999 40.76754456700008, -111.89087151199999 40.767545115000075, -111.890869539 40.76807875600008, -111.89135304599995 40.76807762100003, -111.89135317699998 40.76805154200008, -111.89133694699996 40.76805128100006, -111.89133736699995 40.76788828700006, -111.89156579399997 40.76788600500004, -111.89156816899998 40.76774277900006, -111.891596995 40.76774165100005, -111.89159864899995 40.76769058600007, -111.89159921599997 40.767690309000045, -111.89159898699995 40.767660480000075, -111.89183237299994 40.76765869600007, -111.89183246699997 40.76766510600004, -111.89193782099994 40.767667378000056, -111.89193750099999 40.767373461000034, -111.89212135899999 40.76737492400009, -111.89212148599995 40.76735520300008, -111.89230824099997 40.76735725200007, -111.89230638599997 40.76760277200003, -111.89236267499996 40.767603346000044, -111.89237293299999 40.76760330500008, -111.89236852499994 40.767783896000026, -111.892430978 40.76778195600008, -111.89243193099998 40.76801511300005, -111.89245485499998 40.76805924400003, -111.89255134599995 40.76805408100006, -111.89256153699995 40.76793014000003, -111.89256000799998 40.76793010200004, -111.89256074399998 40.76792973000005, -111.89371842299994 40.76792976300004, -111.89371872299995 40.76799427900006, -111.89373910299997 40.767993700000034, -111.89373456199996 40.76855485600004, -111.89371140199995 40.768552756000076, -111.89371086499995 40.76868452700006, -111.89358710299996 40.76868252700007, -111.89358611199998 40.76869149500004, -111.89303302599996 40.76869667300008, -111.89303413299996 40.76868561400005, -111.89263280099999 40.76868999200008, -111.89263612799999 40.768543271000055, -111.89261421799995 40.76855082800006, -111.89256930099998 40.76855937200003, -111.892509341 40.76856040600006, -111.89246302099997 40.768556208000064, -111.89244337899999 40.76854941300007, -111.89244218599998 40.76868128600006, -111.89241957999997 40.76868098600005, -111.89241596399995 40.769101240000055, -111.89238636099998 40.76910303200003, -111.89236613599996 40.76913276300007, -111.89234646399996 40.769154169000046, -111.89232404399996 40.769169383000076, -111.89198977799998 40.76916840300004, -111.89198984399997 40.76891889500007, -111.89196703699997 40.76891907800007, -111.89196754499994 40.768890601000074, -111.89143198799997 40.76889005700008, -111.89143225599997 40.76890783700003, -111.89135716099997 40.76890909600007, -111.89135509899995 40.76891089400005, -111.89133473299995 40.76891006900007, -111.89133318999995 40.768192947000045), (-111.89255961999999 40.76848078200005, -111.89260430699994 40.76846750100003, -111.89264096799997 40.76844529600004, -111.89267069399995 40.76841580200005, -111.892685084 40.76839768600007, -111.89268762799998 40.76839024700007, -111.89266525699998 40.76839074600008, -111.89266551999998 40.76833858900005, -111.89273662799997 40.768337459000065, -111.89273728299997 40.768261805000066, -111.89273669899995 40.76826124000007, -111.89269536599994 40.768262040000025, -111.89267553399998 40.76821724200005, -111.89266087799996 40.76819491800006, -111.89263789199998 40.76816978100005, -111.89260544299998 40.76814888900003, -111.89255522099995 40.76813352400006, -111.89251388799994 40.76813432400007, -111.89247491299994 40.768141480000054, -111.89244577899996 40.76815465800007, -111.89242315799999 40.768173551000075, -111.89241042299994 40.768189773000074, -111.89240025099997 40.768202650000035, -111.89231093499995 40.768186756000034, -111.892292855 40.76825313200005, -111.89236867699998 40.76826471500004, -111.89236267299998 40.76829792700005, -111.89236318099995 40.76833685400004, -111.89237674199995 40.76837442400006, -111.89240155699997 40.76841763500005, -111.89242780899998 40.76844767600005, -111.89246842499995 40.76847238900007, -111.89250680899994 40.76848154900006, -111.89255961999999 40.76848078200005), (-111.89048731099996 40.76815708300006, -111.89075399399997 40.76816109200007, -111.89075821399996 40.76807667400004, -111.89049342299995 40.76807379600007, -111.89048731099996 40.76815708300006), (-111.88993745799996 40.768118370000025, -111.89017455599998 40.768139863000044, -111.89018153899997 40.76805307600006, -111.88994618299995 40.76803113700004, -111.88993745799996 40.768118370000025), (-111.89027005199995 40.76817592100008, -111.89038249199996 40.76818552300006, -111.89038538699998 40.76815419900004, -111.89043193399999 40.76815585500003, -111.89044171299999 40.76807221900003, -111.89024251599994 40.76806160800004, -111.89023175599999 40.768142864000026, -111.89027074099994 40.768144895000034, -111.89027005199995 40.76817592100008), (-111.89170174099996 40.76817775400008, -111.89193465799997 40.76820379500003, -111.89194701399998 40.76817730700003, -111.89195688799998 40.76815365900007, -111.89196325299997 40.76812661900004, -111.89169838399994 40.76809763800003, -111.89170123899999 40.768121945000075, -111.89170241999994 40.768144052000025, -111.89170174099996 40.76817775400008), (-111.89164673399995 40.76817176000003, -111.89165331699996 40.76815224400008, -111.89165281999999 40.76811900300004, -111.89164710899996 40.76808984000007, -111.89144503999995 40.768081711000036, -111.89144422099997 40.768162672000074, -111.89164673399995 40.76817176000003), (-111.89199606699998 40.76819154100008, -111.89198891799998 40.768210835000055, -111.89219225999994 40.76824438600005, -111.89221702199995 40.76816583400006, -111.89201202599997 40.768134178000025, -111.89200434799994 40.76816518900006, -111.89199606699998 40.76819154100008)))","84.24"
"MULTIPOLYGON (((-111.89133428799994 40.769082886000035, -111.89133462999996 40.768950149000034, -111.89135521399999 40.768949934000034, -111.89135636999998 40.76891094500007, -111.89135509899995 40.76891089400005, -111.89135716099997 40.76890909600007, -111.89143225599997 40.76890783700003, -111.89143198799997 40.76889005700008, -111.89196754499994 40.768890601000074, -111.89196703699997 40.76891907800007, -111.89198984399997 40.76891889500007, -111.89198977799998 40.76916840300004, -111.89142793099995 40.76916675700005, -111.89135639299997 40.76910997200008, -111.89135687099997 40.76908397500006, -111.89133428799994 40.769082886000035)))","78.94"
"MULTIPOLYGON (((-111.89265665299996 40.768771308000055, -111.89311397599994 40.76877204200008, -111.89311262899997 40.768857773000036, -111.89308507799996 40.76885938700008, -111.89308454899998 40.76885896600004, -111.89308251799997 40.76885318600006, -111.89288347999998 40.76885308400006, -111.89288221299995 40.76916860600005, -111.89274907799995 40.76917019000007, -111.89270493299995 40.76912877600006, -111.89269399099999 40.76910823600008, -111.892655462 40.769107217000055, -111.89265665299996 40.768771308000055)))","46.35"
