"column_0","address_1","case_number","city","clearance_type","country","created_at","day_of_week","hour_of_day","incident_datetime","incident_description","incident_id","incident_type_primary","latitude","location","longitude","parent_incident_type","state","updated_at","zip"
"0","200 Block N 200 W","16-L16727","LOGAN",,,"2016-09-27T07:07:33.000","Monday","10","2016-09-26T10:15:24.000","Assist,Agency","774054294","[LCPD] ASSIST,AGENCY","41.7367","{'type': 'Point', 'coordinates': [-111.84, 41.7367]}","-111.84","Community Policing","UT","2016-10-26T09:10:47.000",
"1","100 Block W 100 S","17-L18450","LOGAN",,,"2018-03-30T17:34:35.000","Sunday","1","2017-10-08T01:38:59.000","Unsecure Premis","840800893","[LCPD] UNSECURE PREMIS","41.7295","{'type': 'Point', 'coordinates': [-111.839, 41.7295]}","-111.839","Community Policing","UT","2018-04-07T09:26:55.000",
"2","null","14-L9284","Logan",,"null","2014-06-13T09:09:24.000","null","0",,"Animal Problem","464048019","[LCPD] ANIMAL PROBLEM","0.0",,"0.0","Community Policing","UT","2014-09-19T09:10:28.000","null"
"3","1600 Block S 1240 W","15-L20805","LOGAN",,,"2015-12-04T07:51:01.000","Wednesday","16","2015-07-22T16:29:10.000","Assist,Citizen","739190383","[LCPD] ASSIST,CITIZEN","41.7026","{'type': 'Point', 'coordinates': [-111.866, 41.7026]}","-111.866","Community Policing","UT","2016-05-16T09:10:03.000",
"4","1300 Block N MAIN ST","15-L19699","LOGAN",,,"2015-11-15T07:54:03.000","Saturday","13","2015-11-14T13:39:43.000","Accident,PD","737275633","[LCPD] ACCIDENT,PD","41.7575","{'type': 'Point', 'coordinates': [-111.834, 41.7575]}","-111.834","Traffic","UT","2016-05-12T09:10:41.000",
"5","1100 Block S 100 W","15-L19707","LOGAN",,,"2015-11-15T07:54:03.000","Saturday","15","2015-11-14T15:01:35.000","Fraud","737275641","[LCPD] FRAUD","41.7122","{'type': 'Point', 'coordinates': [-111.839, 41.7122]}","-111.839","Theft","UT","2016-05-12T09:10:41.000",
"6","300 Block W 400 N","15-L19715","LOGAN",,,"2015-11-15T07:54:03.000","Saturday","18","2015-11-14T18:07:26.000","Animal Problem","737275649","[LCPD] ANIMAL PROBLEM","41.7392","{'type': 'Point', 'coordinates': [-111.844, 41.7392]}","-111.844","Community Policing","UT","2016-05-12T09:10:41.000",
"7","200 Block W 500 N","15-L21307","LOGAN",,,"2015-12-13T07:49:39.000","Saturday","12","2015-12-12T12:58:34.000","Animal Problem","739982965","[LCPD] ANIMAL PROBLEM","41.741","{'type': 'Point', 'coordinates': [-111.842, 41.741]}","-111.842","Community Policing","UT","2016-03-26T09:10:35.000",
"8","1 Block N 500 E","16-L126","LOGAN",,,"2016-01-05T07:46:06.000","Monday","13","2016-01-04T13:08:19.000","Assist,Citizen","742980396","[LCPD] ASSIST,CITIZEN","41.7326","{'type': 'Point', 'coordinates': [-111.822, 41.7326]}","-111.822","Community Policing","UT","2016-06-17T09:43:13.000",
"9","1100 Block N 230 W","16-L127","LOGAN",,,"2016-01-05T07:46:06.000","Monday","13","2016-01-04T13:15:22.000","Assist,Citizen","742980397","[LCPD] ASSIST,CITIZEN","41.7535","{'type': 'Point', 'coordinates': [-111.84, 41.7535]}","-111.84","Community Policing","UT","2016-06-17T09:43:13.000",
