"county","ansi_code","total","category","age","under_18","_18_64","_65_or_older","ssi_recipients_also_receiving_oasdi","amount_of_payments_thousands_of_dollars_a"
"Beaver","49001","63","b","b","b","49","b","17","34"
"Box Elder","49003","421","18","403","85","303","33","131","210"
"Cache","49005","756","52","704","174","495","87","222","385"
"Carbon","49007","446","16","430","44","349","53","156","231"
"Daggett","49009",,"b","b","b","b","b",,
"Davis","49011","2126","122","2,004","490","1,423","213","605","1115"
"Duchesne","49013","326","b","b","65","233","28","92","158"
"Emery","49015","140","b","b","21","109","10","44","64"
"Garfield","49017","40","b","b","b","28","b","12","24"
"Grand","49019","150","12","138","21","105","24","61","69"
"Iron","49021","529","23","506","92","383","54","182","273"
"Juab","49023","105","b","b","b","76","b","39","45"
"Kane","49025","65","b","b","b","b","b","26","31"
"Millard","49027","131","b","b","18","99","14","43","66"
"Morgan","49029","35","b","b","b","b","b",,"18"
"Piute","49031","20","b","b","b","b","b",,"9"
"Rich","49033","14","0","14","b","b","b",,
"Salt Lake","49035","12089","1,573","10,516","2,045","7,483","2,561","3573","6438"
"San Juan","49037","608","85","523","58","260","290","262","275"
"Sanpete","49039","311","21","290","58","218","35","110","149"
"Sevier","49041","282","b","b","57","203","22","104","134"
"Summit","49043","94","10","84","19","59","16","28","51"
"Tooele","49045","594","25","569","135","401","58","182","322"
"Uintah","49047","313","11","302","52","230","31","98","156"
"Utah","49049","4021","259","3,762","953","2,652","416","1109","2029"
"Wasatch","49051","96","b","b","25","61","10","26","46"
"Washington","49053","1083","66","1,017","259","698","126","351","570"
"Wayne","49055",,"b","b","b","b","b",,
"Weber","49057","3231","176","3,055","528","2,313","390","1040","1653"
"Total, Utah","49","28106","2,515","25,591","5,257","18,347","4,502","8535","14569"
