"unnamed_column","address_1","case_number","city","clearance_type","created_at","day_of_week","hour_of_day","incident_datetime","incident_description","incident_id","incident_type_primary","latitude","location","longitude","parent_incident_type","state","updated_at","zip"
"0","100 Block SEGO LILY DR","SY20189899","SANDY CITY",,"2018-03-07T11:30:13.000","Monday","12","2018-02-05T12:00:00.000","THEFT-THEFT BY DECEPTION","836464231","[RMS] THEFT-THEFT BY DECEPTION","40.571745929087115","{'type': 'Point', 'coordinates': [-111.88542928985021, 40.571745929087115]}","-111.88542928985021","Theft","UT","2018-03-07T11:30:22.000",
"1","2200 Block GLACIER VIEW DR","SY20186586","SANDY CITY",,"2018-02-14T11:30:18.000","Tuesday","12","2018-02-06T12:15:00.000","BURGLARY-NO FORCE ENTRY RESIDE","834187729","[RMS] BURGLARY-NO FORCE ENTRY RESIDE","40.56520652055637","{'type': 'Point', 'coordinates': [-111.82402580998188, 40.56520652055637]}","-111.82402580998188","Breaking & Entering","UT","2018-03-08T11:31:05.000",
"2","100 Block E 8800 S","SY20186238","SANDY CITY",,"2018-02-10T11:30:11.000","Wednesday","13","2018-02-07T13:41:00.000","ALCOHOL-PUBLIC INTOXICATION","833827598","[RMS] ALCOHOL-PUBLIC INTOXICATION","40.591860193186655","{'type': 'Point', 'coordinates': [-111.8847868555852, 40.591860193186655]}","-111.8847868555852","Other","UT","2018-03-09T11:30:42.000",
"3","9900 Block GLENDOVER WAY","SY20181351","SANDY CITY",,"2018-01-11T11:30:25.000","Tuesday","2","2018-01-09T02:30:00.000","BURGLARY-NO FORCE ENTRY RESIDE","831345239","[RMS] BURGLARY-NO FORCE ENTRY RESIDE","40.570691688172644","{'type': 'Point', 'coordinates': [-111.845864814858, 40.5706916881726]}","-111.84586481485806","Breaking & Entering","UT","2018-02-08T11:30:52.000",
"4","9400 Block S 170 E","SY201836230","SANDY CITY",,"2018-08-08T10:30:16.000","Friday","12","2018-07-13T12:00:00.000","FRAUD-IDENTITY THEFT","866455740","[RMS] FRAUD-IDENTITY THEFT","40.57976600716092","{'type': 'Point', 'coordinates': [-111.8847906185344, 40.57976600716092]}","-111.8847906185344","Theft","UT","2018-08-08T10:31:38.000",
"5","10900 Block PRESCOTT DR","SY201760962","SANDY CITY",,"2017-12-12T11:30:18.000","Thursday","18","2017-12-07T18:00:00.000","BURGLARY-NO FORCE ENTRY RESIDE","828803293","[RMS] BURGLARY-NO FORCE ENTRY RESIDE","40.552601554267035","{'type': 'Point', 'coordinates': [-111.845233328599, 40.552601554267]}","-111.84523332859851","Breaking & Entering","UT","2018-01-07T12:19:34.000",
"6","9300 Block S 150 E","SY20162589","SANDY CITY",,"2016-02-09T21:25:55.000","Monday","10","2016-01-18T10:07:00.000","DRUG-FOUND/SURRENDERED","749476801","[RMS] DRUG-FOUND/SURRENDERED","40.5814949765191","{'type': 'Point', 'coordinates': [-111.886564410502, 40.5814949765191]}","-111.886564410502","Drugs","UT","2016-02-22T20:06:21.000",
"7","9000 Block S 700 E","SY2016835","SANDY CITY",,"2016-02-09T21:25:50.000","Wednesday","17","2016-01-06T17:51:00.000","TRAF-NON-REPORTABLE ACCIDENT","749476428","[RMS] TRAF-NON-REPORTABLE ACCIDENT","40.5881230879417","{'type': 'Point', 'coordinates': [-111.871552214115, 40.5881230879417]}","-111.871552214115","Traffic","UT","2016-02-22T20:06:29.000",
"8","1100 Block COTTONWOOD HILLS DR","SY2016837","SANDY CITY",,"2016-02-09T21:25:50.000","Wednesday","17","2016-01-06T17:56:00.000","LARC-FRM MOTOR VEH (PROWL)","749476458","[RMS] LARC-FRM MOTOR VEH (PROWL)","40.6036546988304","{'type': 'Point', 'coordinates': [-111.855323238688, 40.6036546988304]}","-111.855323238688","Theft","UT","2016-02-22T20:06:23.000",
"9","9700 Block MONROE ST","SY2016841","SANDY CITY",,"2016-02-09T21:25:50.000","Wednesday","18","2016-01-06T18:14:00.000","DAMAGED PROP-FREE TEXT","749476441","[RMS] DAMAGED PROP-FREE TEXT","40.5740888001234","{'type': 'Point', 'coordinates': [-111.898149417075, 40.5740888001234]}","-111.898149417075","Property Crime","UT","2016-02-22T20:06:21.000",
"10","9700 Block S 1300 E","SY2016842","SANDY CITY",,"2016-02-09T21:25:50.000","Wednesday","18","2016-01-06T18:15:00.000","TRAF-HIT AND RUN","749476440","[RMS] TRAF-HIT AND RUN","40.5740491724142","{'type': 'Point', 'coordinates': [-111.852181272841, 40.5740491724142]}","-111.852181272841","Traffic","UT","2016-02-22T20:06:29.000",
"11","10500 Block S 1300 E","SY2016846","SANDY CITY",,"2016-02-09T21:25:50.000","Wednesday","18","2016-01-06T18:34:00.000","TRAF-REPORTABLE ACCIDENT","749476427","[RMS] TRAF-REPORTABLE ACCIDENT","40.5597870010789","{'type': 'Point', 'coordinates': [-111.852899408175, 40.5597870010789]}","-111.852899408175","Traffic","UT","2016-02-22T20:06:29.000",
"12","8600 Block HIGHLAND DR","SY2016896","SANDY CITY",,"2016-02-09T21:25:50.000","Thursday","1","2016-01-07T01:48:00.000","BURG-FORCED ENTRY NON RESIDENT","749476489","[RMS] BURG-FORCED ENTRY NON RESIDENT","40.5937344431948","{'type': 'Point', 'coordinates': [-111.830966723204, 40.5937344431948]}","-111.830966723204","Breaking & Entering","UT","2016-02-22T20:06:20.000",
"13","10600 Block S 300 W","SY2016880","SANDY CITY",,"2016-02-09T21:25:50.000","Thursday","1","2016-01-07T01:54:00.000","TRAF-MOVING TRAFFIC VIOLA","749476486","[RMS] TRAF-MOVING TRAFFIC VIOLA","40.5591107132369","{'type': 'Point', 'coordinates': [-111.899429581859, 40.5591107132369]}","-111.899429581859","Traffic","UT","2016-02-22T20:06:29.000",
"14","9300 Block MOUNTAINEER LN","SY2016916","SANDY CITY",,"2016-02-09T21:25:50.000","Thursday","7","2016-01-07T07:22:00.000","ASLT-SIMPLE ASSAULT","749476488","[RMS] ASLT-SIMPLE ASSAULT","40.5649781","{'type': 'Point', 'coordinates': [-111.8389726, 40.5649781]}","-111.8389726","Assault","UT","2016-02-22T20:06:19.000",
