"company","mine","coal_field","bed_s","heat_content_btu_lb","sulfur","ash","moisture"
"Canyon Fuel, LLC","Dugout Canyon","Book Cliffs","Gilson","12049","0.7",,
"WEST RIDGE Resources, Inc.","West Ridge","Book Cliffs","Lower Sunnyside","12365","1.0","8.6","7.5"
"Rhino Resources","Castle Valley #4","Wasatch","Tank","12043","0.7","11.5","6.7"
"Canyon Fuel, LLC","Skyline #3","Wasatch","Lower O'Connor 'A'","11500","0.5","10.1","8.7"
"Canyon Fuel, LLC","SUFCO","Wasatch","Upper Hiawatha","10911","0.3","11.9","9.4"
"Energy West Mining Co.","Deer Creek","Wasatch","Hiawatha/Blind Canyon","11414","0.7","13.9","8.2"
"UtahAmerican Energy, Inc.","Lila Canyon","Book Cliffs","Sunnyside","11736","1.3","12.3","7.0"
"Alton Coal Development","Coal Hollow","Alton","Smirl","10000","1.0","8.0","17.0"
