"fiscal_year","county_transient_room_tax_collections3","first_class_county_transient_room_tax_fund4","municipality_transient_room_tax_collections5"
"1966","76091",,
"1967","132138",,
"1968","138020",,
"1969","161926",,
"1970","181990",,
"1971","243284",,
"1972","312192",,
"1973","472685",,
"1974","570789",,
"1975","623219",,
"1976","1031466",,
"1977","1356373",,
"1978","1747049",,
"1979","2104871",,
"1980","2362173",,
"1981","2678628",,
"1982","3168894",,
"1983","3567711",,
"1984","4169118",,
"1985","4925929",,
"1986","5425932",,
"1987","5124968",,
"1988","6003309",,
"1989","6699420",,
"1990","6852411",,
"1991","8266512",,
"1992","8169169",,
"1993","10051735",,
"1994","10826711",,
"1995","11784423",,
"1996","13364431",,
"1997","14948604",,
"1998","15036402",,"40520"
"1999","15429323",,"376327"
"2000","15838585",,"504139"
"2001","16819611",,"669840"
"2002","18486394",,"655454"
"2003","17569762",,"679520"
"2004","17521252",,"761964"
"2005","18105021",,"900145"
"2006","20294926",,"1089242"
"2007","24995644",,"1223782"
"2008","28652137","2607112","1721717"
"2009","24445300","2078823","1956472"
"2010","24007496","1799834","1994816"
"2011","26893159","1974438","2235428"
"2012","34937494","2171842","6142971"
"2013","39226854","2298745","7017949"
"2014","43211743","2458036","7773552"
