"county","_2000","_2001","_2002","_2003","_2004","_2005","_2006","_2007","_2008","_2009","_2010","_2011","_2012","_2013","_2014"
"Beaver","6000","7000","158500","226700","257850","2540",,,,"1280","7250","44271","16116","5741","1280"
"Box Elder",,,"108300","125900","276620","499550","966340","98276","30326","3892",,,"1829",,
"Cache",,"8100","4400","8400","8260",,,,,,,,,,
"Carbon",,"33100","33100","2530",,,,,,,,,,,
"Daggett",,,,"4600","21450","7610","8160","7956","1280","2341",,,,,
"Duchesne",,"83900","7000",,,,,,,,,,,,
"Emery",,"1150","1100","50",,,,,,,,,,,
"Garfield",,,,"2530","1650",,,,,,,,"1280",,
"Iron",,,,"7600","70790","3040",,,,,,,,,
"Juab","116000","502500","618900","651500","680550","43160",,"2559",,"4377","6837","6142","22610","2061","4616"
"Millard","190000","539500","536500","517800","547700","19610",,,,"20678","12274","48036","26927",,
"Rich",,,,,,"2530",,,,,,,,,
"Salt Lake",,,,,,"2530",,"1280",,"1280",,,,,
"San Juan",,"18300","14400",,"3920",,,,,,,,,,
"Sanpete",,,,"31760","310","4380",,,,"1280",,,,"1280",
"Sevier",,"24500","85500","190200","177420","1570",,,,,,,"1280",,
"Summit",,,,,"2530",,,,,,,,,,
"Tooele","346000","622000","749700","793500","691050","49190","11300","1279","2121","17781",,,,"1280","10379"
"Uintah",,"48800","48900","31300",,"5070","68740","16579","2560","1280",,,,,
"Utah","500","5650","74600","116200","123800","3780","1280",,"1280",,,,"106",,
"Washington",,,,,"4600",,,,,,,,,,
"Wayne",,,,,,,,,,,,,"1280",,
"Total","658500","1894500","2440900","2710570","2868500","644560","1055820","127929","37567","54189","26361","98449","71428","10362","16275"
