"unnamed_column","address_1","case_number","city","clearance_type","country","created_at","day_of_week","hour_of_day","incident_datetime","incident_description","incident_id","incident_type_primary","latitude","location","longitude","parent_incident_type","state","updated_at","zip"
"0","9800 Block N 6130 WEST ST","17AH00043","HIGHLAND",,,"2017-01-15T09:09:20.000","Wednesday","12","2017-01-04T12:01:31.000","Description: Criminal Mischief","789271360","Criminal Mischief","40.4105","{'type': 'Point', 'coordinates': [-111.805, 40.4105]}","-111.805","Other","UT","2017-01-17T11:08:40.000",
"1","5400 Block W CIVIC CENTER DR","17AH00100","HIGHLAND",,,"2017-01-20T09:12:08.000","Monday","9","2017-01-09T09:01:46.000","Description: Citizen Assist","790141665","Citizen Assist","40.4285","{'type': 'Point', 'coordinates': [-111.788, 40.4285]}","-111.788","Community Policing","UT","2017-01-22T11:07:54.000",
"2","5300 Block W TIMPANOGOS HWY","17AH00114","HIGHLAND",,,"2017-01-16T09:09:21.000","Monday","17","2017-01-09T17:01:02.000","Description: Theft-Property-Other","789383059","Theft-Property-Other","40.4319","{'type': 'Point', 'coordinates': [-111.787, 40.4319]}","-111.787","Theft","UT","2017-01-22T11:07:54.000",
"3","200 Block N BALD MOUNTAIN DR","17AH00122","ALPINE",,,"2017-01-15T09:09:20.000","Tuesday","9","2017-01-10T09:01:22.000","Description: Alarm","789271364","Alarm","40.4571","{'type': 'Point', 'coordinates': [-111.753, 40.4571]}","-111.753","Alarm","UT","2017-01-23T11:09:18.000",
"4","5300 Block W TIMPANOGOS HWY","17AH00126","HIGHLAND",,,"2017-01-17T09:09:50.000","Tuesday","12","2017-01-10T12:01:17.000","Description: Traffic Accident-Non Reportabl","789444219","Traffic Accident-Non Reportabl","40.4319","{'type': 'Point', 'coordinates': [-111.787, 40.4319]}","-111.787","Traffic","UT","2017-01-23T11:09:18.000",
"5","300 Block E RIVER MEADOWS DR","17AH00138","ALPINE",,,"2017-01-14T09:10:35.000","Wednesday","10","2017-01-11T10:01:25.000","Description: Citizen Assist","789184173","Citizen Assist","40.4498","{'type': 'Point', 'coordinates': [-111.772, 40.4498]}","-111.772","Community Policing","UT","2017-01-24T11:09:44.000",
"6","100 Block N MATTERHORN DR","17AH00139","ALPINE",,,"2017-01-14T09:10:35.000","Wednesday","12","2017-01-11T12:01:02.000","Description: Citizen Assist","789184172","Citizen Assist","40.4549","{'type': 'Point', 'coordinates': [-111.794, 40.4549]}","-111.794","Community Policing","UT","2017-01-24T11:09:44.000",
"7","10100 Block N NORTH COUNTY BLVD","17AH00140","HIGHLAND",,,"2017-01-14T09:10:35.000","Wednesday","13","2017-01-11T13:01:54.000","Description: Criminal Mischief","789184171","Criminal Mischief","40.4173","{'type': 'Point', 'coordinates': [-111.773, 40.4173]}","-111.773","Other","UT","2017-01-24T11:09:44.000",
"8","10100 Block N NORTH COUNTY BLVD","17AH00141","HIGHLAND",,,"2017-01-18T09:09:22.000","Wednesday","14","2017-01-11T14:01:27.000","Description: Traffic Accident-Non Reportabl","789521330","Traffic Accident-Non Reportabl","40.4173","{'type': 'Point', 'coordinates': [-111.773, 40.4173]}","-111.773","Traffic","UT","2017-01-24T11:09:44.000",
"9","700 Block E FLANNERY LN","17AH00142","ALPINE",,,"2017-01-14T09:10:35.000","Wednesday","18","2017-01-11T18:01:30.000","Description: Agency Assist","789184170","Agency Assist","40.4471","{'type': 'Point', 'coordinates': [-111.765, 40.4471]}","-111.765","Community Policing","UT","2017-01-24T11:09:44.000",
