"age","income","race","sex","year","id","name","demographic_group_number","demographic_group_moe","uninsured_number","uninsured_moe_1","uninsured","uninsured_moe_2","insured_number","insured_moe_1","insured","insured_moe_2"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49000","Utah","1690053","0","312489","9372","18.5","0.6","1377564","9372","81.5","0.6"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49001","Beaver County, UT","3473","0","769","85","22.1","2.5","2704","85","77.900000000000006","2.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49003","Box Elder County, UT","27861","0","4332","475","15.5","1.7","23529","475","84.5","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49005","Cache County, UT","67440","0","11903","1244","17.600000000000001","1.8","55537","1244","82.4","1.8"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49007","Carbon County, UT","11920","0","1828","209","15.3","1.8","10093","209","84.7","1.8"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49009","Daggett County, UT","572","0","105","13","18.399999999999999","2.2000000000000002","467","13","81.599999999999994","2.2000000000000002"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49011","Davis County, UT","183761","0","24903","2266","13.6","1.2","158859","2266","86.4","1.2"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49013","Duchesne County, UT","11017","0","2164","226","19.600000000000001","2.1","8853","226","80.400000000000006","2.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49015","Emery County, UT","5864","0","1003","112","17.100000000000001","1.9","4862","112","82.9","1.9"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49017","Garfield County, UT","2738","0","616","65","22.5","2.4","2122","65","77.5","2.4"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49019","Grand County, UT","5776","0","1440","148","24.9","2.6","4337","148","75.099999999999994","2.6"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49021","Iron County, UT","27309","0","6585","709","24.1","2.6","20724","709","75.900000000000006","2.6"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49023","Juab County, UT","5507","0","1010","121","18.3","2.2000000000000002","4498","121","81.7","2.2000000000000002"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49025","Kane County, UT","3767","0","655","77","17.399999999999999","2.1","3113","77","82.6","2.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49027","Millard County, UT","6664","0","1598","156","24","2.2999999999999998","5066","156","76","2.2999999999999998"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49029","Morgan County, UT","5469","0","616","80","11.3","1.5","4853","80","88.7","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49031","Piute County, UT","730","0","200","22","27.4","3","530","22","72.599999999999994","3"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49033","Rich County, UT","1197","0","235","27","19.600000000000001","2.2000000000000002","962","27","80.400000000000006","2.2000000000000002"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49035","Salt Lake County, UT","660701","0","130060","5820","19.7","0.9","530641","5820","80.3","0.9"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49037","San Juan County, UT","8283","0","2153","207","26","2.5","6130","207","74","2.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49039","Sanpete County, UT","14685","0","3473","356","23.7","2.4","11211","356","76.3","2.4"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49041","Sevier County, UT","11090","0","2096","225","18.899999999999999","2","8994","225","81.099999999999994","2"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49043","Summit County, UT","24665","0","3886","392","15.8","1.6","20779","392","84.2","1.6"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49045","Tooele County, UT","34419","0","5335","587","15.5","1.7","29083","587","84.5","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49047","Uintah County, UT","20330","0","4065","418","20","2.1","16265","418","80","2.1"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49049","Utah County, UT","311092","0","54010","3764","17.399999999999999","1.2","257082","3764","82.6","1.2"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49051","Wasatch County, UT","14925","0","3255","328","21.8","2.2000000000000002","11671","328","78.2","2.2000000000000002"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49053","Washington County, UT","76387","0","17965","1545","23.5","2","58422","1545","76.5","2"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49055","Wayne County, UT","1486","0","322","37","21.6","2.5","1165","37","78.400000000000006","2.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2013","49057","Weber County, UT","140923","0","25910","2091","18.399999999999999","1.5","115013","2091","81.599999999999994","1.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2012","49000","Utah","1666053","0","312132","8972","18.7","0.5","1353921","8972","81.3","0.5"
"18 to 64 years","All Incomes","All Races","Both Sexes","2012","49001","Beaver County, UT","3520","0","783","84","22.3","2.4","2737","84","77.7","2.4"
"18 to 64 years","All Incomes","All Races","Both Sexes","2012","49003","Box Elder County, UT","27504","0","4585","473","16.7","1.7","22919","473","83.3","1.7"
"18 to 64 years","All Incomes","All Races","Both Sexes","2012","49005","Cache County, UT","67234","0","12425","1260","18.5","1.9","54809","1260","81.5","1.9"
"18 to 64 years","All Incomes","All Races","Both Sexes","2012","49007","Carbon County, UT","12108","0","2055","222","17","1.8","10053","222","83","1.8"
