"fiscal_year","real_prop_assessed_valuation","real_est_actual_valuation","pers_prop_assessed_valuation","est_actual_valuation","total_assessed_valuation","total_estimated_actual_valuation","ratio_of_total_assessed_value_to_total_est_actual_value"
"2005","1842680","2948634","93857","93857","1936537","3042491","63.65"
"2006","2102847","3037093","96129","96129","2198976","3133222","70.18"
"2007","2099895","3399115","96841","96841","2196736","3495956","62.84"
"2008","2632094","4211350","135418","135418","2767512","4346768","63.67"
"2009","2353900","3766240","154522","154522","2508422","3920762","63.98"
"2010","2298769","3678030","154938","154938","2453707","3832968","64.02"
"2011","2229882","3567811","165123","165123","2395005","3732934","64.16"
"2012","2108998","3268947","128684","128684","2237682","3397631","65.86"
"2013","2218299","3438363","129459","129459","2347758","3567822","65.80"
"2014","2352029","3645645","128381","128381","2480410","3774026","65.72"
