"county","major_sic_category","cy_1978","cy_1979","cy_1980","cy_1981","cy_1982","cy_1983","cy_1984","cy_1985","cy_1986","cy_1987","cy_1988","cy_1989","cy_1990","cy_1991","cy_1992","cy_1993","cy_1994","cy_1995","cy_1996","cy_1997"
"Piute","MANUFACTURING (2011-3999)","81048",,"9752",,,,,"4729","3835","4572","2250",,,"5293","5815","6198",,"6312","17933",
"Piute","COMMUNICATIONS (4812-4899)",,,,,,,"245623","286089","357267","303901","251517","223948","409985","217884","205338","236455","248803","287924","308532","360041"
"Piute","ELECTRIC & GAS (4911-4971)",,,,,,,,,,"244984",,,,,,,,,,
"Piute","1977 CODE - WHOLESALE TRADE","1215",,"23297",,,,,,,,,,,,,,,,,
"Piute","WHOLESALE-NONDURABLE GOODS (5111-5199)",,,,,,,,,"47251","75414","31716","9946",,"32044","12331","41133","67871","71868","39092",
"Piute","RETAIL-FOOD STORES (5411-5499)",,,,,,,,,,"263589",,"534906","445238","521599","752155","1087522","686291","800855","233117","820622"
"Piute","RETAIL-MOTOR VEHICLE DEALERS(5511-5599)","22251",,,,"70708","63111","172702",,,,,"35652","107236","112219","104313","190019","376694","420438","545767","654343"
"Piute","RETAIL-EATING & DRINKING (5812-5813)",,,"31968",,,"164546","169993","94235","34654","60238","138599","124623","118252",,"40590",,,,,"94482"
"Piute","RETAIL-MISCELLANEOUS (5912-5999)",,,,"17653","37107","52450","88611","78962","59299","59571","52938","68041","75709","87115","132844","143103","165671","233681","289084","207782"
"Piute","FINANCE,INS. & REAL ESTATE (6011-6799)",,,,,,,,,,,,,,,,,,,,"28895"
"Piute","1977 CODE - SERVICES","234964","211536","231242","134463",,,,,,,,,,,,,,,,
"Piute","SERVICES-HOTELS & LODGING (7011-7041)",,,,"50065","93910","6164","47824","14989","110033","98465","199250","145036","95774","7148","11753","72956","154198","237422","241198","236482"
"Piute","SERVICES-PERSONAL (7211-7299)",,,,,,,,,,,,,,,,,,"18615",,
"Piute","SERVICES-BUSINESS (7311-7389)",,,,,,,,,,"3242",,"3119",,,"2610","17431","22695","21940","18741","61855"
"Piute","SERVICES-AUTO & MISC.REPAIR (7513-7699)",,,,,"7125","19979","33758","46656","51630","62488","67942","46147","34595","62039","89617","176911","165902","110589","330473","278433"
"Piute","SERVICES-ED.,LEGAL,SOCIAL (8111-8999)",,,,,,,,,,,,,,,,,,,"-3610",
"Piute","PUBLIC ADMINISTRATION (9111-9721)",,,,,,"474","536","527","60900","62579","51348","39203","14620","27891","28768","35322","23917","45684","44095","25037"
"Piute","PRIVATE MOTOR VEHICLE SALES","138348","88654","88821","662365","70863","122881","172374","172346","199766","166887","169157","237293","154380","196779","319145","276663","265230","328139","432391","449719"
"Piute","REFUNDED AMOUNTS WITH NO SIC",,"-4781",,,,,,,,,,,,,,,,,,
"Piute","OCCASIONAL RETAIL SALES","63159",,,,,,,,,"280","17323",,,"-13496",,,,,,
"Piute","NONDISCLOSABLE OR NONCLASSIFIABLE","1140886","1510078","2027014","1722521","2917779","1742456","1587514","1895071","1689647","1231024","1473944","1879411","1363991","1434401","1080936","708361","1889842","2734048","2858430","1141398"
"Piute","PRIOR-PERIOD PAYMENTS & REFUNDS",,,,,,,,,,,,,"-34940","96197","82380","93947","86123","419822","194251","288811"
