"project_name","organization","company"
"PWTS","BYU","AD Tec, Inc."
"SC Reprogramming","UofU","Beachhead"
"CityGro","USU","CityGro"
"ISQ Inc.","USU","ISQ Inc."
"Open Air Compos","BYU","Open Air Composites"
"IJ-180","UofU","SimplicityMD Solutions"
"Asthma Tracker","UofU","Symptom.ly"
"THz Technology","UofU","USTAR"
"Multispeclmager","UofU","USTAR / UofU"
"CoNextions Med","UofU","CoNextions"
"Fast Diagnostics","UofU","Espira Inc"
"MFI","UofU","MultiFunctional Imaging"
"NeuroVersity","UofU","NeuroVersity, Inc"
"Open Air Compos","BYU","Open Air Composites"
"Asthma Tracker","UofU","Symptom.ly"
"Atlas","UofU","University of Utah - Biomedical Engineering"
"6S Troclosure","UofU","6S Medical LLC"
"Glaucoma Drugs 2","UofU","University of Utah - Department of Ophthalmology & Visual Sciences Moran Eye Center"
"Vortecx","WSU","Vortecx"
"Laparoscope","UofU","Xenocor, LLC"
"App Biosensors","UofU","Applied Biosensors, LLC"
"FNC Aquaponics","USU","FNC Aquaponics"
"Sentius","UofU","Sentius Technologies"
"Vessel Coupling","UofU","Microsurgical Innovations Inc"
"SolaPur Device","UofU","iVeena Delivery Systems"
"SVWI","BYU","Smart Vision Works International, LLC"
