"unnamed_column","address_1","case_number","city","clearance_type","country","created_at","day_of_week","hour_of_day","incident_datetime","incident_description","incident_id","incident_type_primary","latitude","location","longitude","parent_incident_type","state","updated_at","zip"
"1820","100 Block CENTER ST","16LE07740","LEHI",,,"2016-05-25T05:46:14.000","Sunday","16","2016-05-22T16:05:57.000","Description: Alarm","760423066","ALARM","40.3893","{'type': 'Point', 'coordinates': [-111.849, 40.3893]}","-111.849","Alarm","UT","2016-07-11T15:47:35.000",
"0","1400 Block WESTBURY WAY","17LE13958","LEHI",,,"2017-11-06T11:06:19.000","Friday","2","2017-11-03T02:11:10.000","Description: Citizen Assist","825521950","CITIZEN ASSIST","40.4252","{'type': 'Point', 'coordinates': [-111.872, 40.4252]}","-111.872","Community Policing","UT","2017-11-16T11:13:05.000",
"1","1 Block N 2200 WEST","17LE13959","LEHI",,,"2017-11-08T11:06:39.000","Friday","3","2017-11-03T03:11:47.000","Description: Alarm","825686718","ALARM","40.3878","{'type': 'Point', 'coordinates': [-111.885, 40.3878]}","-111.885","Alarm","UT","2017-11-16T11:12:17.000",
"2","1 Block N 2200 WEST","17LE13961","LEHI",,,"2017-11-06T11:06:42.000","Friday","5","2017-11-03T05:11:08.000","Description: Alarm","825522016","ALARM","40.3878","{'type': 'Point', 'coordinates': [-111.885, 40.3878]}","-111.885","Alarm","UT","2017-11-16T11:12:17.000",
"3","400 Block MILL POND DR","17LE13963","LEHI",,,"2017-11-06T11:06:42.000","Friday","7","2017-11-03T07:11:14.000","Description: Alarm","825522014","ALARM","40.3841","{'type': 'Point', 'coordinates': [-111.834, 40.3841]}","-111.834","Alarm","UT","2017-11-16T11:13:05.000",
"4","4900 Block EAGLE NEST LN","17LE13964","LEHI",,,"2017-11-06T11:06:42.000","Friday","7","2017-11-03T07:11:39.000","Description: Alarm","825522013","ALARM","40.4489","{'type': 'Point', 'coordinates': [-111.891, 40.4489]}","-111.891","Alarm","UT","2017-11-16T11:13:06.000",
"5","500 Block STATE ST","16LE16698","LEHI",,,"2016-11-08T17:10:34.000","Thursday","10","2016-10-27T10:10:52.000","Description: Citizen Assist","780673137","CITIZEN ASSIST","40.4049","{'type': 'Point', 'coordinates': [-111.859, 40.4049]}","-111.859","Community Policing","UT","2016-11-14T16:34:30.000",
"6","3000 Block CENTER ST","16LE16708","LEHI",,,"2016-11-08T17:10:34.000","Thursday","14","2016-10-27T14:10:24.000","Description: Citizen Assist","780673016","CITIZEN ASSIST","40.4256","{'type': 'Point', 'coordinates': [-111.85, 40.4256]}","-111.85","Community Policing","UT","2016-11-14T16:34:33.000",
"7","2400 Block W 2350 NORTH","16LE16713","LEHI",,,"2016-11-08T17:10:32.000","Thursday","15","2016-10-27T15:10:05.000","Description: Criminal Mischief","780672976","CRIMINAL MISCHIEF","40.417","{'type': 'Point', 'coordinates': [-111.889, 40.417]}","-111.889","Other","UT","2016-11-14T16:34:30.000",
"8","1 Block PIONEER XING","16LE16709","LEHI",,,"2016-11-08T17:10:32.000","Thursday","15","2016-10-27T15:10:51.000","Description: Traffic Offense","780673000","TRAFFIC OFFENSE","40.3734","{'type': 'Point', 'coordinates': [-111.849, 40.3734]}","-111.849","Traffic","UT","2016-11-14T16:34:33.000",
"9","2100 Block W 900 NORTH","17LE13966","LEHI",,,"2017-11-06T11:06:34.000","Friday","8","2017-11-03T08:11:00.000","Description: Traffic Accident-Reportable","825522004","TRAFFIC ACCIDENT-REPORTABLE","40.3987","{'type': 'Point', 'coordinates': [-111.885, 40.3987]}","-111.885","Traffic","UT","2017-11-16T11:13:05.000",
"10","3500 Block TRIUMPH BLVD","17LE13979","LEHI",,,"2017-11-06T11:06:34.000","Friday","13","2017-11-03T13:11:00.000","Description: Fraud","825521993","FRAUD","40.4318","{'type': 'Point', 'coordinates': [-111.881, 40.4318]}","-111.881","Theft","UT","2017-11-16T11:12:17.000",
"11","1700 Block GRAYS PL","16LE03979","LEHI",,,"2016-03-21T05:36:24.000","Friday","0","2016-03-18T00:03:43.000","Description: Criminal Mischief","753359732","CRIMINAL MISCHIEF","40.3839","{'type': 'Point', 'coordinates': [-111.878, 40.3839]}","-111.878","Other","UT","2016-03-31T08:00:12.000",
"12","100 Block STATE ST","16LE16697","LEHI",,,"2016-11-08T17:10:34.000","Thursday","10","2016-10-27T10:10:07.000","Description: Disorderly Conduct","780673144","DISORDERLY CONDUCT","40.3971","{'type': 'Point', 'coordinates': [-111.848, 40.3971]}","-111.848","Disorder","UT","2016-11-14T16:34:30.000",
"13","2300 Block ASHTON BLVD","16LE16699","LEHI",,,"2016-11-08T17:10:34.000","Thursday","10","2016-10-27T10:10:45.000","Description: Citizen Assist","780673132","CITIZEN ASSIST","40.4203","{'type': 'Point', 'coordinates': [-111.886, 40.4203]}","-111.886","Community Policing","UT","2016-11-14T16:35:41.000",
