"county","zip_code","_4_pci_l_1","_4_pci_l_2","maximum","average","total_tests"
"San Juan","84511","88.7","11.3","13.5","1.9","133"
"San Juan","84512","100.0","0.0","0.8","0.8","1"
"San Juan","84530","100.0","0.0","1.3","1.1","3"
"San Juan","84531","100.0","0.0","1.3","1.3","1"
"San Juan","84533","100.0","0.0","0.1","0.1","2"
"San Juan","84535","56.8","43.2","21.0","4.4","199"
