"county","ansi_code","total","age","blind_disabled","under_18","_18_64","_65_older","ssi_also_oasdi","payments_in_thousands"
"Beaver","49001","63","b","b","b","46","b","17","44"
"Box Elder","49003","397","19","378","85","277","35","133","200"
"Cache","49005","688","49","639","162","448","78","199","352"
"Carbon","49007","469","15","454","56","360","53","151","249"
"Daggett","49009",,"b","b","b",,"b",,
"Davis","49011","2008","114","1,894","481","1323","204","576","1025"
"Duchesne","49013","290","b","b","54","211","25","86","161"
"Emery","49015","138","b","b","22","106","10","44","65"
"Garfield","49017","41","b","b","b","28","b","12","28"
"Grand","49019","132","12","120","18","91","23","52","63"
"Iron","49021","487","20","467","98","341","48","165","252"
"Juab","49023","123","b","b","b","90","b","42","57"
"Kane","49025","68","b","b","b","57","b","27","31"
"Millard","49027","131","b","b","21","95","15","47","60"
"Morgan","49029","30","b","b","b","18","b",,"14"
"Piute","49031","22","b","b","b","11","b",,"10"
"Rich","49033","15","0","15","b",,"b",,
"Salt Lake","49035","11465","1,532","9,933","1,961","7044","2,460","3341","6022"
"San Juan","49037","606","95","511","54","249","303","264","277"
"Sanpete","49039","305","21","284","54","213","38","108","146"
"Sevier","49041","273","10","263","57","188","28","90","148"
"Summit","49043","91","14","77","17","55","19","27","53"
"Tooele","49045","555","27","528","125","370","60","169","293"
"Uintah","49047","340","13","327","61","246","33","103","172"
"Utah","49049","3808","245","3,563","929","2486","393","1025","1861"
"Wasatch","49051","91","b","b","27","50","14","23","46"
"Washington","49053","1008","65","943","244","645","119","305","501"
"Wayne","49055",,"b","b","b",,"b",,
"Weber","49057","3030","174","2,856","478","2161","391","990","1562"
"Total, Utah","49","26693","2,462","24,231","5,078","17234","4,381","8021","13708"
