"rank","field","county","year_discovered","_2011_production","percent_of_state_production","cumulative_production","percent_of_cumulative_production"
"1","Monument Butte","Duchesne","1964","4946775","18.82","52048132","3.65"
"2","Greater Aneth","San Juan","1956","3855955","14.67","462039126","32.39"
"3","Altamont","Duchesne","1970","2627584","10.00","128882893","9.03"
"4","Covenant","Sevier","2003","2521790","9.59","15236718","1.07"
"5","Bluebell","Duchesne/Uintah","1955","2312062","8.80","170833275","11.98"
"6","Natural Buttes","Uintah","1972","2122834","8.08","19659344","1.38"
"7","Brundage Canyon","Duchesne","1984","1222258","4.65","16260441","1.14"
"8","Windy Ridge","Uintah","1988","914013","3.48","1713876","0.12"
"9","South Myton Bench","Duchesne","1983","662916","2.52","539964","0.04"
"10","8 Mile Flat North","Uintah","1983","604726","2.30","9048667","0.63"
"11","Cedar Rim","Duchesne","1969","494921","1.88","14133645","0.99"
"12","North Myton Bench","Duchesne","2009","364100","1.39","538758","0.04"
"13","Red Wash","Uintah","1951","329406","1.25","86334588","6.05"
"14","Antelope Creek","Duchesne","1983","319155","1.21","6555207","0.46"
"15","Leland Bench","Uintah","1988","269126","1.02","51023","0.00"
"16","Wonsits Valley","Uintah","1959","258088","0.98","51590622","3.62"
"17","Brennan Bottom","Uintah","1954","208361","0.79","2503621","0.18"
"18","Upper Valley","Garfield","1964","166534","0.63","28190870","1.98"
"19","Walker Hollow","Uintah","1953","160937","0.61","19575172","1.37"
"20","Pineview","Summit","1975","151448","0.58","32187702","2.26"
"21","Gusher","Uintah","1952","135114","0.51","537249","0.04"
"22","Lake Canyon","Duchesne","2006","131183","0.50","311159","0.02"
"23","Pariette Bench","Uintah","1964","119449","0.45","1702270","0.12"
"24","Gypsum Hills","Uintah","1964","114624","0.44","2414321","0.17"
"25","Randlett","Uintah","1970","100256","0.38","195905","0.01"
