"county","major_sic_category","cy_1978","cy_1979","cy_1980","cy_1981","cy_1982","cy_1983","cy_1984","cy_1985","cy_1986","cy_1987","cy_1988","cy_1989","cy_1990","cy_1991","cy_1992","cy_1993","cy_1994","cy_1995","cy_1996","cy_1997"
"Duchesne","AGRICULTURE,FORESTRY & FISHING (111-973)",,,,,,,,,,,"39190","-85986",,,,,"67991",,,"96422"
"Duchesne","MINING (1011-1499)","7626298","12457385","10203878","12859456","18346196","30315860","17773987","16340442","9994299","3555912","4995551","3651111","5174417","6356283","7879419","5237609","4145273","1832790","3461946","6479974"
"Duchesne","CONSTRUCTION (1521-1799)","4391952","937103","852984","2797456","3060719","1549303","8295929","2036665","2467051","3012441","542269","240540","180607",,,"613354","814288","847651","1073295","1812342"
"Duchesne","MANUFACTURING (2011-3999)","3961383","3691349","5046442","6272008","5810770","6949028","8809796","8318596","6877509","1794113","1360183","2950418","2085575","2968761","1259501","2055950","2526919","1829143","2596494","4273000"
"Duchesne","TRANSPORTATION (4011-4789)","55426","173619","310333","96846","136992",,,,,"48966",,,,,,,,,,"157536"
"Duchesne","COMMUNICATIONS (4812-4899)",,,,,,"2068783","2742022","4283248","3963352","3339714","3018447","2661443","4078402","3558507","4403453","4733341","5138351","5453277","6147617","6465007"
"Duchesne","ELECTRIC & GAS (4911-4971)",,"974143",,"2015156","2196087",,"2574322","13662688","12423780","12328400","10268270","9240336","10211780","7489155","9127050","8936251","8958849","6470766","6922185","4497529"
"Duchesne","1977 CODE - WHOLESALE TRADE","7048294","13208623","14868652",,,,,,,,,,,,,,,,,
"Duchesne","WHOLESALE-DURABLE GOODS (5012-5099)",,,,"11487804","5543947","1344105","4364869","4402961","2909320","4670183","5018898","5003235","3761938","4306218","5073008","6294083","5696579","6440459","7498709","12316499"
"Duchesne","WHOLESALE-NONDURABLE GOODS (5111-5199)",,,,"9271343","11619411","9487797","11622909","11236772","6470174","5876839","4624869","3240464","4403210","4524565","5785976","5082503","3899860","2366808","2196951","5631332"
"Duchesne","RETAIL-BUILDING & GARDEN (5211-5271)","4201971","5180208","4499065","3812259","4012239","3679026","4532641","14103875","4313679","1125605","1630795","2466630","2006495","2515467","2815054","3106932","3493104","3507929","4282360","4944669"
"Duchesne","RETAIL-GENERAL MERCHANDISE (5311-5399)","6005032","6408836","7176525","8162796","8602382","8610407","9525649","9068722","8127382","8049152","7313985","6811436","5838776","4365349","3853209","2580130","1446982","2083144","3393569","4134038"
"Duchesne","RETAIL-FOOD STORES (5411-5499)","8649553","10131489","10455681","10567919","11586169","11743879","13423119","14067616","13493891","9795623","9378130","10543197","13949015","14896278","15901235","17513235","19940899","21046431","21524658","24071438"
"Duchesne","RETAIL-MOTOR VEHICLE DEALERS(5511-5599)","8848476","10169554","9366107","12439370","14656195","11849314","16299013","13818617","9479353","7262637","7924383","10083784","10074734","10999642","11233443","14059861","14206679","14242326","17365795","20378039"
"Duchesne","RETAIL-APPAREL & ACCESSORY (5611-5699)","476845","763182","925625","932530","1121332","1031065","1164601","852895","684014","678342","456690","314089","333505","294243","207675","405712","429132","308280","330335","679195"
"Duchesne","RETAIL-FURNITURE (5712-5736)","948047","1527942","1627277","1668989","1574886","1877336","1888222","1924374","1790371","1298715","1177999","1401134","1660540","1808092","1743257","2029819","2112014","2244149","2242586","2387521"
"Duchesne","RETAIL-EATING & DRINKING (5812-5813)","2386690","2929106","2641071","3286497","3556544","3825582","4461446","4043289","4020142","3545691","3068287","3046012","2691030","3064354","3082755","2670650","2360978","3381178","3485986","3712106"
"Duchesne","RETAIL-MISCELLANEOUS (5912-5999)","2719866","2644704","3191275","4100969","4979332","9159731","5257364","4914978","4603824","2364505","2353040","2388973","2519862","2882195","2780619","2374928","2807025","2992814","2626780","3671703"
"Duchesne","FINANCE,INS. & REAL ESTATE (6011-6799)","74252","287482","306365","484253","229115","48933","68835","177479","252032","187462","147813","1856873","357985","25900","38059","33205","114868","196026","253232","229763"
"Duchesne","1977 CODE - SERVICES","3375098","4287790","3469019","4064880",,,,,,,,,,,,,,,,
"Duchesne","SERVICES-HOTELS & LODGING (7011-7041)",,,,"159425","654890","739104","403455","292999","145114","164644","89991","131786","116684","156969","140644","727803","780583","1434928","1168971","1784454"
"Duchesne","SERVICES-PERSONAL (7211-7299)",,,,"61620","239701","268748","273186","139182","293890","283854","227337","311568","278203","333113","348333","461532","418455","453868","526596","543917"
"Duchesne","SERVICES-BUSINESS (7311-7389)",,,,"581385","2781091","4030222","3856885","1816133","1052317","1949290","1531823","2250735","700685","342251","439837","543044","911953","1358175","2392027","9524721"
"Duchesne","SERVICES-AUTO & MISC.REPAIR (7513-7699)",,,,"651780","2693140","2913123","3470257","3997912","3551804","3364698","3180578","3688382","2754094","2977136","3534976","3295703","3121593","3414631","4149170","5558048"
"Duchesne","SERVICES-AMUSEMENT & RECRTN.(7812-7999)",,,,,,,,,"42408",,"97213","201018","261161","294018","364849","366295","492062","481605","577969","467231"
"Duchesne","SERVICES-HEALTH (8011-8099)",,,,,"6113","7306",,,"17421","19456","7438","44068","47659","44495","149133","254930","257846","284283","308477","224847"
"Duchesne","SERVICES-ED.,LEGAL,SOCIAL (8111-8999)",,,,"5881","58155","54377","57048","48780","51562","147020","92869","98447","59295","44206","52575","47416","-228027","-201549","-244475","-13015"
