"company","mine","coal_field","bed_s","heat_content_btu_lb","sulfur","ash","moisture"
"Canyon Fuel, LLC","Dugout Canyon","Book Cliffs","Gilson","12076","1.0",,
"WEST RIDGE Resources, Inc.","West Ridge","Book Cliffs","Lower Sunnyside","11994","1.2","12.8","6.3"
"CONSOL Energy","Emery","Emery","I","12260",,,
"Canyon Fuel, LLC","Skyline #3","Wasatch","Lower O'Connor 'A'","11600","0.4","9.6","8.3"
"Canyon Fuel, LLC","SUFCO","Wasatch","Upper Hiawatha","10942","0.4","11.2","9.9"
"C.W. (Co-op) Mining Co.","Bear Canyon #4","Wasatch","Tank","10737","0.7","18.3","7.7"
"Energy West Mining Co.","Deer Creek","Wasatch","Hiawatha/Blind Canyon","12062","0.5","9.0","5.0"
"Hidden Splendor Resources, Inc.","Horizon","Wasatch","Hiawatha","11700","1.2","12.8","6.3"
