"company","mine","coal_field","bed_s","heat_content_btu_lb","sulfur","ash","moisture"
"Andalex Resources Inc.","Aberdeen/Pinnacle","Book Cliffs","Aberdeen/Gilson","12200","0.5","8.5","7.0"
"Canyon Fuel, LLC","Dugout Canyon","Book Cliffs","Gilson","11950","0.6","10.0","7.3"
"WEST RIDGE Resources, Inc.","West Ridge","Book Cliffs","Lower Sunnyside","12550","1.2","8.5","7.5"
"CONSOL Energy","Emery","Emery","I","11800","0.7",,"7.0"
"Canyon Fuel, LLC","Skyline #3","Wasatch","Lower O'Connor 'A'","11800","0.5","9.0","9.0"
"Canyon Fuel, LLC","SUFCO","Wasatch","Upper Hiawatha","11300","0.4","9.0","9.4"
"C.W. (Co-op) Mining Co.","Bear Canyon #3 & #4","Wasatch","Hiawatha/Blind Canyon","12400","0.5","9.0","7.0"
"Energy West Mining Co.","Deer Creek","Wasatch","Hiawatha/Blind Canyon","12550","0.4","10.0","9.0"
"GENWAL Resources, Inc.","Crandall Canyon and South C.C.","Wasatch","Hiawatha","12300","0.6","9.0","7.5"
"Hidden Splendor Resources, Inc.","Horizon","Wasatch","Hiawatha","11950","0.5","11.0","7.8"
