"column_0","address_1","case_number","city","clearance_type","country","created_at","day_of_week","hour_of_day","incident_datetime","incident_description","incident_id","incident_type_primary","latitude","location","longitude","parent_incident_type","state","updated_at","zip"
"0","1 Block CROSSROADS BLVD","16SS01730","SARATOGA SPRING",,,"2016-03-11T06:38:29.000","Tuesday","8","2016-03-08T08:03:18.000","Description: Criminal Mischief","752347375","CRIMINAL MISCHIEF","40.3874","{'coordinates': [-111.914, 40.3874], 'type': 'Point'}","-111.914","Other","UT","2016-03-21T08:05:21.000",
"1","1 Block THUNDER BLVD","16SS01728","SARATOGA SPRING",,,"2016-03-11T06:38:29.000","Tuesday","8","2016-03-08T08:03:18.000","Description: Traffic Offense","752347372","TRAFFIC OFFENSE","40.3677","{'coordinates': [-111.921, 40.3677], 'type': 'Point'}","-111.921","Traffic","UT","2016-03-21T08:05:21.000",
"2","1 Block CASI WAY","16SS01729","SARATOGA SPRING",,,"2016-03-11T06:38:29.000","Tuesday","8","2016-03-08T08:03:39.000","Description: Fraud","752347374","FRAUD","40.2863","{'coordinates': [-111.878, 40.2863], 'type': 'Point'}","-111.878","Theft","UT","2016-03-21T08:05:21.000",
"3","TANNER LN & S REDWOOD RD","18SS01072","SARATOGA SPRING",,,"2018-02-10T07:37:22.000","Wednesday","0","2018-02-07T00:02:07.000","Description: Traffic Accident-Reportable","833812203","TRAFFIC ACCIDENT-REPORTABLE","40.3413","{'coordinates': [-111.916, 40.3413], 'type': 'Point'}","-111.916","Traffic","UT","2018-02-21T06:19:23.000",
"4","900 Block W 1200 NORTH","18SS01075","SARATOGA SPRING",,,"2018-02-10T07:37:22.000","Wednesday","8","2018-02-07T08:02:19.000","Description: Harrassment","833812204","HARRASSMENT","40.3836","{'coordinates': [-111.94, 40.3836], 'type': 'Point'}","-111.94","Family Offense","UT","2018-02-21T06:19:23.000",
"5","600 Block PIONEER XING","18SS01078","SARATOGA SPRING",,,"2018-02-10T07:37:23.000","Wednesday","8","2018-02-07T08:02:35.000","Description: Driving Under Influence","833812240","DRIVING UNDER INFLUENCE","40.3849","{'coordinates': [-111.933, 40.3849], 'type': 'Point'}","-111.933","Traffic","UT","2018-02-21T06:19:24.000",
"6","1000 Block COYOTE RUN","18SS01077","SARATOGA SPRING",,,"2018-02-10T07:37:22.000","Wednesday","9","2018-02-07T09:02:08.000","Description: Citizen Assist","833812206","CITIZEN ASSIST","40.3815","{'coordinates': [-111.939, 40.3815], 'type': 'Point'}","-111.939","Community Policing","UT","2018-02-21T06:19:23.000",
"7","400 Block PONY EXPRESS PKWY","18SS01076","SARATOGA SPRING",,,"2018-02-10T07:37:22.000","Wednesday","9","2018-02-07T09:02:57.000","Description: Vehicle-Abandoned","833812205","VEHICLE-ABANDONED","40.3621","{'coordinates': [-111.928, 40.3621], 'type': 'Point'}","-111.928","Community Policing","UT","2018-02-21T06:19:23.000",
"8","2900 Block WILLOW CREEK DR","18SS01080","SARATOGA SPRING",,,"2018-02-10T07:37:23.000","Wednesday","10","2018-02-07T10:02:07.000","Description: Animal Problem","833812242","ANIMAL PROBLEM","40.3076","{'coordinates': [-111.899, 40.3076], 'type': 'Point'}","-111.899","Community Policing","UT","2018-02-21T06:19:25.000",
"9","1400 Block PARKSIDE DR","18SS01081","SARATOGA SPRING",,,"2018-02-10T07:37:23.000","Wednesday","10","2018-02-07T10:02:34.000","Description: Citizen Assist","833812243","CITIZEN ASSIST","40.3362","{'coordinates': [-111.92, 40.3362], 'type': 'Point'}","-111.92","Community Policing","UT","2018-02-21T06:19:23.000",
