"entity_id","id","vendor_code","posting_date","gender","amount","batch_id","last_mod_date","last_mod_user","fiscal_year","entity_trans_id","description","ref_id","type","contract_name","contract_number","org1","org2","org3","org4","org5","org6","org7","org8","org9","org10","cat1","cat2","cat3","cat4","cat5","cat6","cat7","fund1","fund2","fund3","fund4","vendor_id","hourly_rate","program1","program2","program3","program4","program5","program6","program7","function1","function2","function3","function4","function5","function6","function7","account_number","myid"
"Lincoln Academy","67143264",,"21-Aug-09",,"165","813","09JUN2010:03:11:30",,"2010","40046","Deposit",,"2",,,"1450155","1450157",,,,,,,,,"1037877","1068847",,,,,,"1001311",,,,"634526","0",,,,,,,,,,,,,,,,
"Jefferson Academy","67634532",,"23-Nov-09",,"70","935","13JUL2010:23:04:00",,"2010","480","Bill",,"1",,,"1450155","1450157",,,,,,,,,"1036885","1038699",,,,,,"1001311",,,,"542175","0",,,,,,,,,,,,,,,,
"John Hancock Charter School","177989759",,"29-May-12",,"50","11043","18SEP2012:23:03:01",,"2012","22929","Check",,"1",,,"1450155","1450157",,,,,,,,,"1042705","1074989",,,,,,"1001311",,,,"2637935","0",,,,,,,,,,,,,,,,
"Legacy Preparatory Academy","154310815",,"19-May-11",,"25","8901","25APR2012:01:28:37",,"2011","10554","Postage",,"1",,,"1450161","1450209",,,,,,,,,"1037263","1041901",,,,,,"1001311",,,,"629744","0",,,,,,,,,,,,,,,,
"Lincoln Academy","67146218",,"24-Feb-10",,"79.11","813","09JUN2010:03:11:30",,"2010","40233","Bill",,"1",,,"1450155","1450157",,,,,,,,,"1036965","1036983",,,,,,"1001311",,,,"634835","0",,,,,,,,,,,,,,,,
"Juab School District","68289136",,"26-Feb-10",,"149.75","969","19JUL2010:23:00:03",,"2010","2010-EX-_2VT0N1ACG","Not Provided",,"1",,,"1450161","1450563",,,,,,,,,"1036885","1048955",,,,,,"1001375",,,,"647266","0",,,,,,,,,,,,,,,,
"Lincoln Academy","67146542",,"13-Mar-10",,"-74.95","813","09JUN2010:03:11:30",,"2010","40250","Vendor Credit",,"1",,,"1450161","1450207",,,,,,,,,"1037263","1068783",,,,,,"1001311",,,,"634626","0",,,,,,,,,,,,,,,,
"Liberty Academy","159681739",,"26-Aug-10",,"870.96","9326","06JUN2012:00:24:15",,"2011","4659","State Retirement",,"1",,,"1450155","1450157",,,,,,,,,"1036965","1036971",,,,,,"1001311",,,,"640272","0",,,,,,,,,,,,,,,,
"Lincoln Academy","69382284",,"16-Apr-10",,"95","1018","02AUG2010:23:04:53",,"2010","40284","Check",,"1",,,"1450155","1450157",,,,,,,,,"1036965","1036967",,,,,,"1001311",,,,"634842","0",,,,,,,,,,,,,,,,
"Lincoln Academy","67145406",,"23-Dec-09",,"17.25","813","09JUN2010:03:11:30",,"2010","40170","Deposit",,"2",,,"1450155","1450157",,,,,,,,,"1037877","1068849",,,,,,"1001311",,,,"634526","0",,,,,,,,,,,,,,,,
"John Hancock Charter School","177971193",,"1-Feb-10",,"18.6","11039","17SEP2012:23:06:55",,"2010","17943","Paycheck",,"1",,,"1450155","1450157",,,,,,,,,"1036965","1042735",,,,,,"1001311",,,,"640841","0",,,,,,,,,,,,,,,,
"Merit College Preparatory Academy","67218482",,"22-Aug-09",,"5","843","15JUN2010:23:06:08",,"2010","40047","Deposit",,"2",,,"1450155","1450157",,,,,,,,,"1038329","1046135",,,,,,"1001311",,,,"637731","0",,,,,,,,,,,,,,,,
"Legacy Preparatory Academy","154298893",,"19-Jan-11",,"10.02","8901","25APR2012:01:28:37",,"2011","8319","Medicare Expense",,"1",,,"1450155","1450157",,,,,,,,,"1036965","1066941",,,,,,"1001311",,,,"629734","0",,,,,,,,,,,,,,,,
"Jefferson Academy","67636188",,"30-Oct-09",,"916","935","13JUL2010:23:04:00",,"2010","404","Deposit",,"2",,,"1450155","1450157",,,,,,,,,"1037695","1038871",,,,,,"1001311",,,,"542230","0",,,,,,,,,,,,,,,,
"Mountain Heights Academy","179975513",,"26-Oct-11",,"-491","11297","01OCT2012:23:08:41",,"2012","2294","Marketing",,"1",,,"1450161","1450175",,,,,,,,,"1038827","1038833",,,,,,"1001311",,,,"951485","0",,,,,,,,,,,,,,,,
"John Hancock Charter School","177990053",,"1-Jun-12",,"2.25","11043","18SEP2012:23:03:01",,"2012","22976","Paycheck",,"1",,,"1450155","1450157",,,,,,,,,"1036965","1073219",,,,,,"1001311",,,,"640841","0",,,,,,,,,,,,,,,,
"Monticello Academy","156994037",,"10-May-11",,"15","9073","02MAY2012:00:18:09",,"2011","9410","Student Fees",,"2",,,"1450155","1450157",,,,,,,,,"1037877","1037887",,,,,,"1001311",,,,"652233","0",,,,,,,,,,,,,,,,
"Juab School District","161158791",,"31-Aug-11",,"56.72","9386","13JUN2012:01:53:07",,"2012","2012-EX-_39X0IYLJB","August Extra",,"1",,,"1450155","1450157",,,,,,,,,"1036965","1036967",,,,,,"1001375",,,,"647222","0",,,,,,,,,,,,,,,,
"John Hancock Charter School","177979009",,"29-Oct-10",,"5.37","11041","18SEP2012:23:00:06",,"2011","19536","Paycheck",,"1",,,"1450155","1450157",,,,,,,,,"1036965","1042735",,,,,,"1001311",,,,"640841","0",,,,,,,,,,,,,,,,
"Juab School District","68292927",,"28-May-10",,"847","969","19JUL2010:23:00:03",,"2010","2010-EX-_2XZ0M4X20","May Regular Payroll",,"1",,,"1450155","1450157",,,,,,,,,"1036965","1036985",,,,,,"1001375",,,,"647227","0",,,,,,,,,,,,,,,,
"Monticello Academy","70661760",,"31-Mar-10",,"13131","1092","25AUG2010:23:00:03",,"2010","6371","Deposit",,"2",,,"1450155","1450157",,,,,,,,,"1037695","1055249",,,,,,"1001311",,,,"652233","0",,,,,,,,,,,,,,,,
"Jefferson Academy","179905115",,"31-May-12",,"1123.76","11261","29SEP2012:02:26:18",,"2012","4891","Miscellaneous",,"2",,,"1450155","1450157",,,,,,,,,"1037877","1038795",,,,,,"1001311",,,,"542230","0",,,,,,,,,,,,,,,,
"Lincoln Academy","67142617",,"8-Jul-09",,"1.14","813","09JUN2010:03:11:30",,"2010","40002","Credit Card Charge",,"1",,,"1450161","1450207",,,,,,,,,"1042649","1068399",,,,,,"1001311",,,,"634543","0",,,,,,,,,,,,,,,,
"Kane School District","125573831",,"13-Sep-11",,"619.93","5433","05OCT2011:23:05:00",,"2012","5213 - 51120280073100630 - 7","FOOD",,"1",,,"1450473","1450475",,,,,,,,,"1037053","1038777",,,,,,"1001431",,,,"640104","0",,,,,,,,,,,,,,,,
"Lincoln Academy","69382371",,"23-Apr-10",,"575","1018","02AUG2010:23:04:53",,"2010","40291","Deposit",,"2",,,"1450155","1450157",,,,,,,,,"1037877","1068953",,,,,,"1001311",,,,"634526","0",,,,,,,,,,,,,,,,
"Merit College Preparatory Academy","67219404",,"26-Feb-10",,"150","843","15JUN2010:23:06:08",,"2010","40235","Deposit",,"2",,,"1450155","1450157",,,,,,,,,"1038329","1071611",,,,,,"1001311",,,,"637731","0",,,,,,,,,,,,,,,,
"Jefferson Academy","67635497",,"9-Jul-09",,"2338.33","935","13JUL2010:23:04:00",,"2010","58","Bill",,"1",,,"1450161","1450219",,,,,,,,,"1037053","1038759",,,,,,"1001311",,,,"542214","0",,,,,,,,,,,,,,,,
"Monticello Academy","70658816",,"1-Sep-09",,"95","1092","25AUG2010:23:00:03",,"2010","5448","Check",,"1",,,"1450155","1450157",,,,,,,,,"1036965","1079119",,,,,,"1001311",,,,"652233","0",,,,,,,,,,,,,,,,
"Jefferson Academy","193348815",,"1-Oct-12",,"54.25","12789","17JAN2013:17:07:57","import-script","2013","5548","Supplies",,"1",,,"1450155","1450157",,,,,,,,,"1037053","1037059",,,,,,"1001311",,,,"542204",,,,,,,,,,,,,,,,,
"Mountain Heights Academy","119713875",,"17-May-11",,"561.5","4631","12AUG2011:23:12:27",,"2011","1715","Gifts and Awards",,"1",,,"1450161","1450175",,,,,,,,,"1037053","1038765",,,,,,"1001311",,,,"1785741","0",,,,,,,,,,,,,,,,
"Jefferson Academy","152245623",,"22-Aug-11",,"85","8679","12APR2012:23:58:32",,"2012","11722","Nutrition Services",,"2",,,"1450155","1450157",,,,,,,,,"1037877","1038789",,,,,,"1001311",,,,"542230","0",,,,,,,,,,,,,,,,
"John Hancock Charter School","177975059",,"6-Jan-10",,"910","11039","17SEP2012:23:06:55",,"2010","17751","Bill",,"1",,,"1450161","1450187",,,,,,,,,"1037199","1075303",,,,,,"1001311",,,,"640950","0",,,,,,,,,,,,,,,,
