"geofips","geoname","region","industryclassification","description","_1998_1","_1998_2","_1998_3","_1998_4","_1999_1","_1999_2","_1999_3","_1999_4","_2000_1","_2000_2","_2000_3","_2000_4","_2001_1","_2001_2","_2001_3","_2001_4","_2002_1","_2002_2","_2002_3","_2002_4","_2003_1","_2003_2","_2003_3","_2003_4","_2004_1","_2004_2","_2004_3","_2004_4","_2005_1","_2005_2","_2005_3","_2005_4","_2006_1","_2006_2","_2006_3","_2006_4","_2007_1","_2007_2","_2007_3","_2007_4","_2008_1","_2008_2","_2008_3","_2008_4","_2009_1","_2009_2","_2009_3","_2009_4","_2010_1","_2010_2","_2010_3","_2010_4","_2011_1","_2011_2","_2011_3","_2011_4","_2012_1","_2012_2","_2012_3","_2012_4","_2013_1","_2013_2","_2013_3","_2013_4","_2014_1","_2014_2"
"49000","Utah","7","...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","28041412","28538356","29056440","29621676","29865576","30347980","30899476","31416456","32421332","32916844","33096756","33464360","34092412","34226624","34344228","34402928","34944004","34735384","34835384","34908320","35063268","35448608","35863708","36418032","36980664","37937288","38593388","38961656","39547416","40215020","41327976","42422092","43688804","44419748","45363788","46834880","48088208","49304776","49221572","50149456","50279060","50731880","50916596","50381876","49114400","49046124","48724736","48682920","48932680","49095444","49870976","50717724","51317408","51692644","52513376","52509088","54349256","54707836","54715568","56863924","56696524","57409940","57890764","57923056","59758839","60674547"
"49000","Utah","7","111-112","  Farm wages and salaries","93500","92332","91080","90224","89584","89440","91088","94116","99780","104204","107584","109644","106932","108264","109116","109504","126900","126420","125492","124144","110732","110456","111476","113780","118404","121048","122736","123480","142492","141784","140536","138820","134852","134916","137220","141792","154300","159580","163100","164864","153888","154052","154368","154844","173732","173604","172560","170652","155320","152940","150780","148780","149936","148588","151720","159316","152724","161648","168780","174080","200868","204512","207904","211024","211668","213058"
"49000","Utah","7","...","  Nonfarm wages and salaries","27947912","28446024","28965360","29531452","29775992","30258540","30808388","31322340","32321552","32812640","32989172","33354716","33985480","34118360","34235112","34293424","34817104","34608964","34709892","34784176","34952536","35338152","35752232","36304252","36862260","37816240","38470652","38838176","39404924","40073236","41187440","42283272","43553952","44284832","45226568","46693088","47933908","49145196","49058472","49984592","50125172","50577828","50762228","50227032","48940668","48872520","48552176","48512268","48777360","48942504","49720196","50568944","51167472","51544056","52361656","52349772","54196532","54546188","54546788","56689844","56495656","57205428","57682860","57712032","59547171","60461489"
"49000","Utah","7","113-814","    Private nonfarm wages and salaries","22945272","23292412","23874100","24271156","24534028","24843532","25485260","25813460","26611744","27093764","27099340","27455552","28030940","28034960","27928736","27925980","28180284","27925240","28008696","28169200","28067720","28392136","28829556","29389236","29710936","30639556","31218044","31480528","31912796","32570552","33536500","34572416","35796200","36275184","37219632","38617864","39685696","40778376","40583144","41288204","41324388","41811512","41809592","41110296","39712428","39510096","39278260","39322116","39463144","39535968","40415848","41191264","41687520","41893280","42739568","42666984","44544692","44888972","44762564","46936372","46715720","47412184","47694156","47910328","49679593","50502103"
"49000","Utah","7","113-115","      Forestry, fishing, and related activities","32064","31264","34612","26648","33832","33940","32072","32448","26812","26332","31248","42584","22784","21432","20832","32364","17704","22524","19480","26956","26468","21752","23436","18012","20292","26056","23540","20604","22840","23436","26268","25624","27232","26436","29264","30020","32244","33776","34868","35104","33564","36016","32960","36812","31528","33808","34272","37316","34076","36936","37280","38988","38356","35084","39296","39840","39428","39256","39992","40696","43772","42904","42860","42888","44890","44580"
"49000","Utah","7","21","      Mining","356208","341104","338056","332876","321992","332804","314500","332000","353416","338236","382276","346196","366816","362376","392464","369808","336872","343368","346336","348860","339036","340508","343308","352876","381428","399760","394540","414104","441608","452028","521860","545564","583064","617884","663008","699200","694876","822084","759396","765988","790932","888988","920324","929068","802724","695756","677152","676712","710156","705616","729424","795084","821816","840268","886688","881244","947688","978604","961168","965028","949876","952580","933012","915052","931524","939856"
"49000","Utah","7","22","      Utilities","282740","270716","265332","255348","247048","249568","256964","273444","299612","259596","259444","246900","429244","303268","288528","243888","554692","287796","275356","250020","232396","270364","264716","255676","260648","284596","268552","252824","273500","284580","327636","260180","322520","333812","311624","336220","314932","324684","347780","333080","339076","330956","341664","341304","351228","341656","349868","333212","389464","346880","338884","340352","360600","352268","372020","328144","346780","353260","351656","344632","345308","348620","347120","351208","342745","345189"
"49000","Utah","7","23","      Construction","1850264","1926624","2009284","2016644","2090832","2119608","2170036","2245400","2291928","2282528","2225804","2215324","2303276","2304164","2296008","2235824","2183320","2163152","2155384","2259372","2191616","2162812","2182500","2201852","2275264","2393108","2496208","2432048","2619944","2705484","2875468","2943108","3311724","3471808","3591604","3818580","4104624","4114988","4024992","4035352","3912780","3789704","3643380","3515364","3199732","3037100","2997536","2886668","2895060","2817556","2885940","2990832","2927424","2893144","3041264","2931048","3200244","3212576","3150248","3313380","3324460","3380216","3433352","3370672","3652329","3761322"
"49000","Utah","7","31-33","      Manufacturing","4134840","4104932","4136376","4181828","4145984","4220636","4238264","4332780","4387796","4516364","4422572","4480024","4576512","4526072","4419384","4402452","4188124","4219844","4246960","4224180","4281852","4314156","4361372","4550404","4409380","4607504","4685908","4765264","4704864","4835200","4902052","4949216","5191076","5155664","5319900","5404880","5629236","5721304","5773128","5880604","5949560","6001720","6021752","6007864","5559680","5513496","5414440","5553440","5407772","5572480","5698696","5809388","5726592","5771280","5971440","5899720","6006612","6129092","6050672","6238296","6267960","6336044","6285544","6246376","6462062","6621660"
"49000","Utah","7","321,327-339","        Durable goods manufacturing","3046336","3002616","3018472","3034304","3001332","3069120","3089744","3171552","3194000","3332728","3227668","3272868","3364260","3314368","3226580","3201604","2972200","3013040","3018024","2983344","3032912","3046852","3068732","3239144","3100944","3238968","3302104","3368532","3323160","3440676","3487040","3507092","3679884","3666168","3805808","3880632","4084936","4125312","4178940","4236444","4275696","4324200","4318192","4325396","3937788","3852928","3804672","3897908","3765112","3891328","3968504","4058428","4000796","4044332","4224652","4175024","4225964","4333324","4243084","4347616","4384976","4429008","4359388","4364260","4484032","4604039"
