"company","mine","coal_field","bed_s","heat_content_btu_lb","sulfur","ash","moisture"
"Canyon Fuel, LLC","Dugout Canyon","Book Cliffs","Gilson","11692","0.7",,
"WEST RIDGE Resources, Inc.","West Ridge","Book Cliffs","Lower Sunnyside","12383","1.1","11.0","6.2"
"Rhino Resources","Castle Valley #4","Wasatch","Tank","12043","0.6","12.1","7.0"
"Canyon Fuel, LLC","Skyline #3","Wasatch","Lower O'Connor 'A'","11500","0.4","10.3","8.4"
"Canyon Fuel, LLC","SUFCO","Wasatch","Upper Hiawatha","11119","0.4","10.1","9.9"
"Energy West Mining Co.","Deer Creek","Wasatch","Hiawatha/Blind Canyon","11421","0.6","13.4","8.7"
"Hidden Splendor Resources, Inc.","Horizon","Wasatch","Hiawatha","11500","0.5","8.0","10.0"
"UtahAmerican Energy, Inc.","Lila Canyon","Book Cliffs","Sunnyside","11842","0.8","11.1","7.2"
"Alton Coal Development","Coal Hollow","Alton","Smirl",,,,
