"fiscal_year","restaurant_tax_distribution1","motor_vehicle_leasing_tax_distribution3","room_rental_tax_distribution","total_trcc_tax_collections4"
"1992","5196424","1699340",,"7766386"
"1993","10733208","2077182",,"13480252"
"1994","12445308","2054652","636517","15037582"
"1995","13837866","2708562","874380","16677406"
"1996","15385535","3120704","938543","18726270"
"1997","16591163","3530557","1121197","21805637"
"1998","17533887","3591362","1164563","22323767"
"1999","18941707","6067781","1165440","26693041"
"2000","20301025","8858793","1114251","30926333"
"2001","21010358","9642909","1215049","32287809"
"2002","22706744","8809366","1429491","33037909"
"2003","22732885","8460390","1257034","33774470"
"2004","23934143","8373362","1248887","34037735"
"2005","25622947","8918232","1302456","36255996"
"2006","27885719","12013715","4727840","45401207"
"2007","30014539","10875889","3217001","44337297"
"2008","32706670","13195885","1831235","48002666"
"2009","33338239","10378218","1660620","45251119"
"2010","32399103","10996225","1446497","45258481"
"2011","34078078","11625161","1553424","47351230"
"2012","36289643","12368013","1718720","50134347"
"2013","38718721","12458987","1797247","53125283"
"2014","41186178","13725409","1912781","58305231"
