"company","mine","coal_field","bed_s","heat_content_btu_lb","sulfur","ash","moisture"
"Canyon Fuel, LLC","Dugout Canyon","Book Cliffs","Gilson","11795","0.6",,
"WEST RIDGE Resources, Inc.","West Ridge","Book Cliffs","Lower Sunnyside","11800","1.2","15.3","5.5"
"Rhino Resources","Castle Valley #4","Wasatch","Tank","12043","0.7","11.5","6.7"
"Canyon Fuel, LLC","Skyline #3","Wasatch","Lower O'Connor 'A'","11500","0.4","10.6","8.4"
"Canyon Fuel, LLC","SUFCO","Wasatch","Upper Hiawatha","10926","0.3","11.5","9.7"
"Energy West Mining Co.","Deer Creek","Wasatch","Hiawatha/Blind Canyon","11376","0.7","14.3","8.1"
"Hidden Splendor Resources, Inc.","Horizon","Wasatch","Hiawatha","11500","0.5","8.0","10.0"
"UtahAmerican Energy, Inc.","Lila Canyon","Book Cliffs","Sunnyside","11620","1.2","12.5","7.5"
"Alton Coal Development","Coal Hollow","Alton","Smirl","10000","1.0","8.5","17.0"
