"company","city_state_zip","import","whole","lic_year","location_1"
"AMERICAN PROMOTIONAL-TNT FIREWORKS","TACOMA, WA 98421","X","X","2015","2120 MILWAUKEE WAY
,  "
"CRAZY AL'S LLC","DRAPER UT 84020","X",,"2015","P.O. BOX 1626
,  "
"FIREWORKS WEST INTERNATIONAL","LOGAN, UTAH 84321","X","X","2015","P.O. BOX 294
,  "
"SOS SALES","WEST VALLEY CITY, UT 84119",,"X","2015","3321 SOUTH REDWOOD ROAD
,  "
"STELLAR FIREWORKS INC","WICHITA KS 67201","X",,"2014","4440 SOUTHEAST BLVD
,  "
"JK MARKETING/ACME DISCOUNT FIREWORKS","PRESTON, ID 83263","X","X","2015","32 BUCKHORN WAY
,  "
"OLYMPUS FIREWORKS","SYRACUSE, UT 84075","X","X","2015","946 W 2860 SOUTH
,  "
"AURORA VENTURES LLC","SANDY, UT 84070","X","X","2015","196 E 10600 SOUTH
,  "
"FIRESTORM PYROTECHNICS","SPRINGVILLE UT 84663-1921","X","X","2015","187 E 400 SO
,  "
"WINCO FIREWORKS INC","OGDEN, UT 84404",,"X","2015","710 WEST AMIDAN DRIVE Bay 354
,  "
"PYRITZ PYROTECHNICS GROUP","NO LAS VEGAS NV 89030","X","X","2014","4224 ARCATA WAY STE F
,  "
"FIREWORKS FRENZY LLC","LAYTON, UT 84041","X",,"2015","1823 N 285 WEST
,  "
"JAKE'S FIREWORKS","PITTSBURG, KS 66762","X","X","2015","1500 E 27TH TERRACE
,  "
"B J ALAN CO","YOUNGSTOWN OH 44502-1102","X","X","2015","555 MARTIN LUTHER KING BL
,  "
"LIBERTY FIREWORKS INC.","GREAT FALLS, MT 59404","X","X","2014","2407 CENTRAL AVENUE W
,  "
"R. BROWN INC.","MISSOULA, MT 59808","X","X","2014","9400 INSPIRATION DRIVE
,  "
"VORTEX PRODUCTIONS","SALT LAKE CITY, UT 84108","X",,"2015","1865 WASATCH DRIVE
,  "
"HONG KONG HARRYS","COLUMBIA FALLS MT 59912",,"X","2014","3696 HWY 40 WEST
,  "
"FIREWORKS & STAGE FX AMERICA","LAKESIDE, CA 92040","X","X","2014","P.O. BOX 488
,  "
"BIG BEAR OF UTAH/GOLDEN SPIKE INT","YOUNGSTOWN OH 44502-1102","X","X","2015","555 MARTIN LUTHER KING BL
,  "
"MAIN STREET SERVICE","GARLAND, UT 84312","X",,"2014","P.O. BOX 64
,  "
"LEW'S FIREWORKS","WATERTOWN, SD 57201",,"X","2014","P.O. BOX 455
,  "
"FLYING PHOENIX","RIVERTON WY 82501",,"X","2015","PO BOX 31
,  "
"THRIVE VENDING dba BIG BOOMERS","LEHI, UT 84043","X",,"2015","621 W CIRCLE COVE
,  "
"SOLUS FIREWORKS","CLEARFIELD, UT 84015","X",,"2014","2248 SOUTH 300 WEST
,  "
"FIREWORKS BY GRUCCI","BELLPORT, NY 11713","X","X","2014","20 PINEHURST DRIVE
,  "
"MERRIL AND SONS ENTERPRISES LLC","KAYSVILLE, UT 84037","X",,"2014","788 WEST PETER DRIVE
,  "
"CASELOT FIREWORKS, LLC","DRAPER UT 84020","X",,"2014","788 E. ROCKY MOUTH LANE
,  "
"LANTIS FIREWORKS","DRAPER UT 84020","X","X","2015","PO BOX 491
,  "
