"occupation_code","title","level","employment","employment_rse","per_1_000_jobs","location","median_hourly_wage","mean_hourly_wage","annual_wage","mean_wage"
"00-0000","All Occupations","total","1455910","0.006","1000","1","17.69","23.04","47920","0.009"
"11-0000","Management Occupations","major","103300","0.013","70.956","1.35","38.37","45.32","94260","0.009"
"11-1011","Chief Executives","detail","4850","0.044","3.33","2.46","72.96","79.33","165020","0.028"
"11-1021","General and Operations Managers","detail","44760","0.021","30.746","1.94","32.05","39.60","82370","0.011"
"11-1031","Legislators","detail","740","0.068","0.508","1.46","-4","-4","26930","0.029"
"2011-11-01T00:00:00.000","Advertising and Promotions Managers","detail","240","0.197","0.166","0.95","24.77","32.20","66970","0.066"
"2021-11-01T00:00:00.000","Marketing Managers","detail","2940","0.044","2.018","1.21","49.07","55.40","115230","0.018"
"2022-11-01T00:00:00.000","Sales Managers","detail","4430","0.037","3.045","1.16","49.93","58.75","122190","0.024"
"2031-11-01T00:00:00.000","Public Relations and Fundraising Managers","detail","530","0.049","0.365","0.73","43.79","49.18","102290","0.051"
"3011-11-01T00:00:00.000","Administrative Services Managers","detail","2320","0.042","1.596","0.81","36.44","41.01","85310","0.021"
"3021-11-01T00:00:00.000","Computer and Information Systems Managers","detail","5440","0.046","3.739","1.38","57.41","58.45","121570","0.025"
"3031-11-01T00:00:00.000","Financial Managers","detail","6900","0.036","4.741","1.13","47.57","53.24","110750","0.017"
"3051-11-01T00:00:00.000","Industrial Production Managers","detail","1810","0.038","1.246","0.99","42.93","45.48","94590","0.019"
"3061-11-01T00:00:00.000","Purchasing Managers","detail","450","0.06","0.31","0.65","46.06","49.16","102250","0.021"
"3071-11-01T00:00:00.000","Transportation, Storage, and Distribution Managers","detail","1720","0.057","1.183","1.37","36.27","39.48","82110","0.02"
"3111-11-01T00:00:00.000","Compensation and Benefits Managers","detail","250","0.139","0.173","1.6","44.83","48.24","100330","0.025"
"3121-11-01T00:00:00.000","Human Resources Managers","detail","1340","0.037","0.923","0.93","45.74","50.21","104440","0.024"
"3131-11-01T00:00:00.000","Training and Development Managers","detail","530","0.052","0.361","1.46","43.20","45.39","94410","0.02"
"9021-11-01T00:00:00.000","Construction Managers","detail","2930","0.088","2.013","1.05","36.61","40.38","83990","0.026"
"9031-11-01T00:00:00.000","Education Administrators, Preschool and Childcare Center/Program","detail","170","0.255","0.12","0.34","17.23","20.06","41730","0.069"
