"company","mine","coal_field","bed_s","heat_content_btu_lb","sulfur","ash","moisture"
"UtahAmerican Energy, Inc.","Aberdeen","Book Cliffs","Aberdeen","12200","0.5","8.5","6.5"
"Canyon Fuel, LLC","Dugout Canyon","Book Cliffs","Gilson","11600","0.5","10.3","8.5"
"WEST RIDGE Resources, Inc.","West Ridge","Book Cliffs","Lower Sunnyside","11889","1.0","13.0","6.0"
"CONSOL Energy","Emery","Emery","I","12000","1.0","10.0","8.0"
"Canyon Fuel, LLC","Skyline #3","Wasatch","Lower O'Connor 'A'","11600","0.4","11.3","10.0"
"Canyon Fuel, LLC","SUFCO","Wasatch","Upper Hiawatha","10994","0.4","11.3","10.0"
"C.W. (Co-op) Mining Co.","Bear Canyon #4","Wasatch","Tank","11700","0.7","12.0","8.5"
"Energy West Mining Co.","Deer Creek","Wasatch","Hiawatha/Blind Canyon","10900","0.7","16.6","9.0"
"GENWAL Resources, Inc.","Crandall Canyon","Wasatch","Hiawatha","12014","0.4","9.0","5.0"
"Hidden Splendor Resources, Inc.","Horizon","Wasatch","Hiawatha","11700","0.6","10.0","5.0"
