"charter_school","website","_2013","_2014","_2015","_2016","_2017","_2018","_2019","meet_2018_annual","five_yr_ave"
"Academy for Math Engineering & Science","https://www.ames-slc.org/","90.1","94.3","94.4","92.1","90.5","93.6","94.3","true","93"
"American Academy of Innovation","https://aaiutah.org/",,,,,"57","61.2","76.6","true",
"American Leadership Academy","https://americanleadershipacademy.org/","77.7","83.7","87.7","84.3","84.3","84.7","84.8","true","85.2"
"American Preparatory Academy - Accelerated","https://www.americanprep.org/","88.5","87.1","87","81.7","89","86.8","85.5","true","86"
"American Preparatory Academy #1","https://www.americanprep.org/","96.8","88.6","89.4","80.8","83.8","85.7","96.8","true","87.3"
"American Preparatory Academy #2","https://www.americanprep.org/",,"87","90.8","83.4","86.9","88.6","87","true",
"American Preparatory Academy #3","https://www.americanprep.org/",,,"42.4","38.6","69.4","65.5","42.4","false",
"American Preparatory Academy Salem","https://www.americanprep.org/",,,,,"78.8","82.4","78.8","true",
"Americans Charter School",,"93.9","92.2","92.4","91.8","92.1","86.1","93.9","true","91.3"
"Ascent Academies Farmington","https://farmington.ascentutah.org/",,,"93.4","76","78.9","78.4","93.4","true","84"
"Ascent Academies Lehi","https://lehi.ascentutah.org/",,,,"66.3","75","75.5","66.3","false",
"Ascent Academies West Jordan","https://westjordan.ascentutah.org/",,,"86.3","80.7","80.8","83.4","86.3","true","83.5"
"Athenian eAcademy","https://aea.rocks/",,,,"62.4","57.8","66.4","75.3","true",
"Athlos Academy of Utah","https://www.athlosutah.org/",,,,,"67.9","72.3","58.8","false",
"Bear River Charter School","https://bearrivercharter.org/","89","89.7","78.2","78","76.3","86.2","87","true","81.1"
"Beehive Science & Technology Academy","https://www.beehiveacademy.org/","77.1","67.5","69","69.8","78.4","79","82.1","true","75.7"
"Bonneville Academy","https://bonnevilleacademy.org/",,,,,,"74","77.2","true",
"Canyon Grove Academy","https://canyongrove.com/","45.9","56.1","45.3","59.3","51.2","58.8","56.6","false","54.2"
"Canyon Rim Academy","https://canyonrimacademy.org/","95.1","96","93.3","92.2","83.7","88.7","86.6","true","88.9"
"Capston Classical Academy","https://www.capstoneclassical.org/",,,,,,,"68.2","true",
"Channing Hall","https://channinghall.org/","82.5","86.7","86.1","82.6","84.7","80.1","83.9","true","83.5"
"City Academy","https://www.cityacademyslc.org/","82.4","79.1","77.2","75.7","87.1","75.8","69.5","false","77.1"
"C.S. Lewis Academy","https://cslewisacademy.net/","58.5","40.2","46.9","79.3","86.6","78.8","70.6","false","72.4"
"Davinci Academy","http://www.davinciacademy.org/","54.9","48.4","77.7","80.4","80.4","79.1","87.1","true","80.9"
"Dixie Montessori Academy","https://dixiemontessoriacademy.org/",,,"83.6","74","78.7","68.2","69.1","false","74.7"
"Dual Immersion Academy","http://www.diacharter.org/","74.4","78.9","81.1","82.3","83.6","84.5","84.5","true","83.2"
"Early Light Academy Daybreak","https://earlylightacademy.org/","88.8","84.4","90.9","84.4","88.6","87","84.1","true","87"
"East Hollywood High","https://www.easthollywood.org/","82.3","79.8","84.7","85.8","83.8","85.8","87.4","true","85.5"
"Endeavor Hall","https://endeavorhall.org/","81","75","73.5","67","71","69.8","74","true","71.1"
"Entheos Acdademy Kearns","https://entheosacademy.org/","87.9","82.6","79.9","87.6","85.7","84.3","87.9","true","85.1"
"Entheos Acdademy Magna","https://entheosacademy.org/","82.2","81.8","73.9","77.1","86.5","80.7","82.2","true","80.1"
"Esperanza School","https://www.esperanzaelementary.org/index.html",,,"87.2","81.8","85.9","87.5","89","true","86.3"
"Excelsior Academy","https://www.excelsior-academy.org/","90.7","84.7","90","93.1","87.8","93.5","91.5","true","91.2"
"Franklin Discovery Academy","http://franklindiscovery.org/",,,,,"84.4","79.8","73.3","false",
"Freedom Prep Academy","https://freedomprep.net/","82.5","81.3","82.8","81.4","82","80.2","82.5","true","81.8"
"Freedom Prep Academy Vineyard","https://freedomprep.net/",,,,,"82.6","84.7","82.6","true",
"Gateway Preparatory Academy","https://gpacharter.org/","60.9","72.6","79.9","80.5","78.8","83.2","84.1","true","81.3"
"George Washington Academy","https://gwacademy.org/","79.2","84.5","81.8","83.9","81.8","81.6","86.7","true","83.2"
"Good Foundations Academy","https://gfautah.org/","83.6","79.3","79.6","82.4","83","79.3","82.3","true","81.3"
"Greewood Charter School","https://greenwoodcharter.org/",,,,"65.3","69.2","70.2","72.3","true",
"Guadalupe School","http://www.guadschool.org/","80","88.1","87.6","78.1","85.8","87.3","80.5","true","83.9"
"Hawthorn Academy South Jordan","https://www.hawthornacademy.org/",,,,"71.4","68","78.5","71.4","true",
"Hawthorn Academy West Jordan","https://www.hawthornacademy.org/","84.4","78.9","88.2","85.4","83.6","87.4","84.4","true","85.8"
"Highmark Charter School","https://hmcharterschool.org/","80.8","81.8","82.6","86.6","83.1","83","84.9","true","84"
"Itineris Early College","https://iechs.org/","92.9","91.1","90.2","84.3","87.8","82.2","89.4","true","86.8"
"Jefferson Academy","https://www.jeffersonacademy.org/","73.6","63.4","82.1","79.1","81.8","76.4","82.4","true","80.4"
"John Hancock Charter","https://www.johnhancockcs.org/","85.5","80","84.3","78.3","85.5","82","91.6","true","84.3"
"Karl G Maeser Prep Academy","https://maeserprep.org/","78","85.1","87.9","89.4","87.8","91","91.4","true","89.5"
"Lakeview Academy","https://www.lakeview-academy.com/saratoga-springs/saratoga-springs-home","86.5","84.1","84.9","83.6","89.1","87","90.3","true","87"
"Leadership Academy of Utah","https://www.lautah.org/",,,,,,"62.4","68.1","true",
"Leadership Learning Academy","https://llacharter.org/",,"83.5","75.3","76.9","81.3","79","83.5","true","79.2"
"Leadership Learning Academy Ogden","https://llacharter.org/",,,,,,"84.1","83","true",
"Legacy Preparatory Academy","https://www.legacyprep.org/","77.3","84.6","87.4","89.1","88","87.9","87.2","true","87.9"
"Lincoln Academy","https://www.lincoln-academy.org/","85.2","89","85.9","85.8","84","81.6","93.9","true","86.2"
"Lumen Scholar Institute","https://www.lumenscholar.org/",,,,"65.1","67.3","47.7","57.5","false",
"Mana Academy Charter","https://www.themanaacademy.org/",,"20.7","72.8","66.6","71.6","74.9","84.2","true","74"
"Maria Montessori Academy","https://www.mariamontessoriacademy.org/","84.5","80","81.5","82.4","80.3","72.4","55.8","false","74.5"
"Merit College Prep Academy","https://meritprepacademy.org/","40.9","85","81.2","86","78.8","83.3","80.9","true","82"
"Moab Charter School","https://www.moabcharterschool.org/",,"90.7","81.7","86.9","81.1","71.4","70.1","false","78.2"
"Monticello Academy","https://www.monticelloacademy.net/","87.9","85.7","85.5","80.3","80.2","76.7","81.4","true","80.8"
"Mountain Heights Academy","https://www.mountainheightsacademy.org/","60.7","61.5","63.1","56.9","66.4","60.3","60.1","true","61.4"
"Mountain West Montessori Academy","https://www.mwmacademy.org/",,,"79.9","76.3","76.1","85.6","80.3","true","79.6"
"Mountainville Academy","https://www.mountainvilleacademy.org/","78.6","80.9","78","74.4","77.9","69.6","75.4","true","75.1"
"Navigator Pointe Academy","http://navigatorpointeacademy.org/","86","79.2","90.4","90.1","87.4","84.4","84.3","true","87.3"
"Northern UT Acad Math & Science","https://nuames.org/","91.4","94","89.9","92.9","94.6","95.5","91.4","true","92.9"
"Northern UT Acad Math & Science Ogden","https://nuames.org/",,,,,,,"90.3","true",
"Noah Webster Academy","https://www.noahwebsteracademy.org/","74.1","83.7","90.2","80.7","86","85.7","83.6","true","85.2"
"North Davis Prep Academy","https://northdavisprep.org/","82.5","88.4","85.4","85.2","87.6","88.7","89.7","true","87.3"
"North Star Academy","https://www.north-staracademy.com/","93.8","90","91.6","89.2","89.1","95.4","92.4","true","91.5"
"Odyssey Charter School","https://odysseycharter.net/","78.9","74.6","84.3","72.7","75.1","77.8","74.8","true","76.9"
"Ogden Prep Academy","https://ogdenprep.org/","90.2","90.3","88.2","91.1","88.9","86.5","86.9","true","88.3"
"Pacific Heritage Academy","https://www.phlearning.org/#/","61.9","69.4","74.2","84.6","80.9","79.9","79.8","true","79.9"
"Paradigm High School","https://www.paradigmschools.org/","81.8","78.9","75.3","78.4","73.9","76.3","78","true","76.4"
"Pinnacle Canyton Academy","https://www.pcaschool.com/","88","88.8","81.6","86.2","85.7","81.9","84.2","true","83.9"
"Promontory School Expeditionary learning","https://www.promontoryschool.org/","87.2","88.5","92.4","91.3","89.4","80","84.2","true","87.5"
"Providence Hall","https://providencehall.com/","87.1","81.8","82.7","81.8","82.9","84.8","81.3","true","82.7"
"Quest Academy","https://www.questac.org/","82.6","78.9","77.5","80.2","82.5","88.8","84.5","true","82.7"
"Ranches Academy","https://www.theranchesacademy.org/","91.7","86.5","89.6","84.6","86.9","90.9","93.1","true","89"
"Reagan Academy","https://www.reaganacademy.org/","87.3","88.7","84.1","87","87.5","87.8","87.6","true","86.8"
"Renaissance Academy","https://renacademy.org/","78.8","78.4","81.1","76.1","79.9","81.2","81.5","true","80"
"Rockwell Charter HS","https://www.rockwellhigh.net/","44.2","66.5","84.2","84.4","83.2","83.2","85.4","true","84.1"
"Roots Charter HS","https://www.rootshigh.org/",,,,"75.8","73.3","86.3","83.6","true",
"Salt Lake Arts Academy","https://www.slarts.org/","91","94.5","93","94.4","89.3","92.3","94.7","true","92.7"
"Scholar Academy","https://scholarcharter.org/",,,"92.3","92","82.9","83.1","83.8","true","86.8"
"Soldier Hollow Charter","https://www.mysoldierhollow.com/","69","73.8","83.4","78.5","78.1","75","82.9","true","79.6"
"Spectrum Academy NSL","https://www.spectrumcharter.org/","88.7","86.6","88.1","88.9","92.2","90.2","88.7","true","89.6"
"Spectrum Academy PG","https://www.spectrumcharter.org/",,,"87.5","91.9","91.3","92.2","87.5","true","90.1"
"St George Academy","http://www.stgacademy.org/",,,,,,"68.8","77.8","true",
"Summit Academy Bluffdale","https://sahs.summitacademyschools.org/",,,,,"67.5","69.2","67.7","true",
"Summit Academy Draper","https://draper.summitacademyschools.org/","90.3","89.4","92.1","90.7","88.8","82.3","90.3","true","88.8"
"Summit Academy Independence","https://independence.summitacademyschools.org/",,"83.2","83.2","86.6","87.5","88.4","83.2","true","85.8"
"Summit Academy HS",,"59.6","77.4","79.6","80.1","84.9","80.3","80.8","true","81.1"
"Syracuse Arts Academy Antelope","http://www.syracuseartsacademy.org/","85.6","88.6","89","85.6","88.9","90.4","85.6","true","87.9"
"Syracuse Arts Academy North","http://www.syracuseartsacademy.org/",,,,"91.3","94.3","88.8","91.3","true",
"Terra Academy","https://www.theterraacademy.org/",,,,"75.6","83.4","85.4","88.5","true",
"Center for Creativity, Innovation & Discovery","https://ccidschool.org/",,,,,,"80.1","83.5","true",
"Thomas Edison North","https://thomased.org/","88","86.4","86.7","90.8","90.8","85.4","88","true","88.3"
"Thomas Editon South","https://thomased.org/","85.4","89.1","85","85.5","79","82.9","85.4","true","83.6"
"Timpanogos Academy","https://www.timpacademy.org/","85.6","91.4","89.9","84.8","92.8","91.2","91.8","true","90.1"
"Treeside Charter School","https://treesidecharter.org/",,,,,,"70.2","64.9","true",
"Tuacahn HS","https://tuacahnhs.org/","82.6","85.7","86.6","87.4","81.7","82.6","87.4","true","85.1"
"Uintah River High",,"85.4","73.8","79.1","84","84.3","87","90.7","true","85"
"Utah Connections Academy","https://www.connectionsacademy.com/utah-online-school","49.2","51.6","55.9","63.6","52.8","58","58.4","false","57.7"
"Utah County Academy of Science","https://www.ucas-edu.net/","94.1","90.3","93.2","93.2","93.4","95.2","91.3","true","93.3"
"Utah Military Academy","https://utahmilitaryacademy.org/",,,"68.4","75.2","71.4","76","68.4","true","71.9"
"Utah Military Academy Camp Williams","https://utahmilitaryacademy.org/",,,,,,"75.1","76.1","true",
"Utah Virtual Academy","https://utva.k12.com/","53.5","54.8","58.5","61.6","63.3","64.5","65","true","62.6"
"Valley Academy","https://valleyacademycharter.com/","64.2","69.8","62.9","63.8","76.6","69.6","76.5","true","69.9"
"Vanguard Academy","http://ww.vanguardcharter.org/",,,,"91.2","95.4","94","95.3","true",
"Venture Academy","https://www.venturelearning.org/","89.3","87.1","87.1","86.5","88.2","85.8","87.1","true","86.9"
"Technology",,"80.2","80.8","81.5","83.2","86.3","88.3","91.1","true","86.1"
"Voyage Academy","https://www.voyageacademyutah.org/",,"93","88.4","92.4","92.8","88.6","93","true","91"
"Walden School of Liberal Arts","https://www.waldenschool.us/","53.3","83.2","85.6","85.2","81.2","84.9","85.4","true","84.5"
"Wallace Stegner Academy","https://wsacharter.org/",,,,,"82.2","86","83.4","true",
"Wasatch Peak Academy","https://www.wasatchpeak.org/","94.1","91.2","94.1","92.6","91.8","90.4","87.4","true","91.3"
"Wasatch Waldorf Charter","http://wasatchwaldorf.org/",,,,,"80.4","87.9","88.4","true",
"Weilenmann School of Discovery","https://wsdpc.org/","80.2","80.8","78.7","86.6","85.9","82.4","82","true","83.1"
