"rank","district","synonym","age_ma","extent","commodity","tons","cu_lbs","pb_lbs","zn_lbs","au_ounces","ag_ounces","fe_ore_lt","mn_lbs","u_lbs","v_lbs","mos2_lbs","wo3_lbs","be_lbs","comments","dollar_value","reference1","reference2","importance","county","organized","productive"
"3","Main Tintic",,"34","Very Large","Ag Au Pb","* 13,437,139","* 220,794,438","* 1,286,704,541","* 138,045,003","* 2,150,383","* 197,397,184",,"0.0","0.0","0.0","0.0","0.0","0.0",,"7078509410","Krahulec and Briggs, 2006","Doelling and Tooker, 1983","Very High","Juab","1870","1869-1965"
"8","Spor Mountain",,"21","Very Large","Be","* 3,325,952","0.0","0.0","0.0","0.0","0.0","0.0","0.0","* 425,957","* 45","0.0","0.0",,"225,000 tons fluorite","2075109458","Foley and others, 2010","Bullock, 1976","Very High","Juab","1944","1944-2013"
"22","Drum Mountain","Detroit","37","Large","Au Mn","* 3,775,101","* 995,658","* 6,000","0.0","* 93,894","* 53,000",,,"0.0","0.0","0.0","0.0","0.0","32,000 lbs Bi and 4500 tons halloysite","134793697","Stowe, 1975","Crittenden and others, 1961","Very High","Millard-Juab","1879","1872-2000"
"38","Fish Springs",,"38","Significant","Ag Pb","* 20,303","* 5,366","* 17,846,000","* 2,800","* 502","* 2,718,762","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,"57321726","Stowe, 1975","Lindsey and others, 1989","Very High","Juab","1891","1891-1961"
"44","Southwest Tintic",,"33","Significant","Ag Au Pb","* 122,000","* 1,170,000","* 8,320,000","* 230,000","* 12,025","* 1,440,370","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,"44654680","Krahulec and Briggs, 2006","Doelling and Tooker, 1983","Very High","Juab","1869","1869-1919"
"45","North Tintic",,"34","Significant","Zn Pb","* 63,939","* 3,301","* 12,162,000","* 21,308,000","* 8","* 40,412","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,"33596371","Krahulec and Briggs, 2006","Doelling and Tooker, 1983","Moderate","Utah-Tooele-Juab","1891","1902-1955"
"64","Spring Creek",,"20","Modest","Au","* 10,057","* 2,063","* 9,473","0.0","* 5,157","* 15,584","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,"5391251","Butler and others, 1920","Thomson, 1970","Moderate","Juab","1891","1902-1915"
"70","West Tintic",,"38","Modest","Pb Au Ag W","* 4,235","* 10,556","* 1,450,967","* 5,175","* 1,199","* 35,159",,"0.0","0.0","0.0","0.0",,"0.0",,"3579089","Butler and others, 1920","Everett, 1961; Heyl, 1963","High","Juab","1870","1902-1917"
"72","Mount Nebo",,"32","Modest","Pb Zn Ag","* 4,065","* 1,526","* 1,932,683","* 788,679","* 15","* 37,226","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,"3319594","Butler and others, 1920","Doelling and Tooker, 1983","Low","Juab","1870","1870-1917"
"96","Crater Bench","Baker Hot Spring, Abraham","1","Small","Mn","* 715","0.0","0.0","0.0","0.0","0.0","0.0",,"0.0","0.0","0.0","0.0","0.0",,"216854","Crittenden, 1951","Doelling and Tooker, 1983","High","Juab",,
"118","Trout Creek",,"19","Minor","Zn Ag","* 93","0.0","* 2,800","* 29,000","0.0","* 225","0.0","0.0","0.0","0.0","0.0",,"0.0",,"35526","Perry and McCarthy, 1977","Doelling and Tooker, 1983","Moderate","Juab",,"1942-1943"
"127","Desert Mountain",,"32","Minor","Ag Cu","* 200","* 1,000","* 10","0.0","0.0","* 800","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,"14210","Rees and others, 1973","Doelling and Tooker, 1983","High","Juab","1879",
"151","Pope",,"34","Insignificant",,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Pb-Ag prospects","0.0","Murphy, 1872",,"Low","Juab","1871","Minor"
"166","Honeycomb Hills",,"4","No Production",,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Be, REE prospects","0.0","Montoya, 1964","Doelling and Tooker, 1983","Low","Juab",,"None"
"171","Keg Mountain",,"36","No Production",,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Cu, Pb, Ag, Au prospects","0.0","Shubat, 1987",,"Moderate","Juab",,"None"
"181","Sand Pass",,"38","No Production",,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Au-Ag prospects","0.0","Chidsey, 1978",,"High","Juab-Millard",,"None"
