"area_name","periodyear","month","labor_force","employment","unemployment","unemployment_rate"
"Summit","2015","June","22907","22181","726","3.2"
"Summit","2015","May","22848","22120","728","3.2"
"Summit","2015","April","22810","22077","733","3.2"
"Summit","2015","March","22660","21904","756","3.3"
"Summit","2015","February","22517","21823","694","3.1"
"Summit","2015","January","22555","21864","691","3.1"
"Summit","2014","Annual Average","22608","21849","759","3.4"
"Summit","2014","December","22605","21904","701","3.1"
"Summit","2014","November","22676","21964","712","3.1"
"Summit","2014","October","22732","22007","725","3.2"
"Summit","2014","September","22754","22018","736","3.2"
"Summit","2014","August","22749","22003","746","3.3"
"Summit","2014","July","22725","21971","754","3.3"
"Summit","2014","June","22684","21922","762","3.4"
"Summit","2014","May","22623","21852","771","3.4"
"Summit","2014","April","22551","21767","784","3.5"
"Summit","2014","March","22480","21679","801","3.6"
"Summit","2014","February","22411","21593","818","3.6"
"Summit","2014","January","22340","21505","835","3.7"
"Summit","2013","Annual Average","22102","21166","936","4.2"
"Summit","2013","December","22266","21416","850","3.8"
"Summit","2013","November","22216","21351","865","3.9"
"Summit","2013","October","22218","21338","880","4.0"
"Summit","2013","September","22259","21362","897","4.0"
"Summit","2013","August","22281","21365","916","4.1"
"Summit","2013","July","22240","21304","936","4.2"
"Summit","2013","June","22141","21187","954","4.3"
"Summit","2013","May","22029","21059","970","4.4"
"Summit","2013","April","21943","20958","985","4.5"
"Summit","2013","March","21909","20909","1000","4.6"
"Summit","2013","February","21939","20923","1016","4.6"
"Summit","2013","January","21984","20953","1031","4.7"
"Summit","2012","Annual Average","21547","20480","1067","5.0"
"Summit","2012","December","21983","20941","1042","4.7"
"Summit","2012","November","21897","20849","1048","4.8"
"Summit","2012","October","21737","20688","1049","4.8"
"Summit","2012","September","21577","20529","1048","4.9"
"Summit","2012","August","21452","20407","1045","4.9"
"Summit","2012","July","21356","20309","1047","4.9"
"Summit","2012","June","21279","20225","1054","5.0"
"Summit","2012","May","21241","20175","1066","5.0"
"Summit","2012","April","21292","20213","1079","5.1"
"Summit","2012","March","21413","20320","1093","5.1"
"Summit","2012","February","21487","20382","1105","5.1"
"Summit","2012","January","21432","20312","1120","5.2"
"Summit","2011","Annual Average","21218","19923","1295","6.1"
"Summit","2011","December","21275","20135","1140","5.4"
"Summit","2011","November","21125","19959","1166","5.5"
"Summit","2011","October","21033","19839","1194","5.7"
"Summit","2011","September","20969","19746","1223","5.8"
"Summit","2011","August","20898","19649","1249","6.0"
"Summit","2011","July","20838","19566","1272","6.1"
"Summit","2011","June","20874","19583","1291","6.2"
"Summit","2011","May","21081","19770","1311","6.2"
"Summit","2011","April","21379","20042","1337","6.3"
"Summit","2011","March","21643","20273","1370","6.3"
"Summit","2011","February","21729","20320","1409","6.5"
"Summit","2011","January","21581","20132","1449","6.7"
"Summit","2010","Annual Average","20857","19313","1544","7.4"
"Summit","2010","December","21264","19777","1487","7.0"
"Summit","2010","November","20921","19402","1519","7.3"
"Summit","2010","October","20668","19127","1541","7.5"
"Summit","2010","September","20508","18955","1553","7.6"
"Summit","2010","August","20398","18841","1557","7.6"
"Summit","2010","July","20358","18803","1555","7.6"
"Summit","2010","June","20438","18889","1549","7.6"
"Summit","2010","May","20688","19147","1541","7.4"
"Summit","2010","April","21056","19525","1531","7.3"
"Summit","2010","March","21426","19899","1527","7.1"
"Summit","2010","February","21730","20194","1536","7.1"
"Summit","2010","January","22001","20443","1558","7.1"
"Summit","2009","Annual Average","22210","20658","1552","7.0"
"Summit","2009","December","22289","20700","1589","7.1"
"Summit","2009","November","22549","20928","1621","7.2"
"Summit","2009","October","22698","21053","1645","7.2"
"Summit","2009","September","22737","21083","1654","7.3"
"Summit","2009","August","22721","21077","1644","7.2"
"Summit","2009","July","22672","21055","1617","7.1"
"Summit","2009","June","22557","20979","1578","7.0"
"Summit","2009","May","22326","20799","1527","6.8"
"Summit","2009","April","22011","20548","1463","6.6"
"Summit","2009","March","21709","20327","1382","6.4"
"Summit","2009","February","21569","20284","1285","6.0"
"Summit","2009","January","21664","20488","1176","5.4"
"Summit","2008","Annual Average","22102","21372","730","3.3"
"Summit","2008","December","21933","20869","1064","4.9"
"Summit","2008","November","22242","21283","959","4.3"
"Summit","2008","October","22460","21591","869","3.9"
"Summit","2008","September","22520","21723","797","3.5"
"Summit","2008","August","22461","21717","744","3.3"
"Summit","2008","July","22364","21659","705","3.2"
"Summit","2008","June","22279","21604","675","3.0"
"Summit","2008","May","22176","21523","653","2.9"
"Summit","2008","April","22047","21410","637","2.9"
"Summit","2008","March","21910","21286","624","2.8"
"Summit","2008","February","21822","21206","616","2.8"
"Summit","2008","January","21819","21210","609","2.8"
"Summit","2007","Annual Average","21785","21243","542","2.5"
"Summit","2007","December","21891","21291","600","2.7"
"Summit","2007","November","21983","21394","589","2.7"
"Summit","2007","October","22044","21469","575","2.6"
"Summit","2007","September","22048","21487","561","2.5"
"Summit","2007","August","21998","21451","547","2.5"
"Summit","2007","July","21918","21383","535","2.4"
"Summit","2007","June","21830","21304","526","2.4"
"Summit","2007","May","21735","21216","519","2.4"
"Summit","2007","April","21643","21129","514","2.4"
"Summit","2007","March","21600","21088","512","2.4"
"Summit","2007","February","21640","21128","512","2.4"
"Summit","2007","January","21752","21239","513","2.4"
"Summit","2006","Annual Average","21768","21143","625","2.9"
"Summit","2006","December","21884","21364","520","2.4"
"Summit","2006","November","21971","21439","532","2.4"
"Summit","2006","October","21991","21441","550","2.5"
"Summit","2006","September","21953","21379","574","2.6"
"Summit","2006","August","21897","21296","601","2.7"
"Summit","2006","July","21842","21216","626","2.9"
"Summit","2006","June","21783","21135","648","3.0"
"Summit","2006","May","21715","21052","663","3.1"
"Summit","2006","April","21628","20952","676","3.1"
"Summit","2006","March","21553","20862","691","3.2"
"Summit","2006","February","21528","20817","711","3.3"
"Summit","2006","January","21564","20827","737","3.4"
"Summit","2005","Annual Average","21457","20604","853","4.0"
"Summit","2005","December","21636","20869","767","3.5"
"Summit","2005","November","21694","20899","795","3.7"
"Summit","2005","October","21709","20894","815","3.8"
"Summit","2005","September","21676","20848","828","3.8"
"Summit","2005","August","21615","20781","834","3.9"
"Summit","2005","July","21546","20708","838","3.9"
"Summit","2005","June","21460","20614","846","3.9"
"Summit","2005","May","21366","20506","860","4.0"
"Summit","2005","April","21276","20398","878","4.1"
"Summit","2005","March","21180","20284","896","4.2"
"Summit","2005","February","21069","20155","914","4.3"
"Summit","2005","January","20943","20013","930","4.4"
"Summit","2004","Annual Average","20464","19401","1063","5.2"
"Summit","2004","December","20824","19879","945","4.5"
"Summit","2004","November","20731","19768","963","4.6"
"Summit","2004","October","20660","19676","984","4.8"
"Summit","2004","September","20607","19599","1008","4.9"
"Summit","2004","August","20555","19522","1033","5.0"
"Summit","2004","July","20506","19446","1060","5.2"
"Summit","2004","June","20459","19375","1084","5.3"
"Summit","2004","May","20412","19308","1104","5.4"
"Summit","2004","April","20351","19230","1121","5.5"
"Summit","2004","March","20272","19139","1133","5.6"
"Summit","2004","February","20190","19047","1143","5.7"
"Summit","2004","January","20127","18974","1153","5.7"
"Summit","2003","Annual Average","19879","18653","1226","6.2"
"Summit","2003","December","20078","18913","1165","5.8"
"Summit","2003","November","20044","18865","1179","5.9"
"Summit","2003","October","20018","18825","1193","6.0"
"Summit","2003","September","19994","18787","1207","6.0"
"Summit","2003","August","19978","18760","1218","6.1"
"Summit","2003","July","19971","18745","1226","6.1"
"Summit","2003","June","19946","18715","1231","6.2"
"Summit","2003","May","19883","18648","1235","6.2"
"Summit","2003","April","19791","18552","1239","6.3"
"Summit","2003","March","19690","18444","1246","6.3"
"Summit","2003","February","19605","18349","1256","6.4"
"Summit","2003","January","19556","18288","1268","6.5"
"Summit","2002","Annual Average","19446","18173","1273","6.5"
"Summit","2002","December","19545","18265","1280","6.5"
"Summit","2002","November","19558","18267","1291","6.6"
"Summit","2002","October","19579","18282","1297","6.6"
"Summit","2002","September","19586","18287","1299","6.6"
"Summit","2002","August","19583","18286","1297","6.6"
"Summit","2002","July","19563","18271","1292","6.6"
"Summit","2002","June","19523","18237","1286","6.6"
"Summit","2002","May","19453","18172","1281","6.6"
"Summit","2002","April","19377","18100","1277","6.6"
"Summit","2002","March","19311","18039","1272","6.6"
"Summit","2002","February","19264","18002","1262","6.6"
"Summit","2002","January","19238","17999","1239","6.4"
"Summit","2001","Annual Average","18879","18001","878","4.7"
"Summit","2001","December","19219","18021","1198","6.2"
"Summit","2001","November","19178","18040","1138","5.9"
"Summit","2001","October","19132","18066","1066","5.6"
"Summit","2001","September","19112","18125","987","5.2"
"Summit","2001","August","19112","18201","911","4.8"
"Summit","2001","July","19101","18252","849","4.4"
"Summit","2001","June","19037","18234","803","4.2"
"Summit","2001","May","18869","18097","772","4.1"
"Summit","2001","April","18613","17864","749","4.0"
"Summit","2001","March","18373","17642","731","4.0"
"Summit","2001","February","18267","17554","713","3.9"
"Summit","2001","January","18348","17651","697","3.8"
"Summit","2000","Annual Average","18262","17627","635","3.5"
"Summit","2000","December","18551","17869","682","3.7"
"Summit","2000","November","18748","18079","669","3.6"
"Summit","2000","October","18824","18165","659","3.5"
"Summit","2000","September","18798","18145","653","3.5"
"Summit","2000","August","18738","18091","647","3.5"
"Summit","2000","July","18667","18028","639","3.4"
"Summit","2000","June","18530","17900","630","3.4"
"Summit","2000","May","18275","17655","620","3.4"
"Summit","2000","April","17893","17281","612","3.4"
"Summit","2000","March","17402","16796","606","3.5"
"Summit","2000","February","16843","16239","604","3.6"
"Summit","2000","January","16234","15627","607","3.7"
"Summit","1999","Annual Average","14700","14021","679","4.6"
"Summit","1999","December","15614","14996","618","4.0"
"Summit","1999","November","15089","14452","637","4.2"
"Summit","1999","October","14746","14086","660","4.5"
"Summit","1999","September","14578","13893","685","4.7"
"Summit","1999","August","14503","13799","704","4.9"
"Summit","1999","July","14477","13763","714","4.9"
"Summit","1999","June","14493","13781","712","4.9"
"Summit","1999","May","14546","13844","702","4.8"
"Summit","1999","April","14628","13941","687","4.7"
"Summit","1999","March","14705","14034","671","4.6"
"Summit","1999","February","14722","14065","657","4.5"
"Summit","1999","January","14653","14009","644","4.4"
"Summit","1998","Annual Average","14170","13546","624","4.4"
"Summit","1998","December","14533","13900","633","4.4"
"Summit","1998","November","14397","13773","624","4.3"
"Summit","1998","October","14277","13658","619","4.3"
"Summit","1998","September","14178","13560","618","4.4"
