"rank","district","synonym","age_ma","extent","commodity","tons","cu_lbs","pb_lbs","zn_lbs","au_ounces","ag_ounces","fe_ore_lt","mn_lbs","u_lbs","v_lbs","mos2_lbs","wo3_lbs","be_lbs","comments","dollar_value","reference1","reference2","importance","county","organized","productive"
"107","Paria West",,"0","Small","Mn","* 191","0.0","0.0","0.0","0.0","0.0","0.0",,"0.0","0.0","0.0","0.0","0.0",,"114600","Doelling and Davis, 1989","Doelling and Tooker, 1983","Low","Kane",,
"119","Orderville Gulch",,"0","Minor","U V","* 288","0.0","0.0","0.0","0.0","0.0","0.0","0.0","* 689","* 1,269","0.0","0.0","0.0",,"35174","AEC, 1948-1970",,"Low","Kane",,"to 1970"
"133","Paria East",,"0","Insignificant","U","* 142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","* 173","0.0","0.0","0.0","0.0",,"6920","AEC, 1948-1970",,"Low","Kane",,"to 1970"
"145","Cannonville",,"0","Insignificant","Pb","0.0","0.0","* 850","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,"892","Doelling and Davis, 1989",,"Low","Kane",,"1930s"
"170","Kaiparowits Plateau",,"0","No Production",,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Ti, Zr, Th, Fe, and U prospects","0.0","Doelling and Tooker, 1983",,"Moderate","Kane-Garfield",,"None"
