"fiscal_year","tax_collections","real_tax_collections","real_per_capita","passenger_car","motor_cycle","for_hire_up_to_6001_lbs","for_hire_up_to_12001_lbs","trailers_up_to_750_lbs","trailers_750_lbs","dealer_plates","farm_trucks_6000_lbs"
"1934","871647","6704977","12.92","5.00",,,,,,,
"1935","983675","7340858","14.06","5.00",,,,,,,
"1936","892202","6512423","12.43","5.00",,,,,,,
"1937","909192","6540950","12.41","5.00",,,,,,,
"1938","1043458","7246236","13.72","5.00",,,,,,,
"1939","1066290","7562340","13.93","5.00",,,,,,,
"1940","1098199","7900712","14.55","5.00",,,,,,,
"1941","1178495","8417821","15.26","5.00",,,,,,,
"1942","1228320","8355918","15.17","5.00",,,,,,,
"1943","1317668","8083853","14.15","5.00",,,,,,,
"1944","1297551","7500295","11.72","5.00",,,,,,,
"1945","1363880","7749318","12.82","5.00",,,,,,,
"1946","1498420","8324556","14.13","5.00",,,,,,,
"1947","1788619","9172405","14.38","5.00",,,,,,,
"1948","2012307","9023798","14.19","5.00",,,,,,,
"1949","2187885","9078361","13.90","5.00",,,,,,,
"1950","2362644","9927076","14.80","5.00",,,,,,,
"1951","2637438","10943726","15.73","5.00",,,,,,,
"1952","2743335","10551288","14.94","5.00",,,,,,,
"1953","2885544","10888845","15.04","5.00",,,,,,,
"1954","3126251","11708805","15.84","5.00",,,,,,,
"1955","3704610","13771784","18.35","5.00",,,,,,,
"1956","3747733","13984078","17.86","5.00",,,,,,,
"1957","3955798","14543375","17.98","5.00",,,,,,,
"1958","4027750","14333630","17.35","5.00",,,,,,,
"1959","4314429","14928820","17.66","5.00",,,,,,,
"1960","4562989","15653479","17.99","5.00",,,,,,,
"1961","4702246","15894021","17.66","5.00",,,,,,,
"1962","4966786","16610399","17.75","5.00",,,,,,,
"1963","5152761","17032044","17.78","5.00",,,,,,,
"1964","5363321","17508121","17.98","5.00",,,,,,,
"1965","5509799","17751594","18.15","5.00",,,,,,,
"1966","5728571","18169597","18.33","5.00","2.50","7.50",,"2.50","5.00","3.00",
"1967","5883780","18120200","17.96","5.00","2.50","7.50",,"2.50","5.00","3.00",
"1968","6122166","18343569","18.00","5.00","2.50","7.50",,"2.50","5.00","3.00",
"1969","6467360","18588819","18.06","5.00","2.50","7.50",,"2.50","5.00","5.00",
"1970","6794631","18522393","17.69","5.00","2.50","7.50",,"2.50","5.00","5.00",
"1971","7215915","18577769","17.43","5.00","2.50","7.50",,"2.50","5.00","5.00",
"1972","8112040","20037974","18.20","6.00","3.00","8.50",,"3.00","5.50","5.50","8.50"
"1973","8991819","21507241","18.95","6.00","3.00","8.50",,"3.00","5.50","5.50","8.50"
"1974","10488809","23610150","20.20","6.00","3.00","8.50",,"3.00","5.50","5.50","8.50"
"1975","8903180","18053086","15.08","6.00","3.00","8.50",,"3.00","5.00","5.50","8.50"
"1976","8915066","16563058","13.42","6.00","3.00","8.50",,"3.00","5.00","5.50","8.50"
"1977","9254984","16255827","12.78","6.00","3.00","8.50",,"3.50","5.50","5.50","8.50"
"1978","9831086","16218454","12.32","6.00","3.00","8.50",,"3.50","5.50","5.50","8.50"
"1979","10335951","15842561","11.62","6.00","3.00","8.50",,"3.50","5.50","5.50","8.50"
"1980","10356159","14267957","10.08","10.00","7.50","12.50",,"5.50","8.00","NA","12.50"
"1981","10329209","12537984","8.51","10.00","7.50","12.50",,"5.50","8.00","NA","12.50"
"1982","10795624","11872021","7.84","10.00","7.50","12.50",,"5.50","8.00","NA","12.50"
"1983","16512357","17105342","10.98","10.00","7.50","22.50","45.00","7.50","10.00","NA","19.83"
"1984","17229087","17301175","10.85","10.00","7.50","22.50","45.00","7.50","10.00","NA","19.83"
"1985","17537808","16874094","10.40","10.00","7.50","22.50","45.00","7.50","10.00","NA","19.83"
"1986","18103762","16825058","10.24","10.00","7.50","22.50","45.00","7.50","10.00","NA","19.83"
"1987","17925818","16342005","9.83","10.00","7.50","22.50","45.00","7.50","10.00","NA","19.83"
"1988","17583916","15476529","9.22","10.00","7.50","22.50","45.00","7.50","10.00","NA","19.83"
"1989","17419327","14727818","8.71","10.00","7.50","22.50","45.00","7.50","10.00","NA","19.83"
"1990","17741079","14314056","8.39","10.00","7.50","22.50","45.00","7.50","10.00","NA","19.83"
"1991","18118819","13867328","8.02","10.00","7.50","22.50","45.00","7.50","10.00","NA","19.83"
"1992","19302541","14175673","7.96","10.00","7.50","22.50","45.00","7.50","10.00","NA","19.83"
"1993","19678781","14025383","7.63","11.00","7.50","11.00","45.00","7.50","10.00","NA","11.00"
"1994","20986808","14526256","7.69","11.00","7.50","11.00","45.00","7.50","10.00","NA","11.00"
"1995","21822791","14722747","7.56","11.00","7.50","11.00","45.00","7.50","10.00","NA","11.00"
"1996","22610401","14837844","7.44","11.00","7.50","11.00","45.00","7.50","10.00","NA","11.00"
"1997","24037396","15324271","7.50","11.00","7.50","11.00","45.00","7.50","10.00","NA","11.00"
"1998","25489629","15878915","7.56","21.00","22.50","21.00","49.50","8.50","11.00","11.50","21.00"
"1999","24885974","15266688","7.13","21.00","22.50","21.00","49.50","8.50","11.00","11.50","21.00"
"2000","25848268","15516719","7.08","21.00","22.50","21.00","49.50","8.50","11.00","11.50","21.00"
"2001","25935355","15061911","6.70","21.00","22.50","21.00","49.50","8.50","11.00","11.50","21.00"
"2002","27378255","15464300","6.71","21.00","22.50","21.00","49.50","8.50","11.00","11.50","21.00"
,"28358991","15766674","6.69","21.00","22.50","21.00","49.50","8.50","11.00","11.50","21.00"
"2004","29390563","15973132","6.62","21.00","22.50","21.00","49.50","8.50","11.00","11.50","21.00"
"2005","30689653","16245791","6.58","21.00","22.50","21.00","49.50","8.50","11.00","11.50","21.00"
"2006","32579496","16684617","6.55","21.00","22.50","21.00","49.50","8.50","11.00","11.50","21.00"
"2007","34292547","17014412","6.51","21.00","22.50","21.00","49.50","8.50","11.00","11.50","21.00"
"2008","35365683","17057232","6.32","21.00","22.50","21.00","49.50","8.50","11.00","11.50","21.00"
"2009","34917295","16221966","5.88","21.00","22.50","21.00","49.50","8.50","11.00","11.50","21.00"
"2010",,,,"41.00","42.50","41.00","69.50","28.50","31.00","12.00","41.00"
