"constituent_name","website","location_1"
"Spring City Arts","http://www.springcityarts.com/","
Spring City, Utah 
(39.480242856000075, -111.49606613099996)"
"Sevier County Arts",,"
Richfield, Utah 
(38.771551171000056, -112.08477606299999)"
"Pakistani American Arts Council","http://www.nowplayingutah.com/org/detail/220116587/Pakistani_American_Arts_Cou ncil","
Salt Lake City, Utah 
(40.65968998000005, -111.91300138699995)"
"Mendon Arts Council","http://www.nowplayingutah.com/org/detail/220009749/Mendon_Arts_Council","
Mendon, Utah 
(41.70791206400003, -111.97788702799994)"
"Davis Arts Council","http://www.davisarts.org/dac/Default2.aspx","
Layton, Utah 
(41.06593322100008, -111.96101987299994)"
"Escalante Canyons Group For Arts & Humanities","http://www.nowplayingutah.com/org/detail/220116544/Escalante_Canyons_Group_Fo r_Arts_Humanities","
Escalante, Utah 
(37.77033394400007, -111.60051889799996)"
"Hurricane City Fine Arts",,"
Hurricane, Utah 
(37.177013774000045, -113.28486922499997)"
"Utah Arts Alliance","http://utaharts.org/","
Salt Lake City, Utah 
(40.65968998000005, -111.91300138699995)"
"West Jordan Arts Council","http://www.wjordan.com/government.aspx?pgID=2.3.1","
West Jordan, Utah 
(40.60740357900005, -111.93875558499997)"
"Manti Arts Council","http://www.nowplayingutah.com/org/detail/220009412/Manti_Arts_Council","
Manti, Utah 
(39.26470427100003, -111.63701845999998)"
"Cache Valley Center for the Arts","http://www.cachearts.org/","
Logan, Utah 
(41.73618255400004, -111.83484964399997)"
"Park City Summit County Arts Council","http://www.pcscarts.org/","
Park City, Utah 
(40.64314291900007, -111.49396773899997)"
"West Valley City Cultural Arts Board","http://www.wvc-ut.gov/index.aspx?NID=959","
West Valley City, Utah 
(40.694202295000025, -111.95788562299998)"
"Weber County Arts Council","http://www.weberarts.org/","
Ogden, Utah 
(41.22236118700005, -111.97047597199997)"
"Draper Arts Council","http://www.draperartscouncil.org/","
Draper, Utah 
(40.52414367600005, -111.86626772099999)"
"Orem Arts Council","http://arts.orem.org/","
Orem, Utah 
(40.29876221300003, -111.69571562499999)"
"Ogden City Arts","http://ogdencityarts.org/","
Ogden, Utah 
(41.22236118700005, -111.97047597199997)"
"Boulder Arts Council","http://www.boulderartscouncil.com/","
Boulder, Utah 
(37.907840821000036, -111.42426735699996)"
"Duchesne Arts Council","http://duchesneartscouncil.com/","
Duchesne, Utah 
(40.16366048400005, -110.40135934199998)"
"Murray City Cultural Arts","http://www.murray.utah.gov/index.aspx?NID=213","
Murray, Utah 
(40.662112911000065, -111.88831861399996)"
"Spanish Fork Arts Council","www.spanishfork.org/dept/parkrec/arts","
Spanish Fork, Utah 
(40.10915121000005, -111.65478810099995)"
"Pleasant Grove Arts Commission","http://plgrove.org/arts-commission-home","
Pleasant Grove, Utah 
(40.36320328000005, -111.73884823799995)"
