"location_code","street_address","city","state_cd","zipcode5","year_built","congressional_district_code","bld_vacant_rsf","building_rsf","building_status","owned_or_leased_indicator","latitude","longitude","region_code","occupancy_right_code","occupancy_right_desc","geocoded_column"
"UT1522","178 S RIO GRANDE ST","SALT LAKE CITY","UT","84101",,"4902","0.00","45322.00","Active","L","40.7656495","-111.9041371","8","2","Leased","POINT (-111.904093 40.765544)"
"UT0010","507 25TH ST","OGDEN","UT","84401","1933-01-01T00:00:00.000","4901","11774.19","46680.46","Active","F","41.2204600","-111.9671810","8","1","Federally Owned","POINT (-111.967179 41.220606)"
"UT0036","1160 W 1200 S","OGDEN","UT","84404","1966-01-01T00:00:00.000","4901","0.00","493219.25","Active","F","41.2784448","-112.0084251","8","1","Federally Owned","POINT (-112.009519 41.245311)"
"UT1358","176 N 2200 W","SALT LAKE CITY","UT","84116",,"4902","0.00","3119.00","Active","L","40.7731200","-111.9531810","8","2","Leased","POINT (-111.953514 40.77328)"
"UT1498","3421 MIKE JENSE PKWY","PROVO","UT","84601","2001-01-01T00:00:00.000","4903","0.00","661.00","Active","L","40.2193100","-111.7185110","8","2","Leased","POINT (-111.717584 40.219801)"
"UT1472","20 N MAIN ST","ST GEORGE","UT","84770","2005-08-01T00:00:00.000","4902","0.00","8136.00","Active","L","37.1086400","-113.5829910","8","2","Leased","POINT (-113.58328 37.108497)"
"UT1411","2487 S 1620 W","OGDEN","UT","84401",,"4901","0.00","5400.00","Active","L","41.2205300","-112.0187410","8","2","Leased","POINT (-112.018562 41.220541)"
"UT1456","440 W 200 S","SALT LAKE CITY","UT","84101",,"4902","0.00","18715.00","Active","L","40.7652400","-111.9034010","8","2","Leased","POINT (-111.903402 40.765061)"
"UT1412","389 INDUSTRIAL RD","ST GEORGE","UT","84770",,"4902","0.00","5020.00","Active","L","37.1142400","-113.5610710","8","2","Leased","POINT (-113.560563 37.11419)"
"UT1494","310 E 4500 S","SALT LAKE CITY","UT","84107","1985-01-01T00:00:00.000","4904","0.00","2009.00","Active","L","40.6740400","-111.8819910","8","2","Leased","POINT (-111.881818 40.674334)"
"UT1367","611 N 1300 E","ST GEORGE","UT","84770",,"4902","0.00","750.00","Active","L","37.1185800","-113.5570610","8","2","Leased","POINT (-113.556477 37.118589)"
"UT1393","317 S MAIN ST","MONTICELLO","UT","84535",,"4903","0.00","1955.00","Active","L","37.8678700","-109.3427910","8","2","Leased","POINT (-109.34292 37.86791)"
"UT1483","91 W 1470 S","ST GEORGE","UT","84770","2000-06-01T00:00:00.000","4902","0.00","6072.00","Active","L","37.0830200","-113.5857410","8","2","Leased","POINT (-113.585625 37.083275)"
"UT1501","65 S 100 E","RICHFIELD","UT","84701","1970-06-01T00:00:00.000","4902","0.00","782.00","Active","L","38.7672500","-112.0825510","8","2","Leased","POINT (-112.082901 38.767839)"
"UT1532","491 N. JOHN GLENN ROAD","SALT LAKE CITY","UT","84116",,"0","0.00","0.00","Pending","L",,,"8","2","Leased","POINT (-112.036204 40.779374)"
"UT1429","1380 S 2350 W","VERNAL","UT","84078",,"4901","0.00","8604.00","Active","L","40.4355000","-109.5725410","8","2","Leased","POINT (-109.572873 40.435504)"
"UT1509","475 W 10200 S","SOUTH JORDAN","UT","84095",,"4904","0.00","10000.00","Active","L","40.5659818","-111.9047733","8","2","Leased","POINT (-111.905035 40.566051)"
"UT0014","88 W 100 N","PROVO","UT","84601","1938-01-01T00:00:00.000","4903","7987.05","26535.80","Active","F","40.2353500","-111.6600610","8","1","Federally Owned","POINT (-111.660492 40.23447)"
"UT1528","798 TECHNOLOGY AVE","OREM","UT","84097","1992-07-22T00:00:00.000","4903","0.00","7618.00","Active","L","40.3239250","-111.6782050","8","2","Leased","POINT (-111.676824 40.323184)"
"UT0042","196 E TABERNACLE ST","ST GEORGE","UT","84770","1967-01-01T00:00:00.000","4902","1605.33","9884.97","Active","F","37.1078700","-113.5796710","8","1","Federally Owned","POINT (-113.579669 37.108186)"
"UT1507","5416 AMELIA EARHART DR","SALT LAKE CITY","UT","84116",,"4902","0.00","25566.00","Active","L","40.7768000","-112.0206310","8","2","Leased","POINT (-112.021086 40.77641)"
"UT1428","2262 WALL AVENUE","OGDEN","UT","84401",,"4901","0.00","135206.00","Active","L","41.2263021","-111.9790904","8","2","Leased","POINT (-111.978736 41.226353)"
"UT1457","405 S MAIN ST","SALT LAKE CITY","UT","84111",,"4902","0.00","10095.50","Active","L","40.7603500","-111.8907710","8","2","Leased","POINT (-111.890978 40.760232)"
"UT1523","7991 S REDWOOD RD","WEST JORDAN","UT","84088",,"4904","0.00","3357.00","Active","L","40.6061708","-111.9387144","8","2","Leased","POINT (-111.93876 40.607604)"
"UT1399","134 N 200 E","ST GEORGE","UT","84770",,"4902","0.00","3062.00","Active","L","37.1104900","-113.5787710","8","2","Leased","POINT (-113.579037 37.110558)"
"UT1434","105 23RD ST","OGDEN","UT","84401",,"4901","0.00","102579.00","Active","L","41.2248100","-111.9783510","8","2","Leased","POINT (-111.977863 41.224944)"
"UT1514","125 S 600 W","PRICE","UT","84501",,"4903","0.00","19011.44","Active","L","39.5985400","-110.8197710","8","2","Leased","POINT (-110.820195 39.598847)"
"UT1353","2520 W 4700 SOUTH, STE 9A","TAYLORSVILLE","UT","84118",,"4904","0.00","5377.00","Active","L","40.6677851","-111.9534277","8","2","Leased","POINT (-111.954577 40.667672)"
"UT1495","2069 N MAIN ST","CEDAR CITY","UT","84721",,"4902","0.00","1433.00","Active","L","37.7151300","-113.0613610","8","2","Leased","POINT (-113.060205 37.714922)"
"UT1531","2242 W NORTH TEMPLE","SALT LAKE CITY","UT","84116",,"4902","0.00","0.00","Active","L","40.7715150","-111.9545770","8","2","Leased","POINT (-111.954216 40.771484)"
"UT1366","5500 AMELIA EARHART DR","SALT LAKE CITY","UT","84116",,"4902","0.00","2880.00","Active","L","40.7765600","-112.0239310","8","2","Leased","POINT (-112.024284 40.776416)"
"UT1467","1869 NORTH 100 EAST","NORTH LOGAN","UT","84341","1985-07-01T00:00:00.000","4901","0.00","7500.00","Active","L","41.7666400","-111.8289100","8","2","Leased","POINT (-111.831173 41.765943)"
"UT1526","365 W BUGATTI DR","SOUTH SALT LAKE","UT","84115","1985-06-03T00:00:00.000","4904","0.00","6600.00","Active","L","40.7210800","-111.9017610","8","2","Leased","POINT (-111.901693 40.721635)"
"UT0017","350 S MAIN ST","SALT LAKE CITY","UT","84101","1905-01-01T00:00:00.000","4902","138232.62","203606.06","Active","F","40.7614700","-111.8917110","8","1","Federally Owned","POINT (-111.89118 40.761438)"
"UT1433","8660 SANDY PKWY","SANDY","UT","84070",,"4904","0.00","75000.00","Active","L","40.5940900","-111.9066610","8","2","Leased","POINT (-111.904932 40.594288)"
"UT1435","143 23RD ST","OGDEN","UT","84401","2004-01-22T00:00:00.000","4901","10705.00","10705.00","Active","L","41.2248000","-111.9775510","8","2","Leased","POINT (-111.977856 41.224944)"
"UT1480","2987 DECKER LAKE DR","SALT LAKE CITY","UT","84119","2009-09-01T00:00:00.000","4904","0.00","69225.00","Active","L","40.7063833","-111.9474088","8","2","Leased","POINT (-111.945804 40.707618)"
"UT1513","2250 SOUTH 1300 WEST","WEST VALLEY CITY","UT","84119",,"0","0.00","0.00","Pending","L",,,"8","2","Leased","POINT (-111.928857 40.722331)"
"UT1374","245N JIMMY DOOLITTLE RD","SALT LAKE CITY","UT","84116",,"4902","0.00","10768.00","Active","L","40.7737212","-112.0215510","8","2","Leased","POINT (-112.019669 40.773444)"
"UT1409","2369 W ORTON CIR","WEST VALLEY CITY","UT","84119",,"4904","0.00","33207.00","Active","L","40.7187400","-111.9510610","8","2","Leased","POINT (-111.951324 40.719034)"
"UT1476","1125 W 12TH ST","OGDEN","UT","84404","2009-11-27T00:00:00.000","4901","0.00","61153.00","Active","L","41.2426600","-112.0072310","8","2","Leased","POINT (-112.007158 41.244593)"
