"month","_1984","_1985","_1986","_1987","_1988","_1989","_1990","_1991","_1992","_1993","_1994","_1995","_1996","_1997","_1998","_1999","_2000","_2001","_2002","_2003","_2004","_2005","_2006","_2007","_2008","_2009","_2010"
"      January","0.92500000000000004","0.873","0.92200000000000004","0.56499999999999995","0.70199999999999996","0.63400000000000001","0.67600000000000005","0.84099999999999997","0.67400000000000004","0.7","0.59099999999999997","0.67500000000000004","0.7","0.84","0.746","0.51200000000000001","0.85099999999999998","0.91800000000000004","0.67100000000000004","0.94899999999999995","1.097","1.31","1.645","1.738","2.4980000000000002","1.0880000000000001","2.13"
"      February","0.93200000000000005","0.81799999999999995","0.82399999999999995","0.624","0.67300000000000004","0.629","0.67200000000000004","0.72599999999999998","0.64600000000000002","0.71899999999999997","0.58499999999999996","0.66600000000000004","0.70899999999999996","0.86399999999999999","0.64200000000000002","0.56100000000000005","0.92600000000000005","0.93300000000000005","0.65200000000000002","1.125","1.1679999999999999","1.399","1.776","1.6479999999999999","2.4830000000000001","1.1839999999999999","2.2250000000000001"
"      March","0.93400000000000005","0.84199999999999997","0.59299999999999997","0.622","0.64200000000000002","0.65700000000000003","0.69399999999999995","0.64600000000000002","0.66800000000000004","0.71899999999999997","0.59599999999999997","0.68","0.73699999999999999","0.85299999999999998","0.61199999999999999","0.63600000000000001","1.0760000000000001","0.96099999999999997","0.78","1.21","1.3220000000000001","1.538","1.802","1.885","2.6680000000000001","1.2669999999999999","2.3450000000000002"
"      April","0.92400000000000004","0.90500000000000003","0.58499999999999996","0.63900000000000001","0.64","0.79500000000000004","0.70499999999999996","0.70899999999999996","0.71799999999999997","0.73399999999999999","0.6","0.73899999999999999","0.85199999999999998","0.88","0.63800000000000001","0.78300000000000003","1.0920000000000001","1.026","0.92700000000000005","1.163","1.4039999999999999","1.776","1.986","2.2719999999999998","2.831","1.49","2.5579999999999998"
"      May","0.92300000000000004","0.92600000000000005","0.621","0.63300000000000001","0.67900000000000005","0.874","0.68700000000000006","0.754","0.79500000000000004","0.75600000000000001","0.67200000000000004","0.76200000000000001","0.96399999999999997","0.88700000000000001","0.70799999999999996","0.82499999999999996","1.036","1.1399999999999999","0.91100000000000003","1.0589999999999999","1.5189999999999999","1.7789999999999999","2.3929999999999998","2.6779999999999999","3.1709999999999998","1.6870000000000001","2.59"
"      June","0.90700000000000003","0.94499999999999995","0.68799999999999994","0.67500000000000004","0.70199999999999996","0.86","0.76400000000000001","0.745","0.83699999999999997","0.76700000000000002","0.754","0.77300000000000002","0.9","0.874","0.69799999999999995","0.79300000000000004","1.0660000000000001","1.1259999999999999","0.92200000000000004","1.0349999999999999","1.5009999999999999","1.7410000000000001","2.391","2.7130000000000001","3.4940000000000002","2.052","2.4260000000000002"
"      July","0.90900000000000003","0.94099999999999995","0.66300000000000003","0.70899999999999996","0.70299999999999996","0.86199999999999999","0.77600000000000002","0.71899999999999997","0.85799999999999998","0.73299999999999998","0.76200000000000001","0.76100000000000001","0.875","0.82599999999999996","0.69","0.84","1.113","1.0660000000000001","0.96799999999999997","1.1180000000000001","1.415","1.7989999999999999","2.3620000000000001","2.532","3.6419999999999999","2.0579999999999998","2.3540000000000001"
"      August","0.91300000000000003","0.96899999999999997","0.56200000000000006","0.74099999999999999","0.74299999999999999","0.81699999999999995","0.92600000000000005","0.79100000000000004","0.85499999999999998","0.73699999999999999","0.77800000000000002","0.749","0.89100000000000001","0.87","0.67900000000000005","0.92900000000000005","1.1000000000000001","0.97299999999999998","1","1.2310000000000001","1.3959999999999999","1.958","2.4529999999999998","2.2970000000000002","3.5139999999999998","2.1339999999999999","2.4"
"      September","0.92200000000000004","0.95799999999999996","0.55800000000000005","0.72599999999999998","0.753","0.71699999999999997","1.0289999999999999","0.80400000000000005","0.82699999999999996","0.73299999999999998","0.79900000000000004","0.76500000000000001","0.88","0.88200000000000001","0.66600000000000004","0.96099999999999997","1.1399999999999999","1.0529999999999999","0.99","1.2929999999999999","1.379","2.3860000000000001","2.3639999999999999","2.214","3.2349999999999999","2.1459999999999999","2.3929999999999998"
"      October","0.91700000000000004","0.94599999999999995","0.50700000000000001","0.72499999999999998","0.71699999999999997","0.69699999999999995","1.095","0.78500000000000003","0.81","0.73599999999999999","0.77","0.76600000000000001","0.86099999999999999","0.879","0.66300000000000003","0.92700000000000005","1.159","1.0069999999999999","1.0069999999999999","1.1779999999999999","1.4850000000000001","2.246","1.994","2.3180000000000001","2.71","2.085","2.3519999999999999"
"      November","0.90200000000000002","0.94299999999999995","0.55700000000000005","0.71299999999999997","0.66100000000000003","0.70699999999999996","1.069","0.79","0.80100000000000005","0.72","0.73899999999999999","0.745","0.83399999999999996","0.86599999999999999","0.64300000000000002","0.874","1.1180000000000001","0.83899999999999997","0.99299999999999999","1.117","1.504","1.76","1.8029999999999999","2.504","1.5649999999999999","2.1459999999999999","2.3210000000000002"
"      December","0.9","0.94699999999999995","0.55600000000000005","0.70499999999999996","0.629","0.67","0.995","0.78","0.75","0.69699999999999995","0.72","0.71099999999999997","0.81499999999999995","0.84199999999999997","0.54800000000000004","0.89300000000000002","0.99399999999999999","0.68400000000000005","0.93500000000000005","1.077","1.3959999999999999","1.5189999999999999","1.7669999999999999","2.5379999999999998","0.997","2.08","2.3069999999999999"
