"company","mine","coal_field","bed_s","heat_content_btu_lb","sulfur","ash","moisture"
"Canyon Fuel, LLC","Dugout Canyon","Book Cliffs","Gilson","11739","0.7",,
"WEST RIDGE Resources, Inc.","West Ridge","Book Cliffs","Lower Sunnyside","11881","1.2","14.6","6.1"
"CONSOL Energy","Emery","Emery","I","12260",,,
"Canyon Fuel, LLC","Skyline #3","Wasatch","Lower O'Connor 'A'","11600","0.7","9.5","8.6"
"Canyon Fuel, LLC","SUFCO","Wasatch","Upper Hiawatha","10988","0.4","10.8","10.2"
"Energy West Mining Co.","Deer Creek","Wasatch","Hiawatha/Blind Canyon","11366","0.5","13.3","9.1"
"Hidden Splendor Resources, Inc.","Horizon","Wasatch","Hiawatha","11500","0.5","8.0","10.0"
"UtahAmerican Energy, Inc.","Lila Canyon","Book Cliffs","Sunnyside","12107","1.2","8.9","9.2"
