"fiscal_year","fund_type","onshore_offshore","state","county","total"
"2003","State","Onshore","UT","State Total","50614416.24"
"2004","State","Onshore","UT","State Total","69013576.09"
"2005","State","Onshore","UT","State Total","87444534.43"
"2006","State","Onshore","UT","Beaver County","63372.38"
"2006","State","Onshore","UT","Iron County","57.25"
"2006","State","Onshore","UT","Millard County","604.42"
"2006","State","Onshore","UT","State Total","173010678.90"
"2007","State","Onshore","UT","Beaver County","63133.09"
"2007","State","Onshore","UT","Iron County","57.25"
"2007","State","Onshore","UT","Millard County","302.21"
"2007","State","Onshore","UT","State Total","135366165.70"
"2008","State","Onshore","UT","Beaver County","70130.01"
"2008","State","Onshore","UT","Millard County","3976.54"
"2008","State","Onshore","UT","State Total","173765221.20"
"2009","State","Onshore","UT","Beaver County","97471.22"
"2009","State","Onshore","UT","Iron County","15867.00"
"2009","State","Onshore","UT","Juab County","272867.50"
"2009","State","Onshore","UT","Millard County","1924233.35"
"2009","State","Onshore","UT","State Total","128636159.80"
"2010","State","Onshore","UT","Beaver County","106143.36"
"2010","State","Onshore","UT","Iron County","19416.00"
"2010","State","Onshore","UT","Juab County","87976.50"
"2010","State","Onshore","UT","Millard County","61250.87"
"2010","State","Onshore","UT","State Total","142696934.40"
"2011","State","Onshore","UT","Beaver County","79443.10"
"2011","State","Onshore","UT","Iron County","1267.50"
"2011","State","Onshore","UT","Juab County","37913.74"
"2011","State","Onshore","UT","Millard County","44269.11"
"2011","State","Onshore","UT","State Total","149439229.30"
"2012","State","Onshore","UT","Beaver County","77219.88"
"2012","State","Onshore","UT","Iron County","1267.50"
"2012","State","Onshore","UT","Juab County","74910.35"
"2012","State","Onshore","UT","Millard County","39348.35"
"2012","State","Onshore","UT","State Total","164410238.00"
"2013","State","Onshore","UT","Beaver County","74086.89"
"2013","State","Onshore","UT","Iron County","1202.86"
"2013","State","Onshore","UT","Juab County","46643.82"
"2013","State","Onshore","UT","Millard County","37341.58"
"2013","State","Onshore","UT","State Total","138126632.30"
"2014","State","Onshore","UT","Beaver County","103181.68"
"2014","State","Onshore","UT","Iron County","1176.24"
"2014","State","Onshore","UT","Juab County","30635.52"
"2014","State","Onshore","UT","Millard County","37656.00"
"2014","State","Onshore","UT","State Total","170644905.07"
"2015","State","Onshore","UT","Beaver County","140069.51"
"2015","State","Onshore","UT","Iron County","250.47"
"2015","State","Onshore","UT","Juab County","2794.23"
"2015","State","Onshore","UT","Millard County","26261.59"
"2015","State","Onshore","UT","State Total","116197167.49"
"2016","State","Onshore","UT","Beaver County","127561.99"
"2016","State","Onshore","UT","Iron County","172.61"
"2016","State","Onshore","UT","Juab County","663.30"
"2016","State","Onshore","UT","Millard County","22087.54"
"2016","State","Onshore","UT","State Total","67909865.57"
"2017","State","Onshore","UT","Beaver County","105071.92"
"2017","State","Onshore","UT","Iron County","171.58"
"2017","State","Onshore","UT","Juab County","659.34"
"2017","State","Onshore","UT","Millard County","26349.48"
"2017","State","Onshore","UT","State Total","73496260.76"
"2018","State","Onshore","UT","State Total","76015357.68"
"2018","State","Onshore","UT","Beaver County","151694.35"
"2018","State","Onshore","UT","Iron County","172.26"
"2018","State","Onshore","UT","Juab County","661.98"
"2018","State","Onshore","UT","Millard County","24253.35"
"2019","State","Onshore","UT","State Total","71529311.65"
"2019","State","Onshore","UT","Beaver County","146055.19"
"2019","State","Onshore","UT","Iron County","279.84"
"2019","State","Onshore","UT","Juab County","43.56"
"2019","State","Onshore","UT","Millard County","19146.32"
