"project_name","organization","company"
"Project Name","Organization","Company"
"3D Dental Imaging System","Small Business","Turner Innovations"
"Battery Thermal Management","Small Business","Thermal Management Technologies"
"Biodegradable Ocular Implant","UofU","University of Utah - Bioedgradabale Ocular Implant"
"Clean prenatal protein blend","Small Business","Mommi"
"Fast Diagnostics","Licensee","Espira Inc."
"MagneoPot Sensor","Small Business","Spectra Symbol"
"Mapptivities","Small Business","Mapps Lab"
"Memory Care Partner","Small Business","University of Utah - Memory Care Partner"
"Mobile Collaborative Commerce","Small Business","SimPayX"
"Mobile Health","Small Business","Mobile Health Technology"
"Multi-analyte biosensor","Small Business","Applied Biosensors"
"Nanopurification of Air","UofU","University of Utah - Nanopurification of Air"
"Smart Tank: Breath Simulator","Small Business","Witting Innovation LLC"
"SteamDX Uroflowmeter","UofU","University of Utah - SteamDX Uroflowmeter"
"StemCell Reprogramming Systems","Small Business","Progenitor Life Sciences"
"Supercritical Biofuel Reactor","Small Business","Argo Fuels"
"TB Breathalyzer","Small Business","NanoSynth Materials and Sesnors Inc."
"The Slyder - asthma spacer","Small Business","LIYEN Inc."
"Weedobot","Small Business","Digithought"
