"county","violent_crime","murder_and_nonnegligent_manslaughter","forcible_rape","robbery","aggravated_assault","property_crime","burglary","larceny_theft","motor_vehicle_theft","arson"
"Cache","21","0","10","3","8","388","61","314","13","2"
"Davis","21","0","7","1","13","287","63","207","17","0"
"Juab","5","0","1","0","4","78","13","56","9","1"
"Morgan","7","0","3","0","4","68","29","36","3","0"
"Salt Lake ","561","6","71","115","369","7577","1590","5320","667","27"
"Summit","16","0","5","2","9","530","99","390","41","0"
"Tooele","24","0","5","2","17","145","58","64","23","5"
"Utah","13","1","3","0","9","312","67","236","9","3"
"Washington","15","0","3","0","12","154","38","90","26","0"
"Weber","36","1","7","6","22","1277","267","953","57","6"
"Beaver","4","0","2","0","2","32","7","24","1","0"
"Box Elder","10","0","3","0","7","184","36","142","6","0"
"Carbon","6","0","2","0","4","140","55","84","1","1"
"Daggett","0","0","0","0","0","19","9","9","1","0"
"Duchesne","15","0","1","1","13","170","42","114","14","1"
"Emery","1","0","1","0","0","87","26","60","1","0"
"Grand","2","0","0","0","2","72","18","52","2","0"
"Iron","24","0","4","1","19","188","52","116","20","6"
"Millard","16","1","1","0","14","232","43","181","8","1"
"Rich","2","0","0","0","2","46","17","29","0","0"
"San Juan","7","0","3","0","4","40","15","22","3","0"
"Sevier","14","0","4","1","9","151","47","100","4","1"
"Uintah","29","0","3","0","26","311","120","169","22","1"
"Wasatch","7","0","0","0","7","118","22","87","9","0"
"Wayne","5","0","2","0","3","17","1","16","0","0"
