"fiscal_year","tax_collections","real_tax_collections","real_per_capita","tax_rate","taxable_income_estimated"
"1932","112363","739230","1","3","3745433"
"1933","191718","1399401","3","3","6390600"
"1934","220243","1694177","3","3","7341433"
"1935","349921","2611351","5","3","11664033"
"1936","508035","3708285","7","3","16934500"
"1937","750423","5398727","10","3","25014100"
"1938","948972","6590083","12","3","31632400"
"1939","947409","6719213","12","3","31580300"
"1940","854148","6144950","11","3","28471600"
"1941","1027048","7336057","13","3","34234933"
"1942","1290625","8779762","16","3","43020833"
"1943","1434006","8797583","15","3","47800200"
"1944","1500546","8673676","14","3","50018200"
"1945","1472641","8367278","14","3","49088033"
"1946","1320946","7338589","12","3","44031533"
"1947","1573662","8070062","13","3","52455400"
"1948","2260496","10136753","16","3","75349867"
"1949","3142791","13040627","20","3","104759700"
"1950","2612184","10975563","16","3","87072800"
"1951","2834311","11760627","17","3","94477033"
"1952","3085126","11865869","17","3","102837533"
"1953","3171243","11966955","17","3","105708100"
"1954","4127616","15459236","21","3","137587200"
"1955","3000042","11152572","15","3","100001400"
"1956","4400923","16421354","21","4","110023075"
"1957","8360534","30737257","38","4","209013350"
"1958","6138992","21846947","26","4","153474800"
"1959","5485073","18979491","22","4","137126825"
"1960","6244504","21421969","25","4","156112600"
"1961","6534520","22087274","25","4","163363000"
"1962","7444728","24897368","27","4","186118200"
"1963","6837567","22601037","24","4","170939175"
"1964","6904175","22538112","23","4","172604375"
"1965","8336331","26858179","27","4","208408275"
"1966","10597471","33612532","34","6","176624517"
"1967","12580895","38745218","38","6","209681583"
"1968","10720624","32121720","32","6","178677067"
"1969","10725896","30828923","30","6","178764933"
"1970","11839339","32274436","31","6","197322317"
"1971","11127260","28647741","27","6","185454333"
"1972","12691054","31348837","28","6","211517567"
"1973","21620635","51713697","46","6","360343917"
"1974","20173183","45409528","39","6","336219717"
"1975","18002679","36504249","30","6","300044650"
"1976","24501925","45521458","37","6","408365417"
"1977","24866694","43676863","34","6","414444900"
"1978","29448490","48581507","37","4","736212250"
"1979","32874065","50388144","37","4","821851625"
"1980","40377089","55628596","39","4","1009427225"
"1981","40667112","49363276","33","4","1016677800"
"1982","40894065","44971479","30","4","1022351625"
"1983","33762545","34975012","22","4","844063625"
"1984","53226125","53448828","34","4.6500000000000004","1144647849"
"1985","65918325","63423661","39","5","1318366500"
"1986","84048027","78111549","48","5","1680960540"
"1987","68898430","62810997","38","5","1377968600"
"1988","78806217","69361494","41","5","1576124340"
"1989","92982130","78615202","47","5","1859642600"
"1990","99693153","80435543","47","5","1993863060"
"1991","87766119","67172232","39","5","1755322380"
"1992","80944378","59445076","33","5","1618887560"
"1993","79471794","56640822","31","5","1589435880"
"1994","121061613","83794160","44","5","2421232260"
"1995","153512212","103567018","53","5","3070244240"
"1996","168430466","110530766","55","5","3368609320"
"1997","182917170","116612976","57","5","3658343400"
"1998","189000097","117738730","56","5","3780001940"
"1999","184295532","113058963","53","5","3685910640"
"2000","179596067","107811546","49","5","3591921340"
"2001","174425154","101297094","45","5","3488503080"
"2002","118920279","67170786","29","5","2378405580"
"2003","151804490","84398345","36","5","3036089796"
"2004","155364657","84437314","35","5","3107293148"
"2005","198887246","105282410","43","5","3977744912"
"2006","380266619","194742208","76","5","7605332380"
"2007","427968809","212338779","81","5","8559376172"
"2008","415872736","200579690","74","5","8317454720"
"2009","268865699","124910312","45","5","5377313980"
