"year","tri_facility_id","facility_name","street_address","county","st","bia_code","tribe","federal_facility","primary_sic","sic_2","sic_3","sic_4","sic_5","sic_6","primary_naics","naics_2","naics_3","naics_4","naics_5","naics_6","doc_ctrl_num","chemical","cas_compound_id","clear_air_act_chemical","classification","metal","metal_category","carcinogen","form_type","unit_of_measure","_5_1_fugitive_air","_5_2_stack_air","_5_3_water","_5_4_1_underground_class_i","_5_4_2_underground_class_ii_v","_5_5_1a_rcra_c_landfills","_5_5_1b_other_landfills","_5_5_2_land_treatment","_5_5_3_surface_impoundment","_5_5_3a_rcra_c_surface_imp","_5_5_3b_other_surface_imp","_5_5_4_other_disposal","on_site_release_total","_6_1_potw_transfers_for_release","_6_1_potw_transfers_for_treatm","_6_1_potw_total_transfers","_6_2_m10","_6_2_m41","_6_2_m62","_6_2_m71","_6_2_m81","_6_2_m82","_6_2_m72","_6_2_m63","_6_2_m66","_6_2_m67","_6_2_m64","_6_2_m65","_6_2_m73","_6_2_m79","_6_2_m90","_6_2_m94","_6_2_m99","off_site_release_total","_6_2_m20","_6_2_m24","_6_2_m26","_6_2_m28","_6_2_m93","off_site_recycled_total","_6_2_m56","_6_2_m92","off_site_recovery_total","_6_2_m40","_6_2_m50","_6_2_m54","_6_2_m61","_6_2_m69","_6_2_m95","off_site_treated_total","total_releases","_8_1_releases","_8_1a_on_site_contained_rel","_8_1b_on_site_other_releases","_8_1c_off_site_contained_rel","_8_1d_off_site_other_releases","_8_2_energy_recovery_on_site","_8_3_energy_recovery_off_site","_8_4_recycling_on_site","_8_5_recycling_off_site","_8_6_treatment_on_site","_8_7_treatment_off_site","prod_waste_8_1_thru_8_7","_8_8_one_time_release","_8_9_production_ratio","parent_company_name","parent_company_db_number","location_1"
"1990","84066PNNZLWESTH","PENNZOIL PRODUCTS CO. ROOSEVELT REFINERY","WEST. HWY. 40","DUCHESNE","UT",,,"NO","2911","NA",,,,,"324110",,,,,,"1390000000000","AMMONIA","7664417","NO","TRI","NO","0","NO","R","Pounds","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"PENNZOIL CO","8106429","
ROOSEVELT,  84066
(40.38856, -110.125)"
"1990","84066PNNZLWESTH","PENNZOIL PRODUCTS CO. ROOSEVELT REFINERY","WEST. HWY. 40","DUCHESNE","UT",,,"NO","2911","NA",,,,,"324110",,,,,,"1390000000000","ETHYLENE","74851","NO","TRI","NO","0","NO","R","Pounds","2900","0","0","0","0","0","0","0","0","0","0","0","2900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2900","0","0","0","0","0","0","0","0","0","0","0","0",,,"PENNZOIL CO","8106429","
ROOSEVELT,  84066
(40.38856, -110.125)"
"1990","84066PNNZLWESTH","PENNZOIL PRODUCTS CO. ROOSEVELT REFINERY","WEST. HWY. 40","DUCHESNE","UT",,,"NO","2911","NA",,,,,"324110",,,,,,"1390000000000","TOLUENE","108883","YES","TRI","NO","0","NO","R","Pounds","2100","11000","0","0","0","0","0","0","0","0","0","0","13100","0","750","0","0","0","0","0","0","0","555","0","0","0","0","0","0","0","0","0","0","555","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13655","0","0","0","0","0","0","0","0","0","0","0","0",,,"PENNZOIL CO","8106429","
ROOSEVELT,  84066
(40.38856, -110.125)"
"1990","84066PNNZLWESTH","PENNZOIL PRODUCTS CO. ROOSEVELT REFINERY","WEST. HWY. 40","DUCHESNE","UT",,,"NO","2911","NA",,,,,"324110",,,,,,"1390000000000","CRESOL (MIXED ISOMERS)","1319773","YES","TRI","NO","0","NO","R","Pounds","95","20","0","0","0","0","0","0","0","0","0","0","115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","115","0","0","0","0","0","0","0","0","0","0","0","0",,,"PENNZOIL CO","8106429","
ROOSEVELT,  84066
(40.38856, -110.125)"
"1991","84066PNNZLWESTH","PENNZOIL PRODUCTS CO. ROOSEVELT REFINERY","WEST. HWY. 40","DUCHESNE","UT",,,"NO","2911","NA",,,,,"324110",,,,,,"1390000000000","CRESOL (MIXED ISOMERS)","1319773","YES","TRI","NO","0","NO","R","Pounds","70","10","0","0","0","0","0","0","0","0","0","0","80","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","80","0","0","0","0","0","0","0","0","0","0","80",,"0.97","PENNZOIL CO","8106429","
ROOSEVELT,  84066
(40.38856, -110.125)"
"1992","84066PNNZLWESTH","PENNZOIL PRODUCTS CO. ROOSEVELT REFINERY","WEST. HWY. 40","DUCHESNE","UT",,,"NO","2911","NA",,,,,"324110",,,,,,"1390000000000","NAPHTHALENE","91203","YES","TRI","NO","0","NO","R","Pounds","1400","44","0","0","0","0","0","0","0","0","0","0","1444","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1444","1400","0","0","0","0","0","0","0","0","0","0","1400","1","1.01","PENNZOIL CO","8106429","
ROOSEVELT,  84066
(40.38856, -110.125)"
"1991","84066PNNZLWESTH","PENNZOIL PRODUCTS CO. ROOSEVELT REFINERY","WEST. HWY. 40","DUCHESNE","UT",,,"NO","2911","NA",,,,,"324110",,,,,,"1390000000000","ETHYLBENZENE","100414","YES","TRI","NO","0","NO","R","Pounds","230","400","0","0","0","0","0","0","0","0","0","0","820","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","820","630","0","0","0","0","0","0","0","0","0","0","630","200","0.97","PENNZOIL CO","8106429","
ROOSEVELT,  84066
(40.38856, -110.125)"
"1991","84066PNNZLWESTH","PENNZOIL PRODUCTS CO. ROOSEVELT REFINERY","WEST. HWY. 40","DUCHESNE","UT",,,"NO","2911","NA",,,,,"324110",,,,,,"1390000000000","TOLUENE","108883","YES","TRI","NO","0","NO","R","Pounds","2200","3200","0","0","0","0","0","0","0","0","0","0","7500","0","130","0","0","0","0","0","0","0","1909","0","0","0","0","0","0","0","0","40","0","1949","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9449","10000","0","0","0","0","0","0","950","0","0","0","10950","2100","0.97","PENNZOIL CO","8106429","
ROOSEVELT,  84066
(40.38856, -110.125)"
"1991","84066PNNZLWESTH","PENNZOIL PRODUCTS CO. ROOSEVELT REFINERY","WEST. HWY. 40","DUCHESNE","UT",,,"NO","2911","NA",,,,,"324110",,,,,,"1390000000000","XYLENE (MIXED ISOMERS)","1330207","YES","TRI","NO","0","NO","R","Pounds","660","850","0","0","0","0","0","0","0","0","0","0","3410","0","28","0","0","0","0","0","0","0","417","0","0","0","0","0","0","0","0","8","0","425","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3835","2000","0","0","0","0","0","0","200","0","0","0","2200","1900","0.97","PENNZOIL CO","8106429","
ROOSEVELT,  84066
(40.38856, -110.125)"
"1991","84066PNNZLWESTH","PENNZOIL PRODUCTS CO. ROOSEVELT REFINERY","WEST. HWY. 40","DUCHESNE","UT",,,"NO","2911","NA",,,,,"324110",,,,,,"1390000000000","PROPYLENE","115071","NO","TRI","NO","0","NO","R","Pounds","310","0","0","0","0","0","0","0","0","0","0","0","310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","310","3100","0","0","0","0","0","0","0","0","0","0","3100",,"0.97","PENNZOIL CO","8106429","
ROOSEVELT,  84066
(40.38856, -110.125)"
"1991","84066PNNZLWESTH","PENNZOIL PRODUCTS CO. ROOSEVELT REFINERY","WEST. HWY. 40","DUCHESNE","UT",,,"NO","2911","NA",,,,,"324110",,,,,,"1390000000000","ETHYLENE","74851","NO","TRI","NO","0","NO","R","Pounds","2900","0","0","0","0","0","0","0","0","0","0","0","2900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2900","2900","0","0","0","0","0","0","0","0","0","0","2900",,"0.97","PENNZOIL CO","8106429","
ROOSEVELT,  84066
(40.38856, -110.125)"
"1991","84066PNNZLWESTH","PENNZOIL PRODUCTS CO. ROOSEVELT REFINERY","WEST. HWY. 40","DUCHESNE","UT",,,"NO","2911","NA",,,,,"324110",,,,,,"1390000000000","AMMONIA","7664417","NO","TRI","NO","0","NO","R","Pounds","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45000","0","0","0","0","0","0","0","0","0","0","45000",,"0.97","PENNZOIL CO","8106429","
ROOSEVELT,  84066
(40.38856, -110.125)"
"1991","84066PNNZLWESTH","PENNZOIL PRODUCTS CO. ROOSEVELT REFINERY","WEST. HWY. 40","DUCHESNE","UT",,,"NO","2911","NA",,,,,"324110",,,,,,"1390000000000","ANTHRACENE","120127","NO","TRI","NO","0","NO","R","Pounds","160","6","0","0","0","0","0","0","0","0","0","0","296","0","10","0","0","0","0","0","0","0","76","0","0","0","0","0","0","0","0","75","0","151","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","447","320","0","0","0","0","0","0","70","0","0","0","390","130","0.97","PENNZOIL CO","8106429","
ROOSEVELT,  84066
(40.38856, -110.125)"
"1991","84066PNNZLWESTH","PENNZOIL PRODUCTS CO. ROOSEVELT REFINERY","WEST. HWY. 40","DUCHESNE","UT",,,"NO","2911","NA",,,,,"324110",,,,,,"1390000000000","BENZENE","71432","YES","TRI","NO","0","YES","R","Pounds","760","11000","0","0","0","0","0","0","0","0","0","0","13060","0","89","0","0","0","0","0","0","0","1306","0","0","0","0","0","0","0","0","27","0","1333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14393","13000","0","0","0","0","0","0","640","0","0","0","13640","1400","0.97","PENNZOIL CO","8106429","
ROOSEVELT,  84066
(40.38856, -110.125)"
"1991","84066PNNZLWESTH","PENNZOIL PRODUCTS CO. ROOSEVELT REFINERY","WEST. HWY. 40","DUCHESNE","UT",,,"NO","2911","NA",,,,,"324110",,,,,,"1390000000000","CYCLOHEXANE","110827","NO","TRI","NO","0","NO","R","Pounds","430","5500","0","0","0","0","0","0","0","0","0","0","11630","0","440","0","0","0","0","0","0","0","6526","0","0","0","0","0","0","0","0","130","0","6656","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18286","13000","0","0","0","0","0","0","3200","0","0","0","16200","5700","0.97","PENNZOIL CO","8106429","
ROOSEVELT,  84066
(40.38856, -110.125)"
"1991","84066PNNZLWESTH","PENNZOIL PRODUCTS CO. ROOSEVELT REFINERY","WEST. HWY. 40","DUCHESNE","UT",,,"NO","2911","NA",,,,,"324110",,,,,,"1390000000000","CUMENE","98828","YES","TRI","NO","0","NO","R","Pounds","110","130","0","0","0","0","0","0","0","0","0","0","240","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","240","240","0","0","0","0","0","0","0","0","0","0","240","2","0.97","PENNZOIL CO","8106429","
ROOSEVELT,  84066
(40.38856, -110.125)"
"1991","84066PNNZLWESTH","PENNZOIL PRODUCTS CO. ROOSEVELT REFINERY","WEST. HWY. 40","DUCHESNE","UT",,,"NO","2911","NA",,,,,"324110",,,,,,"1390000000000","NAPHTHALENE","91203","YES","TRI","NO","0","NO","R","Pounds","50","4","0","0","0","0","0","0","0","0","0","0","354","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","354","50","0","0","0","0","0","0","0","0","0","0","50","300","0.97","PENNZOIL CO","8106429","
ROOSEVELT,  84066
(40.38856, -110.125)"
"1991","84066PNNZLWESTH","PENNZOIL PRODUCTS CO. ROOSEVELT REFINERY","WEST. HWY. 40","DUCHESNE","UT",,,"NO","2911","NA",,,,,"324110",,,,,,"1390000000000","PHOSPHORIC ACID","7664382","NO","TRI","NO","0","NO","R","Pounds","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67000","0","0","67000",,"0.97","PENNZOIL CO","8106429","
ROOSEVELT,  84066
(40.38856, -110.125)"
