"fiscal_year","tax_collections","real_tax_collections","real_tax_per_capita","tax_rate_up_to_35k","tax_rate_35k_85k","tax_rate_85k_over","tax_rate_125k_over"
"1934","102124","785569","2","3","5","8","10"
"1935","123193","919351","2","3","5","8","10"
"1936","139893","1021117","2","3","5","8","10"
"1937","239446","1722633","3","3","5","8","10"
"1938","312019","2166799","4","3","5","8","10"
"1939","336284","2384993","4","3","5","8","10"
"1940","164413","1182827","2","3","5","8","10"
"1941","234716","1676543","3","3","5","8","10"
"1942","429096","2919020","5","3","5","8","10"
"1943","313236","1921693","3","3","5","8","10"
"1944","227533","1315220","2","3","5","8","10"
"1945","189128","1074591","2","3","5","8","10"
"1946","349697","1942761","3","3","5","8","10"
"1947","532907","2732856","4","3","5","8","10"
"1948","449264","2014637","3","3","5","8","10"
"1949","436111","1809589","3","3","5","8","10"
"1950","370426","1556412","2","3","5","8","10"
"1951","309807","1285506","2","3","5","8","10"
"1952","322796","1241523","2","3","5","8","10"
"1953","647717","2444215","3","3","5","8","10"
"1954","494500","1852060","3","3","5","8","10"
"1955","504228","1874454","2","3","5","8","10"
"1956","622115","2321325","3","3","5","8","10"
"1957","892077","3279695","4","3","5","8","10"
"1958","925990","3295338","4","3","5","8","10"
"1959","1100580","3808235","5","3","5","8","10"
"1960","1018046","3492439","4","3","5","8","10"
"1961","1366623","4619310","5","3","5","8","10"
"1962","1374954","4598252","5","3","5","8","10"
"1963","1508956","4987735","5","3","5","8","10"
"1964","1624210","5302100","5","3","5","8","10"
"1965","2182090","7030307","7","3","5","8","10"
"1966","2283886","7243916","7","3","5","8","10"
"1967","2328322","7170503","7","3","5","8","10"
"1968","2280956","6834325","7","3","5","8","10"
"1969","2088378","6002524","6","5","8","10",
"1970","3101636","8455164","8","5","8","10",
"1971","3593586","9251884","9","5","8","10",
"1972","2816947","6958288","6","5","8","10",
"1973","3565540","8528300","8","5","8","10",
"1974","3669012","8258890","7","5","8","10",
"1975","3784893","7674673","6","5","8","10",
"1976","3460538","6429239","5","5","8","10",
"1977","5564283","9773331","8","*","*","*",
"1978","4054945","6689489","5","*","*","*",
"1979","1423243","2181494","2","*","*","*",
"1980","1694934","2335156","2","*","*","*",
"1981","2045622","2483053","2","*","*","*",
"1982","4514081","4964165","3","*","*","*",
"1983","1976717","2047704","1","*","*","*",
"1984","3120730","3133787","2","*","*","*",
"1985","4786014","4604888","3","*","*","*",
"1986","4725406","4391641","3","*","*","*",
"1987","2317607","2112838","1","*","*","*",
"1988","3443460","3030770","2","*","*","*",
"1989","9766221","8257215","5","*","*","*",
"1990","7593334","6126539","4","*","*","*",
"1991","4811255","3682318","2","*","*","*",
"1992","3974780","2919055","2","*","*","*",
"1993","7626758","5435713","3","*","*","*",
"1994","8188879","5668025","3","*","*","*",
"1995","24955923","16836514","9","*","*","*",
"1996","8326201","5463984","3","*","*","*",
"1997","10281951","6554928","3","*","*","*",
"1998","25417407","15833924","8","*","*","*",
"1999","8237962","5053706","2","*","*","*",
"2000","64559037","38754800","18","*","*","*",
"2001","30017185","17432426","8","*","*","*",
"2002","9424067","5323079","2","*","*","*",
"2003","32977784","18334572","8","*","*","*",
"2004","9674489","5257874","2","*","*","*",
"2005","2951780","1562546","1","*","*","*",
"2006","7448037","3814290","1","*","*","*",
"2007","497617","246895","0","*","*","*",
"2008","95249","45940","0","*","*","*",
"2009","320749","149014","0",,,,
