"county","major_sic_category","cy_1978","cy_1979","cy_1980","cy_1981","cy_1982","cy_1983","cy_1984","cy_1985","cy_1986","cy_1987","cy_1988","cy_1989","cy_1990","cy_1991","cy_1992","cy_1993","cy_1994","cy_1995","cy_1996","cy_1997"
"Morgan","WHOLESALE-DURABLE GOODS (5012-5099)",,,,"212124",,"179619","240744","219476","215688","318622","261811","490274","460492","306597","232651","742786","719511","670605","753631","919908"
"Morgan","RETAIL-FURNITURE (5712-5736)","14739",,"11236",,,"32902","49609","50165","108288","107065","95947","46060","31188","13928","12698",,,"11700","34143","72038"
"Morgan","CONSTRUCTION (1521-1799)","66088",,,,,,"10718",,,,,,,,,,"705599","168643","835062","844374"
"Morgan","MANUFACTURING (2011-3999)","3000383","2733495","3500224","3691467","4012730","3021906","3517337","5382112","2446022","2146329","2390605","1344819","1236222","1411155","1451569","2065873","2149945","5003044","5719774","1508921"
"Morgan","TRANSPORTATION (4011-4789)",,,,,,,"64389",,,"193531",,,,,,,,"207131","1103413","1613835"
"Morgan","COMMUNICATIONS (4812-4899)",,,,,,,"393812",,"995722","1292281","1115442","1686495","1271895","1529057","1026558","1111220","1401302","1383388","1404412","1349921"
"Morgan","ELECTRIC & GAS (4911-4971)",,,,,,,,,,"2020921","1323780","794409","422245","13819034","1372849","365830","473649",,"2437074","2860942"
"Morgan","1977 CODE - WHOLESALE TRADE","718468","935853","797022",,,,,,,,,,,,,,,,,
"Morgan","WHOLESALE-NONDURABLE GOODS (5111-5199)",,,,"68232","91238","98082","101854","79344","25505","11633","14253","17523","16825","57829","291284","198484","97523","167197","147241","95704"
"Morgan","RETAIL-BUILDING & GARDEN (5211-5271)",,,,,,,,,,"317956","303616","227266",,"258535",,"280334","368251","361015","1065751","1186695"
"Morgan","RETAIL-FOOD STORES (5411-5499)","1115973","499887","793204","1212260","1325721","1012791","1411025","2588748","3100421","3127410","3663725","4600653","4916933","1103377","5231714","4076647","4535178","6135605","6261091","6723481"
"Morgan","RETAIL-MOTOR VEHICLE DEALERS(5511-5599)","3503809","3020401","2430127","3995496","3061382","5190206","5455074","6781267","8644643","6801376","5456340","8903190","4795991","4965095","4883418","6781863","8265545","9039949","8518063","8259093"
"Morgan","RETAIL-APPAREL & ACCESSORY (5611-5699)",,,,,,,,,,,,,"12589","3076",,,,,"3423","355464"
"Morgan","RETAIL-EATING & DRINKING (5812-5813)","192700","345612","256080","470907","357054","570206","470028","592852","759867","757827","721452","825770","855039","936075","1090787","1098170","994525","1220159","1643147","1706457"
"Morgan","RETAIL-MISCELLANEOUS (5912-5999)","214158","228848","285910","340691","401861","534531","597763","559682","515694","631368","580320","487457","536490","593004","594811","863281","517359","1050060","902359","918835"
"Morgan","FINANCE,INS. & REAL ESTATE (6011-6799)","22379","75398",,"50809","99298","77543","41023","139827","208672","147515","120195","1076377","58285","87105","106735","46772","84344","196436","291898","405649"
"Morgan","1977 CODE - SERVICES","510594","409411","437499","320708",,,,,,,,,,,,,,,,
"Morgan","SERVICES-HOTELS & LODGING (7011-7041)",,,,,,,,,,"16848",,,,,,,,,,
"Morgan","SERVICES-PERSONAL (7211-7299)",,,,,"32071","40945","129920","86187",,"114706","33942",,"32773","50360","148766","64539","64999","145546","55951","114228"
"Morgan","SERVICES-BUSINESS (7311-7389)",,,,"3903","17599","15045","70292","7442","10746","32447","3580","8837","69025","128408","23392","73849","29303","154424","234361","191675"
"Morgan","SERVICES-AUTO & MISC.REPAIR (7513-7699)",,,,"52117","275451","250134","313600","256982","271331","264352","308521","271734","291412","320974","463717","465884","399117","337504","479040","462724"
"Morgan","SERVICES-AMUSEMENT & RECRTN.(7812-7999)",,,,,,,,"3345","4254","17930",,,,,,"50939","22697","397551","230884","401968"
"Morgan","SERVICES-ED.,LEGAL,SOCIAL (8111-8999)",,,,,,,,,,,,,,,,"12458","20623","48068","137577","135095"
"Morgan","PUBLIC ADMINISTRATION (9111-9721)",,,,,,,,,"20579","19668","20970","21937","18961","24321","23572","30856","13834","62690","101698","76470"
"Morgan","PRIVATE MOTOR VEHICLE SALES","521128","593027","433806","428381","662005","447917","861151","838855","801908","738615","750752","882013","677211","776752","1282122","1426489","1521831","2004350","2326917","2964788"
"Morgan","REFUNDED AMOUNTS WITH NO SIC","-105","-20219",,"-379",,,,,,,,,,,,,,,,
"Morgan","OCCASIONAL RETAIL SALES","5217","2464","1121","47274","1145","3206","3292009","4848",,"1059","8189","20055","23346","29782","42647","50397","47394","34722","43236","39585"
"Morgan","NONDISCLOSABLE OR NONCLASSIFIABLE","3203385","3476216","3327743","4229524","4251884","4589060","6705979","6264962","3258784","527052","1638646","1658384","2898524","4717717","3251657","5710086","4960582","3753147","532118","730711"
"Morgan","PRIOR-PERIOD PAYMENTS & REFUNDS",,,,,,,,,,,,,"742726","1055594","2095922","440300","811724","422169","1411615","659254"
