"county","zip_code","_4_pci_l_1","_4_pci_l_2","maximum","average","total_tests"
"Wasatch","84032","30.0","70.0","64.9","10.0","493"
"Wasatch","84049","50.0","50.0","95.8","9.7","134"
"Wasatch","84082","66.7","33.3","14.9","4.8","6"
