Location 1,County,geoid,unemployment_rate,Median household income,Gini Index,below poverty level,below poverty level - Male,below poverty level - Male - Under 5 years,below poverty level - Male - 5 years,below poverty level - Male - 6 to 11 years,below poverty level - Male - 12 to 14 years,below poverty level - Male - 15 years,below poverty level - Male - 16 and 17 years,below poverty level - Male - 18 to 24 years,below poverty level - Male - 25 to 34 years,below poverty level - Male - 35 to 44 years,below poverty level - Male - 45 to 54 years,below poverty level - Male - 55 to 64 years,below poverty level - Male - 65 to 74 years,below poverty level - Male - 75 years and over,below poverty level - Female,below poverty level - Female - Under 5 years,below poverty level - Female - 5 years,below poverty level - Female - 6 to 11 years,below poverty level - Female - 12 to 14 years,below poverty level - Female - 15 years,below poverty level - Female - 16 and 17 years,below poverty level - Female - 18 to 24 years,below poverty level - Female - 25 to 34 years,below poverty level - Female - 35 to 44 years,below poverty level - Female - 45 to 54 years,below poverty level - Female - 55 to 64 years,below poverty level - Female - 65 to 74 years,below poverty level - Female - 75 years and over,at or above poverty level,at or above poverty level - Male,at or above poverty level - Male - Under 5 years,at or above poverty level - Male - 5 years,at or above poverty level - Male - 6 to 11 years,at or above poverty level - Male - 12 to 14 years,at or above poverty level - Male - 15 years,at or above poverty level - Male - 16 and 17 years,at or above poverty level - Male - 18 to 24 years,at or above poverty level - Male - 25 to 34 years,at or above poverty level - Male - 35 to 44 years,at or above poverty level - Male - 45 to 54 years,at or above poverty level - Male - 55 to 64 years,at or above poverty level - Male - 65 to 74 years,at or above poverty level - Male - 75 years and over,at or above poverty level - Female,at or above poverty level - Female - Under 5 years,at or above poverty level - Female - 5 years,at or above poverty level - Female - 6 to 11 years,at or above poverty level - Female - 12 to 14 years,at or above poverty level - Female - 15 years,at or above poverty level - Female - 16 and 17 years,at or above poverty level - Female - 18 to 24 years,at or above poverty level - Female - 25 to 34 years,at or above poverty level - Female - 35 to 44 years,at or above poverty level - Female - 45 to 54 years,at or above poverty level - Female - 55 to 64 years,at or above poverty level - Female - 65 to 74 years,at or above poverty level - Female - 75 years and over,Utah Senate Districts,Utah House Districts,School Districts,Municipalities,Counties (New),Census Tract Boundaries
"Mapleton, Utah
(40.134078, -111.582313)",Utah,16000US4947950,,86196,0.4118,393,169,8,21,17,17,0,11,7,35,19,4,26,4,0,224,3,12,41,20,0,4,51,46,20,12,15,0,0,7855,4182,507,93,637,339,24,165,302,362,507,449,359,262,176,3673,293,43,503,227,120,150,295,353,438,427,323,388,113,20,62,32,194,5,
"Orem, Utah
(40.295836, -111.694436)",Utah,16000US4957300,4.3,51944,0.4232,17490,8622,1150,328,1076,187,156,389,2051,1802,528,421,261,178,95,8868,1099,23,700,402,258,0,3008,1446,802,459,392,187,92,71540,34420,2756,435,2988,1627,628,1006,5233,6049,3077,4109,3464,1986,1062,37120,3097,437,3124,1905,780,1380,5366,5128,4002,3795,3589,2784,1733,7,57,30,193,5,38
"Lindon, Utah
(40.344688, -111.723086)",Utah,16000US4945090,,89286,0.3596,1021,410,74,0,61,26,33,10,32,89,56,23,6,0,0,611,95,1,133,14,13,22,55,102,115,38,15,0,8,9249,4827,311,91,710,369,100,250,577,389,524,775,403,156,172,4422,317,91,503,305,119,206,593,414,581,635,359,160,139,7,55,30,192,5,
"Genola, Utah
(39.996765, -111.824491)",Utah,16000US4928810,,62917,0.3677,109,44,4,0,2,4,0,0,4,2,4,11,13,0,0,65,5,4,10,9,4,3,0,3,9,13,5,0,0,1210,628,80,10,80,36,10,28,45,93,74,48,81,30,13,582,43,16,68,18,8,35,56,56,85,57,59,56,25,17,64,32,197,5,168
"Cedar Fort, Utah
(40.325505, -112.102348)",Utah,16000US4911430,,67500,0.3333,8,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,2,2,0,0,2,313,178,13,0,19,9,5,5,21,30,19,19,16,13,9,135,3,2,8,4,2,12,17,18,15,15,14,12,13,5,64,30,184,5,42
"Santaquin, Utah
(39.97558, -111.785249)",Utah,16000US4967770,,59428,0.3481,942,433,45,0,18,23,15,36,130,37,39,56,34,0,0,509,29,0,174,72,0,22,24,45,45,48,12,23,15,8435,4252,509,76,713,284,96,149,307,623,568,409,244,183,91,4183,510,127,684,284,64,169,267,616,608,325,256,163,110,17,64,32,235,5,110
"Woodland Hills, Utah
(40.017602, -111.64549)",Utah,16000US4985050,,106071,0.3341,103,37,0,0,10,0,0,0,0,3,11,11,0,2,0,66,12,0,0,20,0,0,4,0,10,15,2,3,0,1383,729,26,10,99,99,30,35,76,30,78,87,79,50,30,654,28,13,64,45,22,28,65,63,69,115,47,64,31,27,63,32,195,5,146
"Eagle Mountain, Utah
(40.310874, -112.012591)",Utah,16000US4920810,,70697,0.2831,845,428,45,0,52,0,63,0,102,35,15,33,62,7,14,417,0,0,132,0,0,0,70,96,48,0,63,8,0,22479,11532,2155,475,1721,713,223,398,567,2331,1808,623,300,175,43,10947,1218,318,2171,803,59,197,1171,2383,1492,583,202,252,98,5,12,30,183,5,
"Provo, Utah
(40.233677, -111.663926)",Utah,16000US4962470,4.2,38877,0.515599999999999,32146,15507,1838,714,499,268,0,315,8266,2321,811,232,149,94,0,16639,1359,0,1036,369,168,379,9319,2394,517,52,154,562,330,76613,38231,3860,586,3270,1244,540,716,8165,8013,3835,2512,2433,1403,1654,38382,3645,775,3008,1181,723,1046,9209,7000,3436,2810,2712,1217,1620,8,61,31,204,5,40
"Pleasant Grove, Utah
(40.363923, -111.738868)",Utah,16000US4960930,4.3,62178,0.3757,3540,1670,355,163,213,168,36,71,42,281,243,17,73,8,0,1870,371,28,293,45,0,109,209,427,126,95,71,73,23,30617,15300,1464,351,1805,1130,389,672,1841,2138,1967,1611,1038,533,361,15317,1678,180,1853,1053,195,371,2075,1978,2322,1499,888,711,514,7,53,30,190,5,37
"Salem, Utah
(40.053078, -111.67343)",Utah,16000US4965770,,72394,0.3588,543,258,70,13,13,11,0,10,77,12,24,0,21,7,0,285,58,0,9,0,7,0,107,16,33,7,11,11,26,6051,3216,235,37,460,243,131,137,255,415,387,354,273,195,94,2835,255,43,398,132,46,101,168,400,372,310,302,217,91,27,63,32,227,5,
"Benjamin, Utah
(40.09118, -111.730916)",Utah,16000US4904720,,75380,0.2783,134,82,6,0,0,0,13,0,35,6,0,13,9,0,0,52,12,0,0,0,0,0,20,0,0,12,0,8,0,1128,579,27,0,67,29,0,24,63,58,66,73,100,46,26,549,8,29,81,15,15,33,12,34,79,101,78,30,34,27,64,32,,5,
"Alpine, Utah
(40.45572, -111.777781)",Utah,16000US4900540,,92443,0.4682,298,154,0,0,6,28,16,24,50,9,7,14,0,0,0,144,6,0,12,6,6,13,26,5,6,64,0,0,0,9406,4699,446,89,554,329,184,281,346,375,470,717,429,269,210,4707,132,136,756,451,103,208,401,483,554,516,513,218,236,6,20,30,187,5,
"Springville, Utah
(40.165232, -111.610625)",Utah,16000US4972280,4.2,58333,0.373,2324,1036,245,8,102,25,0,0,259,158,85,52,67,35,0,1288,153,34,60,23,8,33,373,215,135,44,60,115,35,28119,14339,1827,291,1680,796,203,502,1778,2100,1894,1250,901,505,612,13780,1484,350,1568,914,275,464,1631,2017,1677,1194,1054,551,601,20,62,32,202,5,106
